date,market_mode,raw_market_mode,F0_all,F1_market_code,F2_name_st_ipo,F3_first_board,F3_bear_pool,F4_has_60d,F5_position_le_50,F6_tradeable,F7_low_open,F8_candidates,F9_slots_allow,F10_executed,bear_pool_count,bear_candidate_count,actual_entries_count
2018-01-02,bear,bear,3467,3467,2343,29,14,14,12,11,0,12,0,0,14,12,0
2018-01-03,bear,bear,3467,3467,2343,25,18,18,8,8,0,8,0,0,18,8,0
2018-01-04,bear,bear,3468,3468,2343,41,30,30,24,23,0,24,0,0,30,24,0
2018-01-05,bear,bear,3468,3468,2343,26,18,18,10,10,0,10,0,0,18,10,0
2018-01-08,bear,bear,3471,3471,2346,17,8,8,2,2,0,2,0,0,8,2,0
2018-01-09,bear,bear,3471,3471,2347,24,11,11,3,3,0,3,0,0,11,3,0
2018-01-10,bear,bear,3472,3472,2348,22,11,11,3,2,0,3,0,0,11,3,0
2018-01-11,bear,bear,3472,3472,2348,28,14,14,2,2,0,2,0,0,14,2,0
2018-01-12,bear,bear,3472,3472,2348,36,16,16,4,4,0,4,0,0,16,4,0
2018-01-15,bear,bear,3472,3472,2352,17,8,8,2,1,0,2,0,0,8,2,0
2018-01-16,bear,bear,3473,3473,2355,16,5,5,1,1,0,1,0,0,5,1,0
2018-01-17,bear,bear,3475,3475,2356,41,14,14,8,5,0,8,0,0,14,8,0
2018-01-18,bear,bear,3476,3476,2356,28,11,11,6,4,0,6,0,0,11,6,0
2018-01-19,bear,bear,3477,3477,2356,33,19,19,15,15,1,15,1,1,19,15,1
2018-01-22,bear,bear,3478,3478,2362,23,9,9,4,4,0,4,0,0,9,4,0
2018-01-23,bear,bear,3479,3479,2362,28,12,12,4,3,0,4,0,0,12,4,0
2018-01-24,bear,bear,3479,3479,2364,35,18,18,9,9,1,9,1,1,18,9,1
2018-01-25,bear,bear,3480,3480,2364,32,7,7,4,4,1,4,1,1,7,4,1
2018-01-26,bear,bear,3481,3481,2364,21,13,13,6,5,0,6,0,0,13,6,0
2018-01-29,bear,bear,3481,3481,2366,17,9,9,4,4,0,4,0,0,9,4,0
2018-01-30,bear,bear,3481,3481,2367,16,7,7,1,1,0,1,0,0,7,1,0
2018-01-31,bear,bear,3481,3481,2367,20,13,13,7,7,0,7,0,0,13,7,0
2018-02-01,bear,bear,3482,3482,2367,18,9,9,4,4,0,4,0,0,9,4,0
2018-02-02,bear,bear,3484,3484,2367,12,2,2,0,0,0,0,0,0,2,0,0
2018-02-05,bear,bear,3485,3485,2368,19,14,14,1,1,0,1,0,0,14,1,0
2018-02-06,bear,bear,3486,3486,2370,27,17,17,6,6,0,6,0,0,17,6,0
2018-02-07,bear,bear,3488,3488,2371,9,5,5,5,5,0,5,0,0,5,5,0
2018-02-08,bear,bear,3488,3488,2371,36,13,13,12,12,0,12,0,0,13,12,0
2018-02-09,bear,bear,3490,3490,2371,43,22,22,21,21,0,21,0,0,22,21,0
2018-02-12,bear,bear,3490,3490,2374,11,5,5,5,5,0,5,0,0,5,5,0
2018-02-13,bear,bear,3491,3491,2374,76,46,46,35,33,0,35,0,0,46,35,0
2018-02-14,bear,bear,3491,3491,2374,26,17,17,13,13,0,13,0,0,17,13,0
2018-02-22,bear,bear,3491,3491,2381,30,19,19,14,13,0,14,0,0,19,14,0
2018-02-23,bear,bear,3491,3491,2381,43,29,29,16,14,0,16,0,0,29,16,0
2018-02-26,bear,bear,3492,3492,2384,30,15,15,8,7,0,8,0,0,15,8,0
2018-02-27,bear,bear,3493,3493,2386,66,36,36,23,23,0,23,0,0,36,23,0
2018-02-28,bear,bear,3494,3494,2386,46,24,24,12,12,0,12,0,0,24,12,0
2018-03-01,bear,bear,3494,3494,2386,31,22,22,10,10,0,10,0,0,22,10,0
2018-03-02,bear,bear,3497,3497,2386,71,38,38,13,11,1,13,1,1,38,13,1
2018-03-05,bear,bear,3499,3499,2392,23,11,11,3,3,0,3,0,0,11,3,0
2018-03-06,bear,bear,3499,3499,2392,33,14,14,4,4,0,4,0,0,14,4,0
2018-03-07,bear,bear,3499,3499,2393,46,25,25,9,9,0,9,0,0,25,9,0
2018-03-08,bear,bear,3499,3499,2393,25,18,18,6,6,1,6,1,1,18,6,1
2018-03-09,bear,bear,3499,3499,2393,50,25,25,5,5,0,5,0,0,25,5,0
2018-03-12,cautious,cautious,3499,3499,2395,55,19,0,0,0,0,0,0,0,19,0,0
2018-03-13,cautious,cautious,3499,3499,2396,47,27,0,0,0,0,0,0,0,27,0,0
2018-03-14,cautious,cautious,3499,3499,2397,28,19,0,0,0,0,0,0,0,19,0,0
2018-03-15,cautious,cautious,3499,3499,2397,10,4,0,0,0,0,0,0,0,4,0,0
2018-03-16,cautious,cautious,3499,3499,2397,21,17,0,0,0,0,0,0,0,17,0,0
2018-03-19,bear,bear,3499,3499,2400,35,22,22,2,2,0,2,0,0,22,2,0
2018-03-20,cautious,cautious,3499,3499,2400,31,15,0,0,0,0,0,0,0,15,0,0
2018-03-21,cautious,cautious,3499,3499,2400,46,22,0,0,0,0,0,0,0,22,0,0
2018-03-22,bear,bear,3499,3499,2400,32,20,20,2,2,0,2,0,0,20,2,0
2018-03-23,bear,bear,3499,3499,2400,36,21,21,2,2,0,2,0,0,21,2,0
2018-03-26,bear,bear,3500,3500,2404,26,16,16,3,1,0,3,0,0,16,3,0
2018-03-27,bear,bear,3501,3501,2405,65,23,23,9,9,0,9,0,0,23,9,0
2018-03-28,bear,bear,3501,3501,2407,84,38,38,12,12,0,12,0,0,38,12,0
2018-03-29,bear,bear,3502,3502,2407,38,17,17,5,4,0,5,0,0,17,5,0
2018-03-30,bear,bear,3502,3502,2407,45,28,28,5,5,0,5,0,0,28,5,0
2018-04-02,cautious,cautious,3504,3504,2407,57,21,0,0,0,0,0,0,0,21,0,0
2018-04-03,cautious,cautious,3504,3504,2407,47,26,0,0,0,0,0,0,0,26,0,0
2018-04-04,cautious,cautious,3505,3505,2409,30,10,0,0,0,0,0,0,0,10,0,0
2018-04-09,cautious,cautious,3505,3505,2415,34,19,0,0,0,0,0,0,0,19,0,0
2018-04-10,cautious,cautious,3505,3505,2415,50,23,0,0,0,0,0,0,0,23,0,0
2018-04-11,bear,bear,3506,3506,2415,40,20,20,5,4,0,5,0,0,20,5,0
2018-04-12,cautious,cautious,3506,3506,2415,42,21,0,0,0,0,0,0,0,21,0,0
2018-04-13,cautious,cautious,3507,3507,2415,29,11,0,0,0,0,0,0,0,11,0,0
2018-04-16,bull,bull,3507,3507,2419,21,9,0,0,0,0,0,0,0,9,0,0
2018-04-17,bull,bull,3507,3507,2420,41,30,0,0,0,0,0,0,0,30,0,0
2018-04-18,bear,bear,3508,3508,2421,10,6,6,1,1,0,1,0,0,6,1,0
2018-04-19,cautious,cautious,3509,3509,2421,39,20,0,0,0,0,0,0,0,20,0,0
2018-04-20,bull,bull,3509,3509,2421,21,9,0,0,0,0,0,0,0,9,0,0
2018-04-23,bear,bear,3510,3510,2422,14,8,8,1,1,0,1,0,0,8,1,0
2018-04-24,cautious,cautious,3510,3510,2424,24,11,0,0,0,0,0,0,0,11,0,0
2018-04-25,cautious,cautious,3510,3510,2425,74,29,0,0,0,0,0,0,0,29,0,0
2018-04-26,cautious,cautious,3510,3510,2425,35,17,0,0,0,0,0,0,0,17,0,0
2018-04-27,bear,bear,3511,3511,2425,19,8,8,1,1,0,1,0,0,8,1,0
2018-05-02,bear,bear,3513,3513,2432,21,9,9,4,2,0,4,0,0,9,4,0
2018-05-03,cautious,cautious,3513,3513,2432,25,18,0,0,0,0,0,0,0,18,0,0
2018-05-04,cautious,cautious,3513,3513,2432,44,21,0,0,0,0,0,0,0,21,0,0
2018-05-07,bear,bear,3513,3513,2433,30,16,16,3,3,0,3,0,0,16,3,0
2018-05-08,bull,bull,3513,3513,2433,53,25,0,0,0,0,0,0,0,25,0,0
2018-05-09,bull,bull,3515,3515,2433,48,32,0,0,0,0,0,0,0,32,0,0
2018-05-10,bull,bull,3516,3516,2433,32,14,0,0,0,0,0,0,0,14,0,0
2018-05-11,bull,bull,3516,3516,2433,46,26,0,0,0,0,0,0,0,26,0,0
2018-05-14,bull,bull,3516,3516,2436,20,14,0,0,0,0,0,0,0,14,0,0
2018-05-15,bear,bear,3516,3516,2438,17,9,9,1,1,0,1,0,0,9,1,0
2018-05-16,bull,bull,3516,3516,2439,48,27,0,0,0,0,0,0,0,27,0,0
2018-05-17,bear,bear,3517,3517,2439,21,11,11,2,1,0,2,0,0,11,2,0
2018-05-18,bear,bear,3518,3518,2439,23,8,8,1,1,0,1,0,0,8,1,0
2018-05-21,bear,bear,3518,3518,2442,33,20,20,4,4,0,4,0,0,20,4,0
2018-05-22,cautious,cautious,3518,3518,2442,41,28,0,0,0,0,0,0,0,28,0,0
2018-05-23,cautious,cautious,3518,3518,2445,35,19,0,0,0,0,0,0,0,19,0,0
2018-05-24,bear,bear,3519,3519,2445,15,8,8,0,0,0,0,0,0,8,0,0
2018-05-25,bear,bear,3519,3519,2445,30,18,18,7,4,0,7,0,0,18,7,0
2018-05-28,bear,bear,3520,3520,2446,24,13,13,2,2,0,2,0,0,13,2,0
2018-05-29,bear,bear,3521,3521,2448,29,21,21,3,3,0,3,0,0,21,3,0
2018-05-30,bear,bear,3521,3521,2450,27,13,13,1,1,0,1,0,0,13,1,0
2018-05-31,bear,bear,3521,3521,2450,12,5,5,4,4,1,4,1,1,5,4,1
2018-06-01,bear,bear,3521,3521,2450,53,31,31,8,8,0,8,0,0,31,8,0
2018-06-04,bear,bear,3521,3521,2453,19,8,8,4,4,0,4,0,0,8,4,0
2018-06-05,bear,bear,3521,3521,2453,20,13,13,3,3,0,3,0,0,13,3,0
2018-06-06,bear,bear,3521,3521,2456,40,20,20,7,7,1,7,1,1,20,7,1
2018-06-07,bear,bear,3521,3521,2456,33,22,22,5,5,0,5,0,0,22,5,0
2018-06-08,bear,bear,3521,3521,2456,20,16,16,6,6,0,6,0,0,16,6,0
2018-06-11,bear,bear,3522,3522,2456,17,7,7,2,2,1,2,1,1,7,2,1
2018-06-12,bear,bear,3524,3524,2456,29,17,17,6,5,0,6,0,0,17,6,0
2018-06-13,bear,bear,3525,3525,2456,33,17,17,5,3,0,5,0,0,17,5,0
2018-06-14,bear,bear,3526,3526,2456,17,12,12,4,4,0,4,0,0,12,4,0
2018-06-15,bear,bear,3526,3526,2456,30,14,14,7,7,0,7,0,0,14,7,0
2018-06-19,bear,bear,3526,3526,2457,13,6,6,4,4,0,4,0,0,6,4,0
2018-06-20,bear,bear,3526,3526,2460,9,6,6,4,4,0,4,0,0,6,4,0
2018-06-21,bear,bear,3527,3527,2460,45,27,27,16,15,0,16,0,0,27,16,0
2018-06-22,bear,bear,3527,3527,2460,14,10,10,9,9,0,9,0,0,10,9,0
2018-06-25,bear,bear,3528,3528,2464,51,20,20,13,13,0,13,0,0,20,13,0
2018-06-26,bear,bear,3529,3529,2464,41,20,20,17,16,1,17,1,1,20,17,1
2018-06-27,bear,bear,3529,3529,2468,49,26,26,21,21,0,21,0,0,26,21,0
2018-06-28,bear,bear,3530,3530,2468,38,20,20,15,14,0,15,0,0,20,15,0
2018-06-29,bear,bear,3530,3530,2468,28,14,14,12,11,0,12,0,0,14,12,0
2018-07-02,bear,bear,3530,3530,2471,85,44,44,35,35,2,35,0,2,44,35,2
2018-07-03,bear,bear,3530,3530,2472,32,21,21,16,16,0,16,0,0,21,16,0
2018-07-04,bear,bear,3531,3531,2472,55,27,27,19,18,2,19,0,2,27,19,2
2018-07-05,bear,bear,3531,3531,2472,27,18,18,15,15,0,15,0,0,18,15,0
2018-07-06,bear,bear,3531,3531,2472,19,7,7,4,3,0,4,0,0,7,4,0
2018-07-09,bear,bear,3531,3531,2476,32,17,17,13,13,0,13,0,0,17,13,0
2018-07-10,bear,bear,3533,3533,2477,60,37,37,24,23,0,24,0,0,37,24,0
2018-07-11,bear,bear,3534,3534,2478,57,31,31,21,20,1,21,1,1,31,21,1
2018-07-12,bear,bear,3534,3534,2478,16,10,10,8,8,0,8,0,0,10,8,0
2018-07-13,bear,bear,3534,3534,2478,77,38,38,28,25,0,28,0,0,38,28,0
2018-07-16,bear,bear,3535,3535,2479,35,21,21,16,16,0,16,0,0,21,16,0
2018-07-17,bear,bear,3533,3533,2479,38,25,25,18,18,0,18,0,0,25,18,0
2018-07-18,bear,bear,3533,3533,2481,48,31,31,18,16,1,18,1,1,31,18,1
2018-07-19,bear,bear,3533,3533,2480,37,24,24,16,15,0,16,0,0,24,16,0
2018-07-20,bear,bear,3532,3532,2480,24,15,15,8,6,0,8,0,0,15,8,0
2018-07-23,bear,bear,3533,3533,2483,38,21,21,17,16,0,17,0,0,21,17,0
2018-07-24,bear,bear,3533,3533,2485,37,23,23,14,13,0,14,0,0,23,14,0
2018-07-25,bear,bear,3533,3533,2487,59,44,44,28,26,0,28,0,0,44,28,0
2018-07-26,bear,bear,3533,3533,2487,44,27,27,18,15,0,18,0,0,27,18,0
2018-07-27,bear,bear,3533,3533,2487,58,38,38,26,23,0,26,0,0,38,26,0
2018-07-30,bear,bear,3533,3533,2492,30,24,24,9,9,0,9,0,0,24,9,0
2018-07-31,bear,bear,3534,3534,2492,19,10,10,4,4,0,4,0,0,10,4,0
2018-08-01,bear,bear,3534,3534,2492,34,24,24,16,16,0,16,0,0,24,16,0
2018-08-02,bear,bear,3534,3534,2492,26,16,16,5,4,0,5,0,0,16,5,0
2018-08-03,bear,bear,3534,3534,2492,24,20,20,9,9,1,9,1,1,20,9,1
2018-08-06,bear,bear,3534,3534,2494,27,20,20,16,15,0,16,0,0,20,16,0
2018-08-07,bear,bear,3535,3535,2495,20,13,13,9,9,1,9,1,1,13,9,1
2018-08-08,bear,bear,3535,3535,2497,42,25,25,12,12,0,12,0,0,25,12,0
2018-08-09,bear,bear,3535,3535,2497,24,19,19,9,8,1,9,1,1,19,9,1
2018-08-10,bear,bear,3535,3535,2497,57,29,29,19,18,0,19,0,0,29,19,0
2018-08-13,bear,bear,3536,3536,2499,35,18,18,14,14,0,14,0,0,18,14,0
2018-08-14,bear,bear,3536,3536,2499,34,24,24,16,15,0,16,0,0,24,16,0
2018-08-15,bear,bear,3536,3536,2500,31,16,16,11,10,0,11,0,0,16,11,0
2018-08-16,bear,bear,3536,3536,2500,20,14,14,7,7,0,7,0,0,14,7,0
2018-08-17,bear,bear,3536,3536,2500,17,12,12,8,8,0,8,0,0,12,8,0
2018-08-20,bear,bear,3536,3536,2502,13,8,8,4,4,0,4,0,0,8,4,0
2018-08-21,bear,bear,3536,3536,2502,30,18,18,12,12,0,12,0,0,18,12,0
2018-08-22,bear,bear,3536,3536,2503,44,31,31,19,18,0,19,0,0,31,19,0
2018-08-23,bear,bear,3536,3536,2503,25,18,18,15,15,1,15,1,1,18,15,1
2018-08-24,bear,bear,3536,3536,2503,28,18,18,13,13,0,13,0,0,18,13,0
2018-08-27,bear,bear,3536,3536,2506,24,16,16,9,9,0,9,0,0,16,9,0
2018-08-28,bear,bear,3537,3537,2506,37,25,25,9,8,0,9,0,0,25,9,0
2018-08-29,bear,bear,3539,3539,2506,26,17,17,12,10,1,12,1,1,17,12,1
2018-08-30,bear,bear,3539,3539,2506,21,15,15,9,9,0,9,0,0,15,9,0
2018-08-31,bear,bear,3539,3539,2506,12,7,7,6,5,1,6,1,1,7,6,1
2018-09-03,bear,bear,3540,3540,2510,17,10,10,8,8,1,8,1,1,10,8,1
2018-09-04,bear,bear,3541,3541,2510,30,11,11,8,8,0,8,0,0,11,8,0
2018-09-05,bear,bear,3541,3541,2513,40,18,18,11,11,0,11,0,0,18,11,0
2018-09-06,bear,bear,3541,3541,2513,26,15,15,9,8,3,9,0,2,15,9,2
2018-09-07,bear,bear,3541,3541,2513,24,11,11,6,5,0,6,0,0,11,6,0
2018-09-10,bear,bear,3541,3541,2514,32,24,24,15,14,0,15,0,0,24,15,0
2018-09-11,bear,bear,3542,3542,2514,19,11,11,5,5,0,5,0,0,11,5,0
2018-09-12,bear,bear,3542,3542,2516,22,6,6,5,5,0,5,0,0,6,5,0
2018-09-13,bear,bear,3543,3543,2516,18,11,11,7,7,0,7,0,0,11,7,0
2018-09-14,bear,bear,3543,3543,2516,28,18,18,6,6,0,6,0,0,18,6,0
2018-09-17,bear,bear,3543,3543,2516,14,9,9,5,5,0,5,0,0,9,5,0
2018-09-18,bear,bear,3544,3544,2516,19,10,10,5,4,0,5,0,0,10,5,0
2018-09-19,bear,bear,3545,3545,2516,51,29,29,19,18,0,19,0,0,29,19,0
2018-09-20,bear,bear,3546,3546,2516,29,18,18,8,7,0,8,0,0,18,8,0
2018-09-21,bear,bear,3546,3546,2516,30,20,20,13,11,0,13,0,0,20,13,0
2018-09-25,bear,bear,3548,3548,2519,23,14,14,8,8,0,8,0,0,14,8,0
2018-09-26,bear,bear,3549,3549,2519,18,10,10,3,3,0,3,0,0,10,3,0
2018-09-27,bear,bear,3551,3551,2519,26,13,13,4,4,0,4,0,0,13,4,0
2018-09-28,bear,bear,3551,3551,2519,14,9,9,4,4,0,4,0,0,9,4,0
2018-10-08,bear,bear,3551,3551,2522,24,12,12,5,4,0,5,0,0,12,5,0
2018-10-09,bear,bear,3551,3551,2523,17,14,14,7,7,0,7,0,0,14,7,0
2018-10-10,bear,bear,3551,3551,2524,26,14,14,8,8,0,8,0,0,14,8,0
2018-10-11,bear,bear,3551,3551,2524,29,19,19,14,14,2,14,0,2,19,14,2
2018-10-12,bear,bear,3551,3551,2524,12,6,6,3,3,0,3,0,0,6,3,0
2018-10-15,bear,bear,3551,3551,2526,36,19,19,14,14,0,14,0,0,19,14,0
2018-10-16,bear,bear,3552,3552,2527,34,11,11,11,10,0,11,0,0,11,11,0
2018-10-17,bear,bear,3553,3553,2527,21,11,11,8,8,1,8,1,1,11,8,1
2018-10-18,bear,bear,3553,3553,2527,45,23,23,17,17,1,17,1,1,23,17,1
2018-10-19,bear,bear,3553,3553,2527,21,12,12,9,8,0,9,0,0,12,9,0
2018-10-22,bear,bear,3554,3554,2528,53,26,26,24,21,0,24,0,0,26,24,0
2018-10-23,bear,bear,3554,3554,2528,235,174,174,149,123,0,149,0,0,174,149,0
2018-10-24,bear,bear,3555,3555,2528,22,14,14,10,8,0,10,0,0,14,10,0
2018-10-25,bear,bear,3555,3555,2528,38,23,23,19,19,2,19,0,2,23,19,2
2018-10-26,bear,bear,3555,3555,2528,32,26,26,18,12,0,18,0,0,26,18,0
2018-10-29,bear,bear,3556,3556,2528,55,37,37,27,23,0,27,0,0,37,27,0
