type,code,date,rank,open_gap,position_60d,market_mode,bear_candidate_count,slots_available
rank_rejected,600532.XSHG,2018-09-06,7,-0.034483,0.138418,bear,9,0
rank_rejected,000979.XSHE,2018-12-28,0,,0.012987,bear,4,2
rank_rejected,000408.XSHE,2019-06-25,0,-0.03555,0.353519,bear,12,2
rank_rejected,002680.XSHE,2019-11-27,6,,0.333333,bear,11,1
rank_rejected,600335.XSHG,2020-04-02,5,-0.030142,0.47651,bear,14,1
rank_rejected,600766.XSHG,2020-04-02,7,-0.03576,0.421941,bear,14,1
rank_rejected,002825.XSHE,2021-01-18,34,-0.033543,0.214214,bear,39,1
rank_rejected,002086.XSHE,2021-01-28,3,-0.035928,0.142839,bear,25,2
rank_rejected,600661.XSHG,2022-04-07,15,-0.032505,0.470817,bear,23,2
rank_rejected,600318.XSHG,2022-04-22,3,-0.031039,0.095989,bear,8,1
rank_rejected,603755.XSHG,2022-04-22,7,-0.038711,0.363902,bear,8,1
rank_rejected,002797.XSHE,2022-04-28,39,-0.03777,0.303571,bear,107,0
rank_rejected,000600.XSHE,2022-04-29,7,-0.032099,0.417476,bear,42,2
rank_rejected,002206.XSHE,2022-05-06,21,-0.032755,0.246246,bear,100,1
rank_rejected,600721.XSHG,2022-05-10,59,-0.035294,0.302222,bear,81,0
rank_rejected,600822.XSHG,2022-05-10,62,-0.030151,0.367742,bear,81,0
rank_rejected,603900.XSHG,2022-05-10,77,-0.038123,0.267913,bear,81,0
rank_rejected,603918.XSHG,2022-05-19,33,-0.031378,0.204396,bear,44,0
rank_rejected,002518.XSHE,2022-05-19,39,-0.033816,0.436885,bear,44,0
rank_rejected,002881.XSHE,2022-05-19,40,-0.030502,0.413004,bear,44,0
rank_rejected,600683.XSHG,2022-05-20,12,-0.031434,0.417021,bear,24,2
rank_rejected,002922.XSHE,2022-05-20,18,-0.0351,0.437901,bear,24,2
rank_rejected,000835.XSHE,2022-05-23,4,,0.030303,bear,40,2
rank_rejected,600353.XSHG,2022-10-13,26,-0.036397,0.346715,bear,41,2
rank_rejected,603507.XSHG,2022-10-13,34,-0.034639,0.259673,bear,41,2
rank_rejected,002417.XSHE,2023-07-10,1,,0.04878,bear,2,2
rank_rejected,603728.XSHG,2024-02-21,47,-0.035781,0.242629,bear,49,1
rank_rejected,000982.XSHE,2024-02-22,10,-0.037037,0.372881,bear,69,1
rank_rejected,003025.XSHE,2024-02-27,15,-0.031758,0.398131,bear,26,1
rank_rejected,002141.XSHE,2024-07-16,2,-0.03,0.407407,bear,12,2
rank_rejected,605588.XSHG,2025-01-20,8,-0.032331,0.396617,bear,9,1
