time,code,amount,price,commission,tax,trade_id,order_id
2018-01-19 9:30,002783.XSHE,26300,19.0,149.91,0.0,t_1,1
2018-01-22 11:25,002783.XSHE,-26300,19.47,153.62,512.06,t_2,2
2018-01-24 9:30,002836.XSHE,23800,21.18,151.23,0.0,t_3,3
2018-01-25 9:30,600275.XSHG,93500,5.42,152.03,0.0,t_4,4
2018-01-25 14:50,002836.XSHE,-23800,20.91,149.3,497.66,t_5,5
2018-01-26 11:25,600275.XSHG,-93500,5.55,155.68,518.92,t_6,6
2018-03-02 9:30,000670.XSHE,93300,5.45,152.55,0.0,t_7,7
2018-03-05 11:25,000670.XSHE,-93300,5.49,153.67,512.22,t_8,8
2018-03-08 9:30,600749.XSHG,33100,15.39,152.82,0.0,t_9,9
2018-03-09 14:50,600749.XSHG,-33100,15.41,153.02,510.07,t_10,10
2018-03-14 9:30,002606.XSHE,53000,9.61,152.8,0.0,t_11,11
2018-03-14 9:30,002684.XSHE,33300,15.27,152.55,0.0,t_12,12
2018-03-15 11:25,002684.XSHE,-33300,15.62,156.04,520.15,t_13,13
2018-03-15 13:01,002606.XSHE,-53000,9.35,148.66,495.55,t_14,14
2018-04-13 9:30,002348.XSHE,112700,4.5,152.14,0.0,t_15,15
2018-04-16 13:01,002348.XSHE,-112700,4.34,146.74,489.12,t_16,16
2018-05-04 9:30,600620.XSHG,60600,8.22,149.44,0.0,t_17,17
2018-05-07 11:25,600620.XSHG,-60600,8.29,150.71,502.37,t_18,18
2018-05-31 9:30,601069.XSHG,26800,18.59,149.46,0.0,t_19,19
2018-06-01 11:25,601069.XSHG,-26800,20.3,163.21,544.04,t_20,20
2018-06-06 9:30,000982.XSHE,286800,1.82,156.59,0.0,t_21,21
2018-06-07 11:25,000982.XSHE,-286800,1.87,160.89,536.32,t_22,22
2018-06-11 9:30,002427.XSHE,59300,8.92,158.69,0.0,t_23,23
2018-06-12 13:01,002427.XSHE,-59300,8.48,150.86,502.86,t_24,24
2018-06-26 9:30,002849.XSHE,30300,17.0,154.53,0.0,t_25,25
2018-06-27 11:25,002849.XSHE,-30300,17.09,155.35,517.83,t_26,26
2018-07-02 9:30,002562.XSHE,79400,6.5,154.83,0.0,t_27,27
2018-07-02 9:30,002772.XSHE,63800,8.09,154.84,0.0,t_28,28
2018-07-03 11:25,002772.XSHE,-63800,8.13,155.61,518.69,t_29,29
2018-07-03 14:50,002562.XSHE,-79400,6.63,157.93,526.42,t_30,30
2018-07-04 9:30,000856.XSHE,38600,13.51,156.45,0.0,t_31,31
2018-07-04 9:30,600360.XSHG,79100,6.6,156.62,0.0,t_32,32
2018-07-05 13:01,000856.XSHE,-38600,13.04,151.0,503.34,t_33,33
2018-07-05 13:01,600360.XSHG,-79100,6.44,152.82,509.4,t_34,34
2018-07-11 9:30,603309.XSHG,40300,12.54,151.61,0.0,t_35,35
2018-07-12 11:25,603309.XSHG,-40300,12.62,152.58,508.59,t_36,36
2018-07-18 9:30,002314.XSHE,126400,4.01,152.06,0.0,t_37,37
2018-07-19 13:01,002314.XSHE,-126400,3.88,147.13,490.43,t_38,38
2018-08-03 9:30,002287.XSHE,16600,30.0,149.4,0.0,t_39,39
2018-08-06 13:01,002287.XSHE,-16600,28.01,139.49,464.97,t_40,40
2018-08-07 9:30,002888.XSHE,26500,18.13,144.13,0.0,t_41,41
2018-08-08 11:25,002888.XSHE,-26500,19.26,153.12,510.39,t_42,42
2018-08-09 9:30,002770.XSHE,148500,3.34,148.8,0.0,t_43,43
2018-08-10 11:25,002770.XSHE,-148500,3.42,152.36,507.87,t_44,44
2018-08-23 9:30,603336.XSHG,22100,22.63,150.04,0.0,t_45,45
2018-08-24 11:25,603336.XSHG,-22100,23.99,159.05,530.18,t_46,46
