date,limit_up_count,limit_down_count,first_board_count,second_board_count,third_board_count,four_plus_board_count,max_board_height,touched_limit_count,advance_count,decline_count,market_median_return,market_positive_rate,return_above_3pct_count,return_below_minus3pct_count,return_above_5pct_count,return_below_minus5pct_count,total_market_turnover,limit_up_turnover,sealed_limit_count,broken_board_count,broken_board_rate,first_board_broken_rate,advance_decline_ratio,limit_up_turnover_share,top_sector_limit_up_share,top_sector_name,top3_sector_limit_up_share,limit_up_sector_count,first_to_second_promotion_rate,second_to_third_promotion_rate,third_to_higher_promotion_rate,prev_first_board_next_day_mean_return,prev_first_board_next_day_median_return,prev_first_board_positive_rate,prev_limit_up_next_day_mean_return,prev_limit_up_positive_rate,000001_return,000300_return,000852_return,399006_return,000001_open_gap,000300_open_gap,000852_open_gap,399006_open_gap,limit_up_count_change_1d,limit_up_count_change_3d,first_board_count_change_1d,first_board_count_change_3d,max_board_height_change_1d,max_board_height_change_3d,total_market_turnover_change_1d,total_market_turnover_change_3d,date_dt,breadth_score,height_score,profit_score,stress_score,liquidity_score,emotion_heat,emotion_momentum,emotion_stress,emotion_state_v1,emotion_state_v2,emotion_state
2017-01-03,46,4,46,0,0,0,1,54,2361,464,0.009724464,0.8206465,275,41,95,18,3.5949894e+11,1.1393372e+10,46,8,0.14814814814814814,0.0,5.088362068965517,0.031692367,0.08695652173913043,医药生物,0.2391304347826087,22,,,,,,,,,0.01040188954208685,0.00971169171235095,0.008747640551411645,0.0006097111431244025,0.0005385251584700347,0.001169928716365748,0.0015075031848948265,0.001519860562794493,,,,,,,,,2017-01-03,,,,,,,,,,,
2017-01-04,74,1,74,31,0,0,2,86,2402,411,0.008664437,0.83171743,316,18,139,8,4.5080648e+11,2.2817432e+10,74,12,0.13953488372093023,0.0,5.844282238442823,0.050614692,0.06756756756756757,传媒,0.1891891891891892,21,,,,0.07377464,0.09996024,0.8913044,0.07377464,0.8913044,0.007293885150737283,0.007804517872223208,0.012237167045567064,0.014420022153847684,-0.0006803567408023771,-0.000499570372401626,0.00024424597577887077,-0.00011763985354708718,28.0,,28.0,,1.0,,9.130754e+10,,2017-01-04,,,,,,,,,,,
2017-01-05,59,4,59,11,20,0,3,76,1173,1594,-0.0018115493,0.40658578,169,93,88,20,4.502497e+11,1.5761105e+10,59,17,0.2236842105263158,0.0,0.7358845671267252,0.035005253,0.11864406779661017,机械设备,0.2711864406779661,22,0.6739130434782609,0.4189189189189189,0.0,0.042918116,0.05005005,0.6621622,0.042918116,0.6621622,0.002094768913051207,-0.00015511062322941043,9.365683696638793e-05,-0.003813017080948448,-0.00028102349436793676,8.407865558229724e-06,-0.0005445245410326367,-0.0004364108347080479,-15.0,,-15.0,,1.0,,-5.5679386e+08,,2017-01-05,,,,,,,,,,,
2017-01-06,48,13,48,6,5,17,4,61,814,1996,-0.008011629,0.28156346,116,325,64,132,4.548971e+11,9.63227e+09,48,13,0.21311475409836064,0.0,0.40781563126252507,0.021174613,0.08333333333333333,计算机,0.20833333333333331,20,0.4189189189189189,0.1864406779661017,0.0,0.03604137,0.050113957,0.66101694,0.03604137,0.66101694,-0.0035034452524591564,-0.005975077685144005,-0.007019222418885838,-0.009547156277424302,-0.0005164465791314396,-0.0002782275354644055,-0.001045928955947618,-0.0015785076356269081,-11.0,2.0,-11.0,2.0,1.0,3.0,4.64742e+09,9.539817e+10,2017-01-06,,,,,,,,,,,
2017-01-09,51,6,51,5,5,18,5,59,1855,959,0.003851118,0.6412029,215,90,89,30,4.155142e+11,1.1881654e+10,51,8,0.13559322033898305,0.0,1.9343065693430657,0.028595062,0.1568627450980392,医药生物,0.2549019607843137,22,0.4745762711864407,0.125,0.0,0.06781849,0.09985496,0.9166667,0.06781849,0.9166667,0.005362497609344944,0.0048496059157345055,0.0051043572055839825,-0.0017357946804993512,-0.0018353574535303484,-0.0005729999951867125,-0.0016246415898722361,-0.0014376743357954508,3.0,-23.0,3.0,-23.0,1.0,3.0,-3.938291e+10,-3.5292283e+10,2017-01-09,,,,,,,,,,,
2017-01-10,57,11,57,4,5,20,5,73,1022,1782,-0.004035528,0.35302246,131,123,83,28,4.1759995e+11,1.8283581e+10,57,16,0.2191780821917808,0.0,0.5735129068462402,0.04378253,0.14035087719298245,医药生物,0.24561403508771928,20,0.5833333333333334,0.09803921568627451,0.0,0.047836483,0.0998845,0.7647059,0.047836483,0.7647059,-0.003016078592801521,-0.0016736170886030015,-0.0051184172773102955,-0.005068208361834382,-0.0011560210365650161,-0.0006724224772726283,-0.000897404356698197,-0.000775813487144409,6.0,-2.0,6.0,-2.0,0.0,2.0,2.0857487e+09,-3.264974e+10,2017-01-10,,,,,,,,,,,
2017-01-11,43,10,43,6,2,18,5,52,537,2294,-0.011990453,0.18542817,82,381,58,95,4.0457087e+11,6.5764936e+09,43,9,0.17307692307692307,0.0,0.23408892763731473,0.01625548,0.09302325581395349,汽车,0.20930232558139536,20,0.5686274509803921,0.07017543859649122,0.0,0.024733838,0.025814198,0.5964912,0.024733838,0.5964912,-0.00788126459146673,-0.007079869259378807,-0.010419588566328651,-0.007240241829255936,-0.001576963331702986,-0.0007357067874040018,-0.0019517854178956896,-0.0021796781864557102,-14.0,-5.0,-14.0,-5.0,0.0,1.0,-1.3029081e+10,-5.032624e+10,2017-01-11,,,,,,,,,,,
2017-01-12,43,8,43,4,4,15,5,52,671,2162,-0.009389662,0.2311402,98,287,55,54,3.637701e+11,6.759178e+09,43,9,0.17307692307692307,0.0,0.31036077705827936,0.018580908,0.06976744186046512,食品饮料,0.20930232558139533,17,0.43859649122807015,0.13953488372093023,0.0,0.05550043,0.099893734,0.7209302,0.05550043,0.7209302,-0.005567808948562368,-0.0050596375350497325,-0.00898889592474968,-0.0038202835592036533,-0.0010048145482825454,-0.0005426819102783969,-0.0012105854038422631,-0.0010480468527030158,0.0,-8.0,0.0,-8.0,0.0,0.0,-4.080078e+10,-5.1744113e+10,2017-01-12,,,,,,,,,,,
2017-01-13,34,16,34,6,3,15,5,44,540,2308,-0.016647708,0.18595041,74,776,44,263,3.8366416e+11,7.352098e+09,34,10,0.22727272727272727,0.0,0.2339688041594454,0.019162847,0.14705882352941177,医药生物,0.3235294117647059,15,0.5348837209302325,0.09302325581395349,0.0,0.0030580994,0.099877715,0.6511628,0.0030580994,0.6511628,-0.0020915570222639723,0.0006896760818392068,-0.018597079967088596,-0.015647482298759563,-0.0010277377262787942,0.00010199435013115031,-0.0010974432745830813,-1.796133190865398e-05,-9.0,-23.0,-9.0,-23.0,0.0,0.0,1.9894075e+10,-3.3935786e+10,2017-01-13,,,,,,,,,,,
2017-01-16,35,105,35,5,4,16,5,39,383,2509,-0.04186745,0.13166036,62,1850,40,1171,5.216835e+11,5.177905e+09,35,4,0.10256410256410256,0.0,0.1526504583499402,0.009925377,0.08571428571428572,机械设备,0.22857142857142856,17,0.5581395348837209,0.17647058823529413,0.0,0.07776522,0.09994941,0.85294116,0.07776522,0.85294116,-0.002999400072926159,-0.00014053165234631236,-0.0427559372217149,-0.036366934113647414,-0.0026574361505905583,-0.0017354298606596678,-0.002780754264810722,-0.0013138373888347658,1.0,-8.0,1.0,-8.0,0.0,0.0,1.3801934e+11,1.17112635e+11,2017-01-16,,,,,,,,,,,
