date,value
2018-01-02,1000000.0
2018-01-03,1000000.0
2018-01-04,1000000.0
2018-01-05,1000000.0
2018-01-08,1000000.0
2018-01-09,1000000.0
2018-01-10,1000000.0
2018-01-11,1000000.0
2018-01-12,1000000.0
2018-01-15,1000000.0
2018-01-16,1000000.0
2018-01-17,1000000.0
2018-01-18,1000000.0
2018-01-19,1032462.0900000001
2018-01-22,1011545.41
2018-01-23,1011545.41
2018-01-24,1016154.18
2018-01-25,1004169.1900000001
2018-01-26,1015649.5900000001
2018-01-29,1015649.5900000001
2018-01-30,1015649.5900000001
2018-01-31,1015649.5900000001
2018-02-01,1015649.5900000001
2018-02-02,1015649.5900000001
2018-02-05,1015649.5900000001
2018-02-06,1015649.5900000001
2018-02-07,1015649.5900000001
2018-02-08,1015649.5900000001
2018-02-09,1015649.5900000001
2018-02-12,1015649.5900000001
2018-02-13,1015649.5900000001
2018-02-14,1015649.5900000001
2018-02-22,1015649.5900000001
2018-02-23,1015649.5900000001
2018-02-26,1015649.5900000001
2018-02-27,1015649.5900000001
2018-02-28,1015649.5900000001
2018-03-01,1015649.5900000001
2018-03-02,1016430.04
2018-03-05,1018563.1500000001
2018-03-06,1018563.1500000001
2018-03-07,1018563.1500000001
2018-03-08,1022382.3300000001
2018-03-09,1018409.24
2018-03-12,1018409.24
2018-03-13,1018409.24
2018-03-14,1018409.24
2018-03-15,1018409.24
2018-03-16,1018409.24
2018-03-19,1018409.24
2018-03-20,1018409.24
2018-03-21,1018409.24
2018-03-22,1018409.24
2018-03-23,1018409.24
2018-03-26,1018409.24
2018-03-27,1018409.24
2018-03-28,1018409.24
2018-03-29,1018409.24
2018-03-30,1018409.24
2018-04-02,1018409.24
2018-04-03,1018409.24
2018-04-04,1018409.24
2018-04-09,1018409.24
2018-04-10,1018409.24
2018-04-11,1018409.24
2018-04-12,1018409.24
2018-04-13,1018409.24
2018-04-16,1018409.24
2018-04-17,1018409.24
2018-04-18,1018409.24
2018-04-19,1018409.24
2018-04-20,1018409.24
2018-04-23,1018409.24
2018-04-24,1018409.24
2018-04-25,1018409.24
2018-04-26,1018409.24
2018-04-27,1018409.24
2018-05-02,1018409.24
2018-05-03,1018409.24
2018-05-04,1018409.24
2018-05-07,1018409.24
2018-05-08,1018409.24
2018-05-09,1018409.24
2018-05-10,1018409.24
2018-05-11,1018409.24
2018-05-14,1018409.24
2018-05-15,1018409.24
2018-05-16,1018409.24
