code,entry_date,exit_date,buy_price,sell_price,shares,ret,year,holding_days,buy_market_mode
002783.XSHE,2018-01-19,2018-01-22,19.0,19.47,26300,0.0247368421052631,2018,3,bear
002836.XSHE,2018-01-24,2018-01-25,21.18,20.91,23800,-0.01274787535410763,2018,1,bear
600275.XSHG,2018-01-25,2018-01-26,5.42,5.55,93500,0.023985239852398504,2018,1,bear
000670.XSHE,2018-03-02,2018-03-05,5.45,5.49,93300,0.00733944954128441,2018,3,bear
600749.XSHG,2018-03-08,2018-03-09,15.39,15.41,33100,0.0012995451591942542,2018,1,bear
601069.XSHG,2018-05-31,2018-06-01,18.59,20.3,27300,0.09198493813878433,2018,1,bear
000982.XSHE,2018-06-06,2018-06-07,1.82,1.87,292300,0.027472527472527496,2018,1,bear
002427.XSHE,2018-06-11,2018-06-12,8.92,8.48,60400,-0.049327354260089634,2018,1,bear
002849.XSHE,2018-06-26,2018-06-27,17.0,17.09,30800,0.0052941176470588155,2018,1,bear
002772.XSHE,2018-07-02,2018-07-03,8.09,8.13,65000,0.0049443757725588285,2018,1,bear
002562.XSHE,2018-07-02,2018-07-03,6.5,6.63,80900,0.019999999999999983,2018,1,bear
000856.XSHE,2018-07-04,2018-07-05,13.51,13.04,39400,-0.0347890451517395,2018,1,bear
600360.XSHG,2018-07-04,2018-07-05,6.6,6.44,80400,-0.02424242424242413,2018,1,bear
603309.XSHG,2018-07-11,2018-07-12,12.54,12.62,41100,0.006379585326953754,2018,1,bear
002314.XSHE,2018-07-18,2018-07-19,4.01,3.88,128800,-0.03241895261845384,2018,1,bear
002287.XSHE,2018-08-03,2018-08-06,30.0,28.01,16900,-0.06633333333333329,2018,3,bear
002888.XSHE,2018-08-07,2018-08-08,18.13,19.26,27000,0.06232763375620533,2018,1,bear
002770.XSHE,2018-08-09,2018-08-10,3.34,3.42,151300,0.023952095808383256,2018,1,bear
603336.XSHG,2018-08-23,2018-08-24,22.63,23.99,22500,0.06009721608484311,2018,1,bear
002196.XSHE,2018-08-29,2018-08-30,6.6,6.39,79700,-0.031818181818181815,2018,1,bear
002464.XSHE,2018-08-31,2018-09-03,12.04,12.92,42900,0.07308970099667782,2018,3,bear
000760.XSHE,2018-09-03,2018-09-04,3.5,3.21,147900,-0.08285714285714287,2018,1,bear
002091.XSHE,2018-09-06,2018-09-07,6.0,5.81,85600,-0.03166666666666673,2018,1,bear
002143.XSHE,2018-09-06,2018-09-10,3.42,4.56,150200,0.33333333333333326,2018,4,bear
002893.XSHE,2018-10-11,2018-10-12,18.5,19.4,31900,0.048648648648648575,2018,1,bear
603041.XSHG,2018-10-11,2018-10-12,15.01,15.21,39300,0.013324450366422456,2018,1,bear
603936.XSHG,2018-10-17,2018-10-18,14.81,14.02,41000,-0.05334233625928433,2018,1,bear
603516.XSHG,2018-10-18,2018-10-19,22.7,20.88,26700,-0.08017621145374451,2018,1,bear
000153.XSHE,2018-10-25,2018-10-26,5.2,5.32,109100,0.023076923076923096,2018,1,bear
002336.XSHE,2018-10-25,2018-10-26,7.18,7.11,78600,-0.009749303621169833,2018,1,bear
002766.XSHE,2018-11-01,2018-11-02,6.54,6.93,87000,0.05963302752293573,2018,1,bear
000736.XSHE,2019-01-31,2019-02-01,8.01,7.77,73200,-0.02996254681647943,2019,1,bear
000957.XSHE,2019-05-08,2019-05-09,7.55,8.26,76300,0.09403973509933775,2019,1,bear
000570.XSHE,2019-05-09,2019-05-10,4.83,4.94,119300,0.022774327122153274,2019,1,bear
000670.XSHE,2019-05-13,2019-05-14,3.1,2.95,196500,-0.04838709677419352,2019,1,bear
002442.XSHE,2019-05-14,2019-05-15,6.96,6.9,87400,-0.008620689655172358,2019,1,bear
603650.XSHG,2019-05-17,2019-05-20,21.0,21.6,28100,0.02857142857142864,2019,3,bear
002121.XSHE,2019-05-21,2019-05-22,5.45,5.51,110000,0.011009174311926533,2019,1,bear
600128.XSHG,2019-05-24,2019-05-27,7.95,8.39,75700,0.055345911949685585,2019,3,bear
002606.XSHE,2019-06-13,2019-06-14,5.79,5.91,106700,0.020725388601036288,2019,1,bear
000017.XSHE,2019-06-13,2019-06-14,4.6,4.49,134200,-0.02391304347826075,2019,1,bear
002517.XSHE,2019-06-18,2019-06-19,3.52,3.69,174900,0.04829545454545452,2019,1,bear
600017.XSHG,2019-06-20,2019-06-21,3.23,3.22,195000,-0.0030959752321980762,2019,1,bear
002284.XSHE,2019-06-24,2019-06-25,5.5,5.61,114300,0.02000000000000006,2019,1,bear
002359.XSHE,2019-06-24,2019-06-25,2.69,2.74,233500,0.018587360594795637,2019,1,bear
600212.XSHG,2019-06-26,2019-06-27,4.37,4.21,146700,-0.03661327231121285,2019,1,bear
600880.XSHG,2019-06-28,2019-07-01,3.8,3.87,165100,0.018421052631579022,2019,3,bear
