code,entry_date,exit_date,buy_price,sell_price,shares,ret,year,holding_days,buy_market_mode,candidate_source
002684.XSHE,2018-03-14,2018-03-15,15.27,15.62,33300,0.022920759659462976,2018,1,cautious,history_fallback
002606.XSHE,2018-03-14,2018-03-15,9.61,9.35,53000,-0.027055150884495296,2018,1,cautious,history_fallback
002348.XSHE,2018-04-13,2018-04-16,4.5,4.34,112700,-0.03555555555555559,2018,3,cautious,history_fallback
600620.XSHG,2018-05-04,2018-05-07,8.22,8.29,60600,0.008515815085157969,2018,3,cautious,history_fallback
603032.XSHG,2019-01-17,2019-01-18,28.11,26.4,20400,-0.06083244397011743,2019,1,cautious,history_fallback
000506.XSHE,2019-01-21,2019-01-22,3.08,3.24,180700,0.05194805194805199,2019,1,cautious,history_fallback
000585.XSHE,2019-05-06,2019-05-07,2.48,2.52,227400,0.01612903225806453,2019,1,bull,history_fallback
600020.XSHG,2019-05-06,2019-05-07,5.21,5.42,107300,0.04030710172744721,2019,1,bull,history_fallback
600306.XSHG,2020-03-06,2020-03-09,5.04,5.2,163000,0.03174603174603177,2020,3,bull,history_fallback
600212.XSHG,2020-03-12,2020-03-13,3.63,3.3,229200,-0.09090909090909093,2020,1,cautious,history_fallback
000603.XSHE,2020-03-23,2020-03-24,11.24,12.17,70600,0.08274021352313164,2020,1,cautious,history_fallback
002565.XSHE,2020-03-23,2020-03-24,4.96,4.87,160000,-0.01814516129032255,2020,1,cautious,history_fallback
000736.XSHE,2020-03-26,2020-03-27,7.96,8.38,102900,0.05276381909547749,2020,1,cautious,history_fallback
000980.XSHE,2020-03-26,2020-03-27,2.48,2.42,329300,-0.024193548387096794,2020,1,cautious,history_fallback
000727.XSHE,2020-04-23,2020-04-24,1.38,1.3,619400,-0.05797101449275352,2020,1,cautious,history_fallback
002848.XSHE,2020-04-23,2020-04-24,12.2,12.47,69000,0.02213114754098372,2020,1,cautious,history_fallback
000687.XSHE,2020-05-11,2020-05-12,3.51,3.39,240000,-0.034188034188034094,2020,1,cautious,history_fallback
002700.XSHE,2020-05-14,2020-05-15,3.77,3.74,219500,-0.00795755968169756,2020,1,cautious,history_fallback
002219.XSHE,2020-05-19,2020-05-21,1.2,1.11,686400,-0.07499999999999989,2020,2,cautious,history_fallback
000835.XSHE,2020-05-21,2020-05-22,2.8,2.81,294000,0.003571428571428654,2020,1,cautious,history_fallback
000835.XSHE,2020-06-01,2020-06-02,2.9,2.98,272700,0.027586206896551748,2020,1,cautious,history_fallback
002188.XSHE,2020-06-02,2020-06-03,3.75,4.02,210800,0.07199999999999988,2020,1,bull,history_fallback
002377.XSHE,2020-06-11,2020-06-12,4.02,3.89,206200,-0.03233830845771131,2020,1,bull,history_fallback
002239.XSHE,2020-06-12,2020-06-15,3.42,3.36,242300,-0.017543859649122823,2020,3,bull,history_fallback
000981.XSHE,2020-06-23,2020-06-24,1.27,1.4,635500,0.10236220472440936,2020,1,bull,history_fallback
002079.XSHE,2020-08-27,2020-08-28,11.26,11.29,75300,0.0026642984014209024,2020,1,bull,history_fallback
002460.XSHE,2021-04-20,2021-04-21,101.0,98.95,10100,-0.02029702970297027,2021,1,cautious,history_fallback
600301.XSHG,2021-04-28,2021-04-29,6.08,6.31,166900,0.037828947368420976,2021,1,cautious,history_fallback
