schema_version,trade_date,code,branch,observation_level,prepared_candidate,handler_eligible,terminal_state,fill_status,order_id,entry_price,entry_amount
0.2,2023-01-03,002093.XSHE,Scorpion,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-03,002339.XSHE,Scorpion,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-03,603856.XSHG,Scorpion,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-03,002858.XSHE,Scorpion,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-03,002640.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-03,002252.XSHE,Auction,PREPARED_CANDIDATE,True,,FILLED,FULL,1,6.55,47300.0
0.2,2023-01-03,002582.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-03,600845.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-03,000899.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-03,000892.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-03,600880.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-03,002642.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-04,002244.XSHE,Scorpion,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-04,002693.XSHE,Scorpion,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-04,002826.XSHE,Scorpion,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-04,600532.XSHG,Scorpion,PREPARED_CANDIDATE,True,,FILLED,FULL,2,11.66,29600.0
0.2,2023-01-04,600062.XSHG,Scorpion,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-04,001308.XSHE,Scorpion,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-04,603138.XSHG,Scorpion,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-04,603529.XSHG,Scorpion,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-04,600062.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-04,000948.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-04,002368.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-04,603233.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-04,002244.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-04,600996.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-04,002405.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-04,002031.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-04,000597.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-04,600789.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-04,002626.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-04,003029.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-04,002072.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-04,002162.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-04,002549.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-04,002412.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
