schema_version,signal_id,trade_date,signal_time,code,branch,signal_variant,strategy_commit,strategy_sha256,observation_level,raw_pattern_hit,prepared_candidate,handler_eligible,branch_eligible,raw_candidate_rank,final_candidate_rank,branch_candidate_count,terminal_state,market_mode,raw_market_mode,active_route,emotion_state,emotion_heat,emotion_momentum,emotion_stress,source_function,source_path,source_line,branch_payload
0.2,Scorpion|2023-01-03|002093.XSHE|SCORPION_PREPARED,2023-01-03,09:05,002093.XSHE,Scorpion,SCORPION_PREPARED,bd209837585538a1bdf89991d6901add5e610702,16a22f329f2169490fb92e08f9985019a453df190cedc75cfdcf1b709cf4c3df,PREPARED_CANDIDATE,,True,,,1,,4,UNRESOLVED,bear,bear,v227,bear,0.5,0.0,,prepare_all,research/instrumented_strategies/motherboard_phase1a_observed.py,,{}
0.2,Scorpion|2023-01-03|002339.XSHE|SCORPION_PREPARED,2023-01-03,09:05,002339.XSHE,Scorpion,SCORPION_PREPARED,bd209837585538a1bdf89991d6901add5e610702,16a22f329f2169490fb92e08f9985019a453df190cedc75cfdcf1b709cf4c3df,PREPARED_CANDIDATE,,True,,,2,,4,UNRESOLVED,bear,bear,v227,bear,0.5,0.0,,prepare_all,research/instrumented_strategies/motherboard_phase1a_observed.py,,{}
0.2,Scorpion|2023-01-03|603856.XSHG|SCORPION_PREPARED,2023-01-03,09:05,603856.XSHG,Scorpion,SCORPION_PREPARED,bd209837585538a1bdf89991d6901add5e610702,16a22f329f2169490fb92e08f9985019a453df190cedc75cfdcf1b709cf4c3df,PREPARED_CANDIDATE,,True,,,3,,4,UNRESOLVED,bear,bear,v227,bear,0.5,0.0,,prepare_all,research/instrumented_strategies/motherboard_phase1a_observed.py,,{}
0.2,Scorpion|2023-01-03|002858.XSHE|SCORPION_PREPARED,2023-01-03,09:05,002858.XSHE,Scorpion,SCORPION_PREPARED,bd209837585538a1bdf89991d6901add5e610702,16a22f329f2169490fb92e08f9985019a453df190cedc75cfdcf1b709cf4c3df,PREPARED_CANDIDATE,,True,,,4,,4,UNRESOLVED,bear,bear,v227,bear,0.5,0.0,,prepare_all,research/instrumented_strategies/motherboard_phase1a_observed.py,,{}
0.2,Auction|2023-01-03|002640.XSHE|AUCTION_PREPARED,2023-01-03,09:05,002640.XSHE,Auction,AUCTION_PREPARED,bd209837585538a1bdf89991d6901add5e610702,16a22f329f2169490fb92e08f9985019a453df190cedc75cfdcf1b709cf4c3df,PREPARED_CANDIDATE,,True,,,1,,8,UNRESOLVED,bear,bear,v227,bear,0.5,0.0,,prepare_all,research/instrumented_strategies/motherboard_phase1a_observed.py,,{}
0.2,Auction|2023-01-03|002582.XSHE|AUCTION_PREPARED,2023-01-03,09:05,002582.XSHE,Auction,AUCTION_PREPARED,bd209837585538a1bdf89991d6901add5e610702,16a22f329f2169490fb92e08f9985019a453df190cedc75cfdcf1b709cf4c3df,PREPARED_CANDIDATE,,True,,,3,,8,UNRESOLVED,bear,bear,v227,bear,0.5,0.0,,prepare_all,research/instrumented_strategies/motherboard_phase1a_observed.py,,{}
0.2,Auction|2023-01-03|600845.XSHG|AUCTION_PREPARED,2023-01-03,09:05,600845.XSHG,Auction,AUCTION_PREPARED,bd209837585538a1bdf89991d6901add5e610702,16a22f329f2169490fb92e08f9985019a453df190cedc75cfdcf1b709cf4c3df,PREPARED_CANDIDATE,,True,,,4,,8,UNRESOLVED,bear,bear,v227,bear,0.5,0.0,,prepare_all,research/instrumented_strategies/motherboard_phase1a_observed.py,,{}
0.2,Auction|2023-01-03|000899.XSHE|AUCTION_PREPARED,2023-01-03,09:05,000899.XSHE,Auction,AUCTION_PREPARED,bd209837585538a1bdf89991d6901add5e610702,16a22f329f2169490fb92e08f9985019a453df190cedc75cfdcf1b709cf4c3df,PREPARED_CANDIDATE,,True,,,5,,8,UNRESOLVED,bear,bear,v227,bear,0.5,0.0,,prepare_all,research/instrumented_strategies/motherboard_phase1a_observed.py,,{}
0.2,Auction|2023-01-03|000892.XSHE|AUCTION_PREPARED,2023-01-03,09:05,000892.XSHE,Auction,AUCTION_PREPARED,bd209837585538a1bdf89991d6901add5e610702,16a22f329f2169490fb92e08f9985019a453df190cedc75cfdcf1b709cf4c3df,PREPARED_CANDIDATE,,True,,,6,,8,UNRESOLVED,bear,bear,v227,bear,0.5,0.0,,prepare_all,research/instrumented_strategies/motherboard_phase1a_observed.py,,{}
0.2,Auction|2023-01-03|600880.XSHG|AUCTION_PREPARED,2023-01-03,09:05,600880.XSHG,Auction,AUCTION_PREPARED,bd209837585538a1bdf89991d6901add5e610702,16a22f329f2169490fb92e08f9985019a453df190cedc75cfdcf1b709cf4c3df,PREPARED_CANDIDATE,,True,,,7,,8,UNRESOLVED,bear,bear,v227,bear,0.5,0.0,,prepare_all,research/instrumented_strategies/motherboard_phase1a_observed.py,,{}
