schema_version,trade_date,code,branch,signal_variant,observation_level,prepared_candidate,handler_reached,candidate_loop_reached,handler_eligible,branch_eligible,qualified_for_ranking,participated_in_ranking,selected_for_order,terminal_state,terminal_reason_code,fill_status,order_id,order_status,entry_price,entry_amount
0.3,2023-01-03,002093.XSHE,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-03,002339.XSHE,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-03,603856.XSHG,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-03,002858.XSHE,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-03,002640.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_LEFT_PRESSURE_FILTER,,,,,
0.3,2023-01-03,002252.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,True,True,True,FILLED,FILLED,FULL,1,open,6.55,47300.0
0.3,2023-01-03,002582.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,,,,,
0.3,2023-01-03,600845.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,,,,,
0.3,2023-01-03,000899.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_VOLUME_RATIO_FILTER,,,,,
0.3,2023-01-03,000892.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,,,,,
0.3,2023-01-03,600880.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,,,,,
0.3,2023-01-03,002642.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,,,,,
0.3,2023-01-04,002244.XSHE,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-04,002693.XSHE,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-04,002826.XSHE,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-04,600532.XSHG,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,True,FILLED,FILLED,FULL,2,filled,11.66,29600.0
0.3,2023-01-04,600062.XSHG,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-04,001308.XSHE,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-04,603138.XSHG,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-04,603529.XSHG,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-04,600062.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-04,000948.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-04,002368.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-04,603233.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-04,002244.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-04,600996.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-04,002405.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-04,002031.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-04,000597.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-04,600789.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-04,002626.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-04,003029.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-04,002072.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-04,002162.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-04,002549.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-04,002412.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-05,002845.XSHE,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-05,603439.XSHG,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-05,003004.XSHE,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-05,000716.XSHE,RZQ,RZQ_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,ROUTED_OUT,ROUTE_DISABLED,,,,,
0.3,2023-01-05,002820.XSHE,RZQ,RZQ_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,ROUTED_OUT,ROUTE_DISABLED,,,,,
0.3,2023-01-05,002995.XSHE,RZQ,RZQ_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,ROUTED_OUT,ROUTE_DISABLED,,,,,
0.3,2023-01-05,600880.XSHG,RZQ,RZQ_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,ROUTED_OUT,ROUTE_DISABLED,,,,,
0.3,2023-01-05,601155.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-05,600992.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-05,000938.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-05,000736.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-05,000797.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-05,000670.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-05,002712.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-05,002188.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-05,002575.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-05,002494.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-06,002196.XSHE,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-06,002241.XSHE,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-06,002812.XSHE,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-06,002906.XSHE,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-06,002920.XSHE,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-06,600095.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_VOLUME_RATIO_FILTER,,,,,
0.3,2023-01-06,603105.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_VOLUME_RATIO_FILTER,,,,,
0.3,2023-01-06,000665.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_VOLUME_RATIO_FILTER,,,,,
0.3,2023-01-06,000049.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_VOLUME_RATIO_FILTER,,,,,
0.3,2023-01-06,002357.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,,,,,
0.3,2023-01-06,002213.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,,,,,
0.3,2023-01-06,600853.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,,,,,
0.3,2023-01-06,001267.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,,,,,
0.3,2023-01-06,002712.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,,,,,
0.3,2023-01-06,002654.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,,,,,
0.3,2023-01-06,000507.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,,,,,
0.3,2023-01-06,002351.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_VOLUME_RATIO_FILTER,,,,,
0.3,2023-01-06,001896.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_PRICE_RANGE_FILTER,,,,,
0.3,2023-01-06,603050.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,,,,,
0.3,2023-01-09,002865.XSHE,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-09,003038.XSHE,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-09,600732.XSHG,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-09,603348.XSHG,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-09,601865.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,,,,,
0.3,2023-01-09,000301.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,,,,,
0.3,2023-01-09,002683.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_VOLUME_RATIO_FILTER,,,,,
0.3,2023-01-09,600732.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_LEFT_PRESSURE_FILTER,,,,,
