branch,terminal_state,terminal_reason_code,count
Auction,BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,126
Auction,BRANCH_FILTERED,AUCTION_VOLUME_RATIO_FILTER,124
Auction,BRANCH_FILTERED,AUCTION_LEFT_PRESSURE_FILTER,5
Auction,BRANCH_FILTERED,AUCTION_PRICE_RANGE_FILTER,5
Auction,BRANCH_FILTERED,LIMIT_UP_UNBUYABLE,1
Auction,MOTHERBOARD_GATED_OUT,AUCTION_CASH_RATIO_BLOCK,71
Auction,SLOT_BLOCKED,BRANCH_SLOT_FULL,160
RZQ,BRANCH_FILTERED,OPEN_RANGE_FILTER,5
RZQ,BRANCH_FILTERED,AUCTION_BUY_SELL_FILTER,1
RZQ,MOTHERBOARD_GATED_OUT,FB_PCT_BLOCK,7
RZQ,MOTHERBOARD_GATED_OUT,BULL_COOLDOWN,4
RZQ,ROUTED_OUT,ROUTE_DISABLED,39
Scorpion,BRANCH_FILTERED,OPEN_RANGE_FILTER,29
YJJ,BRANCH_FILTERED,OPEN_RANGE_FILTER,13
YJJ,CASH_BLOCKED,GLOBAL_CASH_INSUFFICIENT,2
YJJ,MOTHERBOARD_GATED_OUT,FB_PCT_BLOCK,11
YJJ,MOTHERBOARD_GATED_OUT,SHOCK_COOLDOWN,3
YJJ,ROUTED_OUT,ROUTE_DISABLED,30
YJJ,SLOT_BLOCKED,BRANCH_SLOT_FULL,9
YJJ,SLOT_BLOCKED,SLOTS_FILLED,9
ZB,BRANCH_FILTERED,AUCTION_BUY_SELL_FILTER,34
ZB,BRANCH_FILTERED,OPEN_RANGE_FILTER,19
ZB,CASH_BLOCKED,GLOBAL_CASH_INSUFFICIENT,21
ZB,MOTHERBOARD_GATED_OUT,BULL_COOLDOWN,47
ZB,POSITION_BLOCKED,DUPLICATE_POSITION,1
ZB,ROUTED_OUT,ROUTE_DISABLED,62
ZB,SLOT_BLOCKED,BRANCH_SLOT_FULL,17
ZB,SLOT_BLOCKED,TAKE_FILLED,9
