branch,terminal_state,count
Auction,BRANCH_FILTERED,261
Auction,FILLED,9
Auction,MOTHERBOARD_GATED_OUT,71
Auction,SLOT_BLOCKED,160
RZQ,BRANCH_FILTERED,6
RZQ,FILLED,5
RZQ,MOTHERBOARD_GATED_OUT,11
RZQ,ROUTED_OUT,39
Scorpion,BRANCH_FILTERED,29
Scorpion,FILLED,1
YJJ,BRANCH_FILTERED,13
YJJ,CASH_BLOCKED,2
YJJ,FILLED,12
YJJ,MOTHERBOARD_GATED_OUT,14
YJJ,ROUTED_OUT,30
YJJ,SLOT_BLOCKED,18
ZB,BRANCH_FILTERED,53
ZB,CASH_BLOCKED,21
ZB,FILLED,18
ZB,MOTHERBOARD_GATED_OUT,47
ZB,POSITION_BLOCKED,1
ZB,ROUTED_OUT,62
ZB,SLOT_BLOCKED,26
