token,schema_version,signal_id,branch,code,side,order_func,requested_value,requested_amount,available_cash_before,handler,time,order_returned,order_id,order_status,order_amount
intent_1,0.3,Auction|2023-01-03|002252.XSHE|AUCTION_PREPARED,Auction,002252.XSHE,buy,order_value,300000.0,,1000000.0,buy_auction_yiqian,2023-01-03 09:26,True,1,open,47300
intent_2,0.3,Scorpion|2023-01-04|600532.XSHG|SCORPION_PREPARED,Scorpion,600532.XSHG,buy,order_value,345046.03,,690092.06,buy_v227_天蝎座,2023-01-04 09:30,True,2,filled,29600
intent_3,0.3,,,600532.XSHG,sell,order_target,,0.0,344852.5200000001,sell_v227_morning,2023-01-05 11:25,True,3,filled,-29600
intent_4,0.3,,,002252.XSHE,sell,order_target,,0.0,711415.3700000001,sell_auction_yiqian,2023-01-05 14:50,True,4,filled,-47300
intent_5,0.3,Auction|2023-01-10|002646.XSHE|AUCTION_PREPARED,Auction,002646.XSHE,buy,order_value,306531.71400000004,,1021772.3800000001,buy_auction_yiqian,2023-01-10 09:26,True,5,open,18700
intent_6,0.3,,,002646.XSHE,sell,order_target,,0.0,715374.4900000001,sell_auction_yiqian,2023-01-12 11:25,True,6,filled,-18700
intent_7,0.3,Auction|2023-01-13|600556.XSHG|AUCTION_PREPARED,Auction,600556.XSHG,buy,order_value,300838.00800000003,,1002793.3600000001,buy_auction_yiqian,2023-01-13 09:26,True,7,open,41300
intent_8,0.3,,,600556.XSHG,sell,order_target,,0.0,701626.0400000002,sell_auction_yiqian,2023-01-16 14:50,True,8,filled,-41300
intent_9,0.3,YJJ|2023-01-17|002279.XSHE|YJJ_PREPARED,YJJ,002279.XSHE,buy,order_value,376485.5587500001,,1003961.4900000002,buy_v227_一进二,2023-01-17 09:26,True,9,open,42500
intent_10,0.3,YJJ|2023-01-17|002368.XSHE|YJJ_PREPARED,YJJ,002368.XSHE,buy,order_value,471111.5850000002,,628148.7800000003,buy_v227_一进二,2023-01-17 09:26,True,10,open,13800
intent_11,0.3,,,002279.XSHE,sell,order_target,,0.0,136756.41000000027,sell_v227_morning,2023-01-18 11:25,True,11,filled,-42500
intent_12,0.3,,,002368.XSHE,sell,order_target,,0.0,534888.1600000004,sell_v227_morning,2023-01-18 11:25,True,12,filled,-13800
intent_13,0.3,Auction|2023-01-20|600705.XSHG|AUCTION_PREPARED,Auction,600705.XSHG,buy,order_value,307617.50400000013,,1025391.6800000004,buy_auction_yiqian,2023-01-20 09:26,True,13,open,68500
intent_14,0.3,YJJ|2023-01-30|000758.XSHE|YJJ_PREPARED,YJJ,000758.XSHE,buy,order_value,267865.64250000013,,714308.3800000004,buy_v227_一进二,2023-01-30 09:26,True,14,open,47000
intent_15,0.3,YJJ|2023-01-30|000831.XSHE|YJJ_PREPARED,YJJ,000831.XSHE,buy,order_value,335098.6125000003,,446798.1500000004,buy_v227_一进二,2023-01-30 09:26,True,15,open,8700
intent_16,0.3,,,000831.XSHE,sell,order_target,,0.0,88643.74000000034,sell_v227_morning,2023-01-31 11:25,True,16,filled,-8700
intent_17,0.3,,,600705.XSHG,sell,order_target,,0.0,444880.0300000003,sell_auction_yiqian,2023-01-31 11:25,True,17,filled,-68500
intent_18,0.3,,,000758.XSHE,sell,order_target,,0.0,797880.5300000003,sell_v227_midday,2023-01-31 13:01,True,18,filled,-47000
intent_19,0.3,YJJ|2023-02-01|002120.XSHE|YJJ_PREPARED,YJJ,002120.XSHE,buy,order_value,398656.9950000001,,1063085.3200000003,buy_v227_一进二,2023-02-01 09:26,True,19,open,26900
intent_20,0.3,YJJ|2023-02-01|603218.XSHG|YJJ_PREPARED,YJJ,603218.XSHG,buy,order_value,499038.0375000002,,665384.0500000003,buy_v227_一进二,2023-02-01 09:26,True,20,open,20800
intent_21,0.3,,,002120.XSHE,sell,order_target,,0.0,152624.2600000003,sell_v227_morning,2023-02-02 11:25,True,21,filled,-26900
intent_22,0.3,,,603218.XSHG,sell,order_target,,0.0,562853.2700000003,sell_v227_afternoon,2023-02-02 14:50,True,22,filled,-20800
intent_23,0.3,Auction|2023-02-09|002623.XSHE|AUCTION_PREPARED,Auction,002623.XSHE,buy,order_value,320789.41200000007,,1069298.0400000003,buy_auction_yiqian,2023-02-09 09:26,True,23,open,9000
intent_24,0.3,YJJ|2023-02-14|600882.XSHG|YJJ_PREPARED,YJJ,600882.XSHG,buy,order_value,280429.35750000016,,747811.6200000003,buy_v227_一进二,2023-02-14 09:26,True,24,open,7600
intent_25,0.3,,,002623.XSHE,sell,order_target,,0.0,462650.1000000003,sell_auction_yiqian,2023-02-14 14:50,True,25,filled,-9000
intent_26,0.3,Auction|2023-02-15|000737.XSHE|AUCTION_PREPARED,Auction,000737.XSHE,buy,order_value,323383.6140000001,,787397.3800000004,buy_auction_yiqian,2023-02-15 09:26,True,26,open,47600
intent_27,0.3,YJJ|2023-02-15|002117.XSHE|YJJ_PREPARED,YJJ,002117.XSHE,buy,order_value,348429.4200000003,,464572.56000000035,buy_v227_一进二,2023-02-15 09:26,True,27,open,32600
intent_28,0.3,,,600882.XSHG,sell,order_target,,0.0,100445.36000000034,sell_v227_afternoon,2023-02-15 14:50,True,28,filled,-7600
intent_29,0.3,YJJ|2023-02-16|000034.XSHE|YJJ_PREPARED,YJJ,000034.XSHE,buy,order_value,288009.1800000003,,384012.24000000034,buy_v227_一进二,2023-02-16 09:26,True,29,open,10500
intent_30,0.3,,,002117.XSHE,sell,order_target,,0.0,81521.52000000037,sell_v227_morning,2023-02-16 11:25,True,30,filled,-32600
intent_31,0.3,,,000737.XSHE,sell,order_target,,0.0,450399.3500000004,sell_auction_yiqian,2023-02-16 14:50,True,31,filled,-47600
intent_32,0.3,,,000034.XSHE,sell,order_target,,0.0,753217.1800000004,check_stop_all,2023-02-17 09:30,True,32,filled,-10500
intent_33,0.3,Auction|2023-02-21|000581.XSHE|AUCTION_PREPARED,Auction,000581.XSHE,buy,order_value,309772.06200000015,,1032573.5400000005,buy_auction_yiqian,2023-02-21 09:26,True,33,open,15200
intent_34,0.3,YJJ|2023-02-21|000425.XSHE|YJJ_PREPARED,YJJ,000425.XSHE,buy,order_value,271128.2625000002,,723008.7000000004,buy_v227_一进二,2023-02-21 09:26,True,34,open,40200
intent_35,0.3,YJJ|2023-02-21|000581.XSHE|YJJ_PREPARED,YJJ,000581.XSHE,buy,order_value,338984.5650000003,,451979.4200000004,buy_v227_一进二,2023-02-21 09:26,True,35,open,16600
intent_36,0.3,,,000581.XSHE,sell,order_target,,0.0,73029.77000000048,sell_v227_morning,2023-02-22 11:25,True,36,filled,-31800
intent_37,0.3,,,000425.XSHE,sell,order_target,,0.0,835555.1900000004,sell_v227_morning,2023-02-22 11:25,True,37,filled,-40200
intent_38,0.3,ZB|2023-02-23|002649.XSHE|ZB_PREPARED,ZB,002649.XSHE,buy,order_value,372597.9333333334,,1117793.8000000003,buy_zb,2023-02-23 09:28,True,38,open,23900
intent_39,0.3,ZB|2023-02-23|002540.XSHE|ZB_PREPARED,ZB,002540.XSHE,buy,order_value,372779.58000000013,,745559.1600000003,buy_zb,2023-02-23 09:28,True,39,open,56400
intent_40,0.3,ZB|2023-02-23|002346.XSHE|ZB_PREPARED,ZB,002346.XSHE,buy,order_value,373207.4900000003,,373207.4900000003,buy_zb,2023-02-23 09:28,True,40,open,25000
intent_41,0.3,,,002649.XSHE,sell,order_target,,0.0,9607.440000000293,sell_zb_slots,2023-02-24 11:30,True,41,filled,-23900
intent_42,0.3,,,002540.XSHE,sell,order_target,,0.0,356184.3000000003,sell_zb_slots,2023-02-24 11:30,True,42,filled,-56400
intent_43,0.3,Auction|2023-02-27|002197.XSHE|AUCTION_PREPARED,Auction,002197.XSHE,buy,order_value,326944.1580000001,,726813.8600000003,buy_auction_yiqian,2023-02-27 09:26,True,43,open,27800
intent_44,0.3,RZQ|2023-02-27|002229.XSHE|RZQ_PREPARED,RZQ,002229.XSHE,buy,order_value,400622.0300000003,,400622.0300000003,buy_rzq,2023-02-27 09:27,True,44,open,25000
intent_45,0.3,,,002346.XSHE,sell,order_target,,0.0,1050.200000000361,sell_zb_slots,2023-02-27 14:48,True,45,filled,-25000
intent_46,0.3,RZQ|2023-02-28|002112.XSHE|RZQ_PREPARED,RZQ,002112.XSHE,buy,order_value,359084.1500000004,,359084.1500000004,buy_rzq,2023-02-28 09:27,True,46,open,27600
intent_47,0.3,,,002197.XSHE,sell,order_target,,0.0,-1479.9899999996414,sell_auction_yiqian,2023-02-28 11:25,True,47,filled,-27800
intent_48,0.3,,,002229.XSHE,sell,order_target,,0.0,338627.3000000004,check_stop_all,2023-03-01 09:30,True,48,filled,-25000
intent_49,0.3,,,002112.XSHE,sell,order_target,,0.0,713139.8000000004,sell_rzq_slots,2023-03-01 14:47,True,49,filled,-27600
intent_50,0.3,ZB|2023-03-02|002045.XSHE|ZB_PREPARED,ZB,002045.XSHE,buy,order_value,353574.4500000002,,1060723.3500000006,buy_zb,2023-03-02 09:28,True,50,open,22800
intent_51,0.3,ZB|2023-03-02|002962.XSHE|ZB_PREPARED,ZB,002962.XSHE,buy,order_value,353950.77000000025,,707901.5400000005,buy_zb,2023-03-02 09:28,True,51,open,28500
intent_52,0.3,ZB|2023-03-02|000925.XSHE|ZB_PREPARED,ZB,000925.XSHE,buy,order_value,354680.6100000005,,354680.6100000005,buy_zb,2023-03-02 09:28,True,52,open,33900
intent_53,0.3,,,000925.XSHE,sell,order_target,,0.0,-12320.469999999506,sell_zb_slots,2023-03-03 11:30,True,53,filled,-33900
intent_54,0.3,,,002045.XSHE,sell,order_target,,0.0,302878.2400000005,check_stop_all,2023-03-06 09:30,True,54,filled,-22800
intent_55,0.3,,,002962.XSHE,sell,order_target,,0.0,667204.0000000005,check_stop_all,2023-03-06 09:30,True,55,filled,-28500
intent_56,0.3,RZQ|2023-03-07|000151.XSHE|RZQ_PREPARED,RZQ,000151.XSHE,buy,order_value,340332.8233333335,,1020998.4700000004,buy_rzq,2023-03-07 09:27,True,56,open,21600
intent_57,0.3,RZQ|2023-03-07|000721.XSHE|RZQ_PREPARED,RZQ,000721.XSHE,buy,order_value,340888.3650000002,,681776.7300000004,buy_rzq,2023-03-07 09:27,True,57,open,20000
intent_58,0.3,RZQ|2023-03-07|605188.XSHG|RZQ_PREPARED,RZQ,605188.XSHG,buy,order_value,341674.73000000045,,341674.73000000045,buy_rzq,2023-03-07 09:27,True,58,open,37200
intent_59,0.3,,,000151.XSHE,sell,order_target,,0.0,11083.590000000433,sell_rzq_slots,2023-03-08 11:28,True,59,filled,-21600
intent_60,0.3,,,000721.XSHE,sell,order_target,,0.0,339623.93000000046,sell_rzq_slots,2023-03-08 11:28,True,60,filled,-20000
intent_61,0.3,,,605188.XSHG,sell,order_target,,0.0,680380.3700000005,sell_rzq_slots,2023-03-08 11:28,True,61,filled,-37200
intent_62,0.3,ZB|2023-03-09|603887.XSHG|ZB_PREPARED,ZB,603887.XSHG,buy,order_value,503843.16000000027,,1007686.3200000005,buy_zb,2023-03-09 09:28,True,62,open,58900
intent_63,0.3,ZB|2023-03-09|600552.XSHG|ZB_PREPARED,ZB,600552.XSHG,buy,order_value,503940.24000000046,,503940.24000000046,buy_zb,2023-03-09 09:28,True,63,open,37400
intent_64,0.3,YJJ|2023-03-10|600895.XSHG|YJJ_PREPARED,YJJ,600895.XSHG,buy,order_value,5355.160000000236,,10710.320000000473,buy_v227_一进二,2023-03-10 09:26,True,64,open,300
intent_65,0.3,,,603887.XSHG,sell,order_target,,0.0,6502.320000000473,sell_zb_slots,2023-03-10 11:30,True,65,filled,-58900
intent_66,0.3,,,600895.XSHG,sell,order_target,,0.0,496501.49000000046,check_stop_all,2023-03-13 09:30,True,66,filled,-300
intent_67,0.3,,,600552.XSHG,sell,order_target,,0.0,500470.5100000005,check_stop_all,2023-03-14 09:30,True,67,filled,-37400
intent_68,0.3,ZB|2023-03-23|600556.XSHG|ZB_PREPARED,ZB,600556.XSHG,buy,order_value,493205.9850000002,,986411.9700000004,buy_zb,2023-03-23 09:28,True,68,open,55300
