schema_version,pattern_id,prepared_signal_id,trade_date,code,branch,pattern_variant,prepared_variant,alignment_status,alignment_reason
0.4,Scorpion|2023-01-03|002093.XSHE|SCORPION_FIRST_BOARD,Scorpion|2023-01-03|002093.XSHE|SCORPION_PREPARED,2023-01-03,002093.XSHE,Scorpion,SCORPION_FIRST_BOARD,SCORPION_PREPARED,ONE_TO_ONE,prepared candidate has observed parent
0.4,Scorpion|2023-01-03|002339.XSHE|SCORPION_FIRST_BOARD,Scorpion|2023-01-03|002339.XSHE|SCORPION_PREPARED,2023-01-03,002339.XSHE,Scorpion,SCORPION_FIRST_BOARD,SCORPION_PREPARED,ONE_TO_ONE,prepared candidate has observed parent
0.4,Scorpion|2023-01-03|603856.XSHG|SCORPION_FIRST_BOARD,Scorpion|2023-01-03|603856.XSHG|SCORPION_PREPARED,2023-01-03,603856.XSHG,Scorpion,SCORPION_FIRST_BOARD,SCORPION_PREPARED,ONE_TO_ONE,prepared candidate has observed parent
0.4,Scorpion|2023-01-03|002858.XSHE|SCORPION_FIRST_BOARD,Scorpion|2023-01-03|002858.XSHE|SCORPION_PREPARED,2023-01-03,002858.XSHE,Scorpion,SCORPION_FIRST_BOARD,SCORPION_PREPARED,ONE_TO_ONE,prepared candidate has observed parent
0.4,Auction|2023-01-03|002640.XSHE|AUCTION_CACHE_PREPARED_SOURCE,Auction|2023-01-03|002640.XSHE|AUCTION_PREPARED,2023-01-03,002640.XSHE,Auction,AUCTION_CACHE_PREPARED_SOURCE,AUCTION_PREPARED,SOURCE_LIMITED,prepared candidate mapped to source-limited cache record
0.4,Auction|2023-01-03|002252.XSHE|AUCTION_CACHE_PREPARED_SOURCE,Auction|2023-01-03|002252.XSHE|AUCTION_PREPARED,2023-01-03,002252.XSHE,Auction,AUCTION_CACHE_PREPARED_SOURCE,AUCTION_PREPARED,SOURCE_LIMITED,prepared candidate mapped to source-limited cache record
0.4,Auction|2023-01-03|002582.XSHE|AUCTION_CACHE_PREPARED_SOURCE,Auction|2023-01-03|002582.XSHE|AUCTION_PREPARED,2023-01-03,002582.XSHE,Auction,AUCTION_CACHE_PREPARED_SOURCE,AUCTION_PREPARED,SOURCE_LIMITED,prepared candidate mapped to source-limited cache record
0.4,Auction|2023-01-03|600845.XSHG|AUCTION_CACHE_PREPARED_SOURCE,Auction|2023-01-03|600845.XSHG|AUCTION_PREPARED,2023-01-03,600845.XSHG,Auction,AUCTION_CACHE_PREPARED_SOURCE,AUCTION_PREPARED,SOURCE_LIMITED,prepared candidate mapped to source-limited cache record
0.4,Auction|2023-01-03|000899.XSHE|AUCTION_CACHE_PREPARED_SOURCE,Auction|2023-01-03|000899.XSHE|AUCTION_PREPARED,2023-01-03,000899.XSHE,Auction,AUCTION_CACHE_PREPARED_SOURCE,AUCTION_PREPARED,SOURCE_LIMITED,prepared candidate mapped to source-limited cache record
0.4,Auction|2023-01-03|000892.XSHE|AUCTION_CACHE_PREPARED_SOURCE,Auction|2023-01-03|000892.XSHE|AUCTION_PREPARED,2023-01-03,000892.XSHE,Auction,AUCTION_CACHE_PREPARED_SOURCE,AUCTION_PREPARED,SOURCE_LIMITED,prepared candidate mapped to source-limited cache record
0.4,Auction|2023-01-03|600880.XSHG|AUCTION_CACHE_PREPARED_SOURCE,Auction|2023-01-03|600880.XSHG|AUCTION_PREPARED,2023-01-03,600880.XSHG,Auction,AUCTION_CACHE_PREPARED_SOURCE,AUCTION_PREPARED,SOURCE_LIMITED,prepared candidate mapped to source-limited cache record
0.4,Auction|2023-01-03|002642.XSHE|AUCTION_CACHE_PREPARED_SOURCE,Auction|2023-01-03|002642.XSHE|AUCTION_PREPARED,2023-01-03,002642.XSHE,Auction,AUCTION_CACHE_PREPARED_SOURCE,AUCTION_PREPARED,SOURCE_LIMITED,prepared candidate mapped to source-limited cache record
