schema_version,record_type,pattern_id,scan_run_id,trade_date,code,branch,pattern_variant,declared_pattern_variant,pattern_time,source_mode,source_row_identity,source_coverage,pattern_detected,pattern_payload,prepared_signal_id,survived_to_prepared,scan_terminal_state,scan_terminal_reason,formal_strategy_commit,instrumented_strategy_commit
0.4,OBSERVED_RAW_PATTERN,Scorpion|2023-01-03|002093.XSHE|SCORPION_FIRST_BOARD,Scorpion|2023-01-03|MAIN,2023-01-03,002093.XSHE,Scorpion,SCORPION_FIRST_BOARD,,,PROJECT_BOARD_SNAPSHOT,,COMPLETE_ACTUAL_PATH,True,"{""prepared_rank_source"": ""post_scan_candidate_list""}",Scorpion|2023-01-03|002093.XSHE|SCORPION_PREPARED,True,PREPARED,entered prepared candidate list,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
0.4,OBSERVED_RAW_PATTERN,Scorpion|2023-01-03|002339.XSHE|SCORPION_FIRST_BOARD,Scorpion|2023-01-03|MAIN,2023-01-03,002339.XSHE,Scorpion,SCORPION_FIRST_BOARD,,,PROJECT_BOARD_SNAPSHOT,,COMPLETE_ACTUAL_PATH,True,"{""prepared_rank_source"": ""post_scan_candidate_list""}",Scorpion|2023-01-03|002339.XSHE|SCORPION_PREPARED,True,PREPARED,entered prepared candidate list,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
0.4,OBSERVED_RAW_PATTERN,Scorpion|2023-01-03|603856.XSHG|SCORPION_FIRST_BOARD,Scorpion|2023-01-03|MAIN,2023-01-03,603856.XSHG,Scorpion,SCORPION_FIRST_BOARD,,,PROJECT_BOARD_SNAPSHOT,,COMPLETE_ACTUAL_PATH,True,"{""prepared_rank_source"": ""post_scan_candidate_list""}",Scorpion|2023-01-03|603856.XSHG|SCORPION_PREPARED,True,PREPARED,entered prepared candidate list,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
0.4,OBSERVED_RAW_PATTERN,Scorpion|2023-01-03|002858.XSHE|SCORPION_FIRST_BOARD,Scorpion|2023-01-03|MAIN,2023-01-03,002858.XSHE,Scorpion,SCORPION_FIRST_BOARD,,,PROJECT_BOARD_SNAPSHOT,,COMPLETE_ACTUAL_PATH,True,"{""prepared_rank_source"": ""post_scan_candidate_list""}",Scorpion|2023-01-03|002858.XSHE|SCORPION_PREPARED,True,PREPARED,entered prepared candidate list,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
0.4,SOURCE_LIMITED_PREPARED_RECORD,Auction|2023-01-03|002640.XSHE|AUCTION_CACHE_PREPARED_SOURCE,Auction|2023-01-03|MAIN,2023-01-03,002640.XSHE,Auction,AUCTION_CACHE_PREPARED_SOURCE,AUCTION_Y2_BASE_PATTERN,,PROJECT_AUCTION_PREPARE_CACHE,,PREPARED_ONLY,,"{""avg_inc"": 0.08555633602447266, ""inc4"": 0.12711864406779674, ""kind"": ""y2"", ""left_ok"": false, ""prev_close"": 5.32, ""prev_money"": 1099722880.0, ""prev_volume"": 209465232.0}",Auction|2023-01-03|002640.XSHE|AUCTION_PREPARED,True,SOURCE_LIMITED,cache exposes prepared candidate only,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
0.4,SOURCE_LIMITED_PREPARED_RECORD,Auction|2023-01-03|002252.XSHE|AUCTION_CACHE_PREPARED_SOURCE,Auction|2023-01-03|MAIN,2023-01-03,002252.XSHE,Auction,AUCTION_CACHE_PREPARED_SOURCE,AUCTION_RZQ_BASE_PATTERN,,PROJECT_AUCTION_PREPARE_CACHE,,PREPARED_ONLY,,"{""avg_inc"": -0.009787689373638053, ""inc4"": 0.08561643835616438, ""kind"": ""rzq"", ""left_ok"": true, ""prev_close"": 6.34, ""prev_money"": 1047222272.0, ""prev_volume"": 166809696.0}",Auction|2023-01-03|002252.XSHE|AUCTION_PREPARED,True,SOURCE_LIMITED,cache exposes prepared candidate only,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
0.4,SOURCE_LIMITED_PREPARED_RECORD,Auction|2023-01-03|002582.XSHE|AUCTION_CACHE_PREPARED_SOURCE,Auction|2023-01-03|MAIN,2023-01-03,002582.XSHE,Auction,AUCTION_CACHE_PREPARED_SOURCE,AUCTION_RZQ_BASE_PATTERN,,PROJECT_AUCTION_PREPARE_CACHE,,PREPARED_ONLY,,"{""avg_inc"": -0.018919138658472168, ""inc4"": 0.048511576626240296, ""kind"": ""rzq"", ""left_ok"": true, ""prev_close"": 9.51, ""prev_money"": 922290624.0, ""prev_volume"": 98851320.0}",Auction|2023-01-03|002582.XSHE|AUCTION_PREPARED,True,SOURCE_LIMITED,cache exposes prepared candidate only,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
0.4,SOURCE_LIMITED_PREPARED_RECORD,Auction|2023-01-03|600845.XSHG|AUCTION_CACHE_PREPARED_SOURCE,Auction|2023-01-03|MAIN,2023-01-03,600845.XSHG,Auction,AUCTION_CACHE_PREPARED_SOURCE,AUCTION_RZQ_BASE_PATTERN,,PROJECT_AUCTION_PREPARE_CACHE,,PREPARED_ONLY,,"{""avg_inc"": 0.0006881496861808056, ""inc4"": 0.09535452322738383, ""kind"": ""rzq"", ""left_ok"": true, ""prev_close"": 44.8, ""prev_money"": 892680256.0, ""prev_volume"": 19912196.0}",Auction|2023-01-03|600845.XSHG|AUCTION_PREPARED,True,SOURCE_LIMITED,cache exposes prepared candidate only,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
0.4,SOURCE_LIMITED_PREPARED_RECORD,Auction|2023-01-03|000899.XSHE|AUCTION_CACHE_PREPARED_SOURCE,Auction|2023-01-03|MAIN,2023-01-03,000899.XSHE,Auction,AUCTION_CACHE_PREPARED_SOURCE,AUCTION_RZQ_BASE_PATTERN,,PROJECT_AUCTION_PREPARE_CACHE,,PREPARED_ONLY,,"{""avg_inc"": -0.0034503442767298553, ""inc4"": 0.03495762711864408, ""kind"": ""rzq"", ""left_ok"": false, ""prev_close"": 9.77, ""prev_money"": 855349056.0, ""prev_volume"": 87851640.0}",Auction|2023-01-03|000899.XSHE|AUCTION_PREPARED,True,SOURCE_LIMITED,cache exposes prepared candidate only,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
0.4,SOURCE_LIMITED_PREPARED_RECORD,Auction|2023-01-03|000892.XSHE|AUCTION_CACHE_PREPARED_SOURCE,Auction|2023-01-03|MAIN,2023-01-03,000892.XSHE,Auction,AUCTION_CACHE_PREPARED_SOURCE,AUCTION_RZQ_BASE_PATTERN,,PROJECT_AUCTION_PREPARE_CACHE,,PREPARED_ONLY,,"{""avg_inc"": 0.0015639794835418108, ""inc4"": 0.08980582524271848, ""kind"": ""rzq"", ""left_ok"": false, ""prev_close"": 4.49, ""prev_money"": 648136896.0, ""prev_volume"": 144125792.0}",Auction|2023-01-03|000892.XSHE|AUCTION_PREPARED,True,SOURCE_LIMITED,cache exposes prepared candidate only,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
