schema_version,scan_run_id,scan_subrun_id,trade_date,branch,scanner_function,scanner_invoked,scan_status,control_flow_reason,source_mode,source_path,source_timestamp,source_coverage,market_mode,raw_market_mode,active_route,pass_month,source_universe_count,raw_pattern_count,source_limited_prepared_record_count,prepared_candidate_count,error_type,error_detail,formal_strategy_commit,instrumented_strategy_commit
0.4,YJJ|2023-01-03|MAIN,,2023-01-03,YJJ,,False,NOT_CALLED_BY_CONTROL_FLOW,not called by motherboard control flow,NOT_APPLICABLE,,,NOT_RUN,bear,bear,rzq+zb,,,,0,0,,,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
0.4,Scorpion|2023-01-03|MAIN,,2023-01-03,Scorpion,_scan_boards_for_prev,True,EXECUTED,bear mode first-board scan,PROJECT_BOARD_SNAPSHOT,,,COMPLETE_ACTUAL_PATH,bear,bear,rzq+zb,,,4.0,0,4,,,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
0.4,RZQ|2023-01-03|MAIN,,2023-01-03,RZQ,_rzq_prepare,True,EXECUTED_EMPTY,not pass month,BILLBOARD_API,,,COMPLETE_ACTUAL_PATH,bear,bear,rzq+zb,,,0.0,0,0,,,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
0.4,ZB|2023-01-03|MAIN,,2023-01-03,ZB,,False,NOT_CALLED_BY_CONTROL_FLOW,not called by motherboard control flow,NOT_APPLICABLE,,,NOT_RUN,bear,bear,rzq+zb,,,,0,0,,,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
0.4,Auction|2023-01-03|MAIN,,2023-01-03,Auction,_auction_yiqian_prepare,True,SOURCE_LIMITED,auction sleeve enabled,PROJECT_AUCTION_PREPARE_CACHE,,,PREPARED_ONLY,bear,bear,v227,,,0.0,8,8,,,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
0.4,YJJ|2023-01-04|MAIN,,2023-01-04,YJJ,,False,NOT_CALLED_BY_CONTROL_FLOW,not called by motherboard control flow,NOT_APPLICABLE,,,NOT_RUN,bear,bear,v227,,,,0,0,,,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
0.4,Scorpion|2023-01-04|MAIN,,2023-01-04,Scorpion,_scan_boards_for_prev,True,EXECUTED,bear mode first-board scan,PROJECT_BOARD_SNAPSHOT,,,COMPLETE_ACTUAL_PATH,bear,bear,v227,,,8.0,0,8,,,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
0.4,RZQ|2023-01-04|MAIN,,2023-01-04,RZQ,_rzq_prepare,True,EXECUTED_EMPTY,not pass month,BILLBOARD_API,,,COMPLETE_ACTUAL_PATH,bear,bear,v227,,,0.0,0,0,,,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
0.4,ZB|2023-01-04|MAIN,,2023-01-04,ZB,,False,NOT_CALLED_BY_CONTROL_FLOW,not called by motherboard control flow,NOT_APPLICABLE,,,NOT_RUN,bear,bear,v227,,,,0,0,,,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
0.4,Auction|2023-01-04|MAIN,,2023-01-04,Auction,_auction_yiqian_prepare,True,SOURCE_LIMITED,auction sleeve enabled,PROJECT_AUCTION_PREPARE_CACHE,,,PREPARED_ONLY,bear,bear,v227,,,0.0,16,16,,,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
0.4,YJJ|2023-01-05|MAIN,,2023-01-05,YJJ,,False,NOT_CALLED_BY_CONTROL_FLOW,not called by motherboard control flow,NOT_APPLICABLE,,,NOT_RUN,bear,bear,v227,,,,0,0,,,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
0.4,Scorpion|2023-01-05|MAIN,,2023-01-05,Scorpion,_scan_boards_for_prev,True,EXECUTED,bear mode first-board scan,PROJECT_BOARD_SNAPSHOT,,,COMPLETE_ACTUAL_PATH,bear,bear,v227,,,3.0,0,3,,,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
0.4,RZQ|2023-01-05|MAIN,,2023-01-05,RZQ,_rzq_prepare,True,EXECUTED,not pass month,BILLBOARD_API,,,COMPLETE_ACTUAL_PATH,bear,bear,v227,,,4.0,0,4,,,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
0.4,ZB|2023-01-05|MAIN,,2023-01-05,ZB,,False,NOT_CALLED_BY_CONTROL_FLOW,not called by motherboard control flow,NOT_APPLICABLE,,,NOT_RUN,bear,bear,v227,,,,0,0,,,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
0.4,Auction|2023-01-05|MAIN,,2023-01-05,Auction,_auction_yiqian_prepare,True,SOURCE_LIMITED,auction sleeve enabled,PROJECT_AUCTION_PREPARE_CACHE,,,PREPARED_ONLY,bear,bear,v227,,,0.0,10,10,,,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
0.4,YJJ|2023-01-06|MAIN,,2023-01-06,YJJ,,False,NOT_CALLED_BY_CONTROL_FLOW,not called by motherboard control flow,NOT_APPLICABLE,,,NOT_RUN,bear,bear,v227,,,,0,0,,,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
0.4,Scorpion|2023-01-06|MAIN,,2023-01-06,Scorpion,_scan_boards_for_prev,True,EXECUTED,bear mode first-board scan,PROJECT_BOARD_SNAPSHOT,,,COMPLETE_ACTUAL_PATH,bear,bear,v227,,,5.0,0,5,,,442c045d3e8ba20f566b44780f498652b84149ff,442c045d3e8ba20f566b44780f498652b84149ff
