date,code,replay_rank,phase1c_rank,kind,prev_money,rank_match,within_candidate_cap_40
20230103,002640.SZ,1,1,y2,1099722880.0,True,True
20230103,002252.SZ,2,2,rzq,1047222272.0,True,True
20230103,002582.SZ,3,3,rzq,922290624.0,True,True
20230103,600845.SH,4,4,rzq,892680256.0,True,True
20230103,000899.SZ,5,5,rzq,855349056.0,True,True
20230103,000892.SZ,6,6,rzq,648136896.0,True,True
20230103,600880.SH,7,7,rzq,584719232.0,True,True
20230103,002642.SZ,8,8,rzq,530440896.0,True,True
20230104,600062.SH,1,1,y2,1091943680.0,True,True
20230104,000948.SZ,2,2,y2,857382976.0,True,True
20230104,002368.SZ,3,3,y2,712957440.0,True,True
20230104,603233.SH,4,4,y2,571541632.0,True,True
20230104,002244.SZ,5,5,y2,544561408.0,True,True
20230104,600996.SH,6,6,rzq,1654683904.0,True,True
20230104,002405.SZ,7,7,rzq,1024337536.0,True,True
20230104,002031.SZ,8,8,rzq,863195648.0,True,True
20230104,000597.SZ,9,9,rzq,787562688.0,True,True
20230104,600789.SH,10,10,rzq,730735040.0,True,True
20230104,002626.SZ,11,11,rzq,441237216.0,True,True
20230104,003029.SZ,12,12,rzq,440215904.0,True,True
20230104,002072.SZ,13,13,rzq,410829920.0,True,True
20230104,002162.SZ,14,14,rzq,384277568.0,True,True
20230104,002549.SZ,15,15,rzq,380465472.0,True,True
20230104,002412.SZ,16,16,rzq,335293696.0,True,True
20230105,601155.SH,1,1,y2,903168000.0,True,True
20230105,600992.SH,2,2,y2,663351744.0,True,True
20230105,000938.SZ,3,3,y2,506582496.0,True,True
20230105,000736.SZ,4,4,rzq,1890584960.0,True,True
20230105,000564.SZ,5,,rzq,645972864.0,False,True
20230105,000670.SZ,6,6,rzq,510743008.0,True,True
20230105,002712.SZ,7,7,rzq,403763488.0,True,True
20230105,002188.SZ,8,8,rzq,400120544.0,True,True
20230105,002575.SZ,9,9,rzq,367626336.0,True,True
20230105,002494.SZ,10,10,rzq,361358944.0,True,True
20230106,600095.SH,1,1,y2,1204582272.0,True,True
20230106,603105.SH,2,2,y2,555649856.0,True,True
20230106,000665.SZ,3,3,rzq,1409440640.0,True,True
20230106,000049.SZ,4,4,rzq,920872192.0,True,True
20230106,002357.SZ,5,5,rzq,763204672.0,True,True
20230106,002213.SZ,6,6,rzq,608524928.0,True,True
20230106,600853.SH,7,7,rzq,583033792.0,True,True
20230106,001267.SZ,8,8,rzq,573109312.0,True,True
20230106,002712.SZ,9,9,rzq,465213696.0,True,True
20230106,002654.SZ,10,10,rzq,417227392.0,True,True
20230106,000507.SZ,11,11,rzq,415393280.0,True,True
20230106,002351.SZ,12,12,rzq,345723808.0,True,True
20230106,001896.SZ,13,13,rzq,342929568.0,True,True
20230106,603050.SH,14,14,rzq,325686816.0,True,True
20230109,601865.SH,1,1,y2,899283072.0,True,True
20230109,000301.SZ,2,2,y2,826895872.0,True,True
20230109,002683.SZ,3,3,y2,768498880.0,True,True
20230109,600732.SH,4,4,y2,636073472.0,True,True
20230109,002056.SZ,5,5,rzq,1705412736.0,True,True
20230109,603260.SH,6,6,rzq,1468451584.0,True,True
20230109,002150.SZ,7,7,rzq,1391497088.0,True,True
20230109,605111.SH,8,8,rzq,1086013440.0,True,True
20230109,603212.SH,9,9,rzq,990237056.0,True,True
20230109,600477.SH,10,10,rzq,854398720.0,True,True
20230109,600586.SH,11,11,rzq,838499776.0,True,True
20230109,601519.SH,12,12,rzq,621415232.0,True,True
20230109,600066.SH,13,13,rzq,577915584.0,True,True
20230109,002758.SZ,14,14,rzq,469289536.0,True,True
20230109,603367.SH,15,15,rzq,444384480.0,True,True
20230109,002929.SZ,16,16,rzq,441447520.0,True,True
20230109,000560.SZ,17,17,rzq,366775840.0,True,True
20230110,601216.SH,1,1,y2,1371702016.0,True,True
20230110,600996.SH,2,2,y2,1262118272.0,True,True
20230110,601137.SH,3,3,y2,881442432.0,True,True
20230110,002646.SZ,4,4,y2,654556800.0,True,True
20230110,600477.SH,5,5,rzq,1315592960.0,True,True
20230110,002184.SZ,6,6,rzq,1193558528.0,True,True
20230110,600563.SH,7,7,rzq,941595264.0,True,True
20230110,002010.SZ,8,8,rzq,867044288.0,True,True
20230110,002291.SZ,9,9,rzq,760065408.0,True,True
20230110,002234.SZ,10,10,rzq,500830400.0,True,True
20230110,000548.SZ,11,11,rzq,381388064.0,True,True
20230110,002997.SZ,12,12,rzq,351988992.0,True,True
20230110,002141.SZ,13,13,rzq,321246656.0,True,True
20230110,000526.SZ,14,14,rzq,311093472.0,True,True
20230111,000404.SZ,1,1,rzq,680842624.0,True,True
20230111,002915.SZ,2,2,rzq,480590720.0,True,True
20230112,002875.SZ,1,1,y2,1228171520.0,True,True
20230112,600121.SH,2,2,y2,701324736.0,True,True
20230112,002045.SZ,3,3,rzq,1175083136.0,True,True
20230112,603069.SH,4,4,rzq,891574848.0,True,True
20230112,002104.SZ,5,5,rzq,840842112.0,True,True
20230112,601858.SH,6,6,rzq,604614336.0,True,True
20230112,600212.SH,7,7,rzq,552768576.0,True,True
20230112,600130.SH,8,8,rzq,496649024.0,True,True
20230112,002454.SZ,9,9,rzq,351368704.0,True,True
20230112,002990.SZ,10,10,rzq,341386016.0,True,True
20230112,600189.SH,11,11,rzq,318852288.0,True,True
20230113,002068.SZ,1,1,y2,776595648.0,True,True
20230113,600556.SH,2,2,y2,621004352.0,True,True
20230113,600973.SH,3,3,y2,542987456.0,True,True
20230113,002184.SZ,4,4,rzq,1430631296.0,True,True
20230113,000025.SZ,5,5,rzq,877159360.0,True,True
20230113,002368.SZ,6,6,rzq,845371328.0,True,True
20230113,002315.SZ,7,7,rzq,628745600.0,True,True
20230113,002933.SZ,8,8,rzq,477060352.0,True,True
20230113,600391.SH,9,9,rzq,392461888.0,True,True
20230113,002162.SZ,10,10,rzq,391590080.0,True,True
20230113,603598.SH,11,11,rzq,383548160.0,True,True
20230113,603918.SH,12,12,rzq,358510400.0,True,True
20230113,002823.SZ,13,13,rzq,331265792.0,True,True
20230116,600095.SH,1,1,y2,1438753280.0,True,True
20230116,603486.SH,2,2,y2,901825600.0,True,True
20230116,000670.SZ,3,3,y2,728666816.0,True,True
20230116,002137.SZ,4,4,rzq,1478965888.0,True,True
20230116,000151.SZ,5,5,rzq,835128128.0,True,True
20230116,002103.SZ,6,6,rzq,695192832.0,True,True
20230116,605289.SH,7,8,rzq,344547936.0,False,True
20230116,002593.SZ,8,9,rzq,317321120.0,False,True
20230116,600510.SH,9,10,rzq,315112192.0,False,True
20230116,603866.SH,10,11,rzq,306463264.0,False,True
20230116,002388.SZ,11,12,rzq,304282464.0,False,True
20230117,002821.SZ,1,1,y2,1551740544.0,True,True
20230117,600559.SH,2,2,y2,1385941376.0,True,True
20230117,002279.SZ,3,3,y2,1144510592.0,True,True
20230117,002500.SZ,4,4,y2,597414464.0,True,True
20230117,600483.SH,5,5,y2,587146816.0,True,True
20230117,002567.SZ,6,6,rzq,1090417024.0,True,True
20230117,600446.SH,7,7,rzq,1010750016.0,True,True
20230117,600572.SH,8,8,rzq,891083008.0,True,True
20230117,601099.SH,9,,rzq,697619328.0,False,True
20230117,600130.SH,10,9,rzq,679149184.0,False,True
20230117,600203.SH,11,10,rzq,353963072.0,False,True
20230117,002687.SZ,12,11,rzq,353723904.0,False,True
20230117,000785.SZ,13,12,rzq,310602656.0,False,True
20230118,000755.SZ,1,1,y2,622009152.0,True,True
20230118,002037.SZ,2,2,y2,528747968.0,True,True
20230118,600771.SH,3,3,rzq,1145930112.0,True,True
20230118,002329.SZ,4,4,rzq,1105691136.0,True,True
20230118,002238.SZ,5,5,rzq,1019869120.0,True,True
20230118,600633.SH,6,6,rzq,737334208.0,True,True
20230118,603330.SH,7,7,rzq,640794368.0,True,True
20230118,002296.SZ,8,8,rzq,395870368.0,True,True
20230118,002553.SZ,9,9,rzq,374331328.0,True,True
20230119,002343.SZ,1,1,y2,592857792.0,True,True
20230119,002642.SZ,2,2,y2,548967040.0,True,True
20230119,000815.SZ,3,3,rzq,1481659648.0,True,True
20230119,002807.SZ,4,4,rzq,593160832.0,True,True
20230119,600756.SH,5,5,rzq,423979872.0,True,True
20230119,002383.SZ,6,6,rzq,386810432.0,True,True
20230120,002945.SZ,1,1,y2,821189056.0,True,True
20230120,600705.SH,2,2,rzq,1807869440.0,True,True
20230120,002368.SZ,3,3,rzq,1140041856.0,True,True
20230120,600657.SH,4,4,rzq,393735616.0,True,True
20230120,002232.SZ,5,5,rzq,355806432.0,True,True
20230120,000996.SZ,6,6,rzq,303627488.0,True,True
20230130,603636.SH,1,1,y2,1022245696.0,True,True
20230130,002121.SZ,2,2,y2,1009593216.0,True,True
20230130,600971.SH,3,3,y2,860799552.0,True,True
20230130,000758.SZ,4,4,y2,685556992.0,True,True
20230130,002192.SZ,5,5,rzq,1581072384.0,True,True
20230130,002334.SZ,6,6,rzq,1414269696.0,True,True
20230130,002467.SZ,7,7,rzq,1181299200.0,True,True
20230130,002896.SZ,8,8,rzq,668174592.0,True,True
20230130,601008.SH,9,9,rzq,487174432.0,True,True
20230131,002384.SZ,1,1,y2,1812309248.0,True,True
20230131,002031.SZ,2,2,y2,1038252480.0,True,True
20230131,002600.SZ,3,3,y2,942653696.0,True,True
20230131,000681.SZ,4,4,y2,820136256.0,True,True
20230131,002101.SZ,5,5,y2,747228544.0,True,True
20230131,603348.SH,6,6,y2,740293760.0,True,True
20230131,003005.SZ,7,7,y2,700144128.0,True,True
20230131,601958.SH,8,8,y2,565752000.0,True,True
20230131,002389.SZ,9,9,rzq,1316665856.0,True,True
20230131,002155.SZ,10,10,rzq,1109981056.0,True,True
20230131,002441.SZ,11,11,rzq,1007966464.0,True,True
20230131,600621.SH,12,12,rzq,860780928.0,True,True
20230131,002520.SZ,13,13,rzq,814696960.0,True,True
20230131,603596.SH,14,14,rzq,652583552.0,True,True
20230131,600166.SH,15,15,rzq,647493312.0,True,True
20230131,003027.SZ,16,16,rzq,646796928.0,True,True
20230131,002161.SZ,17,17,rzq,625786560.0,True,True
20230131,600602.SH,18,18,rzq,587118848.0,True,True
20230131,000026.SZ,19,19,rzq,574177536.0,True,True
20230131,603179.SH,20,20,rzq,512430240.0,True,True
20230131,600501.SH,21,21,rzq,495431840.0,True,True
20230131,600855.SH,22,22,rzq,475319648.0,True,True
20230131,002254.SZ,23,23,rzq,429571936.0,True,True
20230131,002331.SZ,24,24,rzq,302585248.0,True,True
20230201,002120.SZ,1,1,y2,998777408.0,True,True
20230201,603218.SH,2,2,y2,620750016.0,True,True
20230201,002235.SZ,3,3,rzq,1556473344.0,True,True
20230201,600586.SH,4,4,rzq,1288118400.0,True,True
20230201,600354.SH,5,5,rzq,847174144.0,True,True
20230201,000552.SZ,6,6,rzq,521348768.0,True,True
20230201,000403.SZ,7,7,rzq,515992128.0,True,True
20230201,003032.SZ,8,8,rzq,433884800.0,True,True
20230201,600761.SH,9,9,rzq,397834464.0,True,True
20230201,002847.SZ,10,10,rzq,384431904.0,True,True
20230201,000935.SZ,11,11,rzq,374968608.0,True,True
20230202,002463.SZ,1,1,y2,765113856.0,True,True
20230202,601020.SH,2,2,y2,712529216.0,True,True
20230202,600297.SH,3,3,y2,589624064.0,True,True
20230202,600571.SH,4,4,rzq,639498880.0,True,True
20230202,002613.SZ,5,5,rzq,541541184.0,True,True
20230202,002757.SZ,6,6,rzq,508045216.0,True,True
20230202,003026.SZ,7,7,rzq,466018976.0,True,True
20230202,000928.SZ,8,8,rzq,425561888.0,True,True
20230202,002785.SZ,9,9,rzq,414631712.0,True,True
20230202,002682.SZ,10,10,rzq,375507872.0,True,True
20230202,002882.SZ,11,11,rzq,372458176.0,True,True
20230202,601068.SH,12,12,rzq,333344928.0,True,True
20230202,600936.SH,13,13,rzq,305871744.0,True,True
20230203,000066.SZ,1,1,y2,1206254848.0,True,True
20230203,000729.SZ,2,2,y2,646852608.0,True,True
20230203,600736.SH,3,3,y2,569055616.0,True,True
20230203,002686.SZ,4,4,rzq,724326976.0,True,True
20230203,000070.SZ,5,5,rzq,703400448.0,True,True
20230203,000735.SZ,6,,rzq,642494336.0,False,True
20230203,002882.SZ,7,6,rzq,475381984.0,False,True
20230203,002615.SZ,8,7,rzq,425675232.0,False,True
20230203,002213.SZ,9,8,rzq,405068736.0,False,True
20230203,002787.SZ,10,9,rzq,403767168.0,False,True
20230203,000533.SZ,11,10,rzq,374258656.0,False,True
20230206,002097.SZ,1,3,y2,556983872.0,False,True
20230206,002587.SZ,2,1,rzq,790578432.0,False,True
20230206,003027.SZ,3,2,rzq,585180864.0,False,True
20230206,000564.SZ,4,,rzq,547522432.0,False,True
20230206,000816.SZ,5,4,rzq,492845856.0,False,True
20230206,002453.SZ,6,6,rzq,376581568.0,True,True
20230206,600388.SH,7,,rzq,376299616.0,False,True
