date,replay_count,phase1c_source_limited_count,intersection_count,phase1c_only_count,replay_only_count,jaccard,exact_set_match,exact_order_match
20230103,8,8,8,0,0,1.0,True,True
20230104,16,16,16,0,0,1.0,True,True
20230105,10,10,9,1,1,0.818182,False,False
20230106,14,14,14,0,0,1.0,True,True
20230109,17,17,17,0,0,1.0,True,True
20230110,14,14,14,0,0,1.0,True,True
20230111,2,2,2,0,0,1.0,True,True
20230112,11,11,11,0,0,1.0,True,True
20230113,13,13,13,0,0,1.0,True,True
20230116,11,12,11,1,0,0.916667,False,False
20230117,13,12,12,0,1,0.923077,False,False
20230118,9,9,9,0,0,1.0,True,True
20230119,6,6,6,0,0,1.0,True,True
20230120,6,6,6,0,0,1.0,True,True
20230130,9,9,9,0,0,1.0,True,True
20230131,24,24,24,0,0,1.0,True,True
20230201,11,11,11,0,0,1.0,True,True
20230202,13,13,13,0,0,1.0,True,True
20230203,11,10,10,0,1,0.909091,False,False
20230206,7,6,5,1,2,0.625,False,False
20230207,7,8,7,1,0,0.875,False,False
20230208,12,13,12,1,0,0.923077,False,False
20230209,8,8,8,0,0,1.0,True,True
20230210,16,15,15,0,1,0.9375,False,False
20230213,9,9,9,0,0,1.0,True,True
20230214,16,15,15,0,1,0.9375,False,False
20230215,7,8,7,1,0,0.875,False,False
20230216,11,11,11,0,0,1.0,True,True
20230221,13,15,13,2,0,0.866667,False,False
20230222,9,9,9,0,0,1.0,True,True
20230223,7,7,7,0,0,1.0,True,True
20230224,4,4,4,0,0,1.0,True,True
20230227,7,6,6,0,1,0.857143,False,False
20230228,12,12,12,0,0,1.0,True,True
20230301,4,5,4,1,0,0.8,False,False
20230302,12,12,12,0,0,1.0,True,True
20230303,10,10,10,0,0,1.0,True,True
20230307,5,5,5,0,0,1.0,True,True
20230308,6,5,5,0,1,0.833333,False,False
20230309,6,7,6,1,0,0.857143,False,False
20230310,5,5,5,0,0,1.0,True,True
20230313,7,6,6,0,1,0.857143,False,False
20230321,19,19,19,0,0,1.0,True,True
20230322,5,5,5,0,0,1.0,True,True
20230323,10,9,9,0,1,0.9,False,False
20230324,9,8,8,0,1,0.888889,False,False
20230327,5,6,5,1,0,0.833333,False,False
20230328,14,14,14,0,0,1.0,True,True
20230329,9,9,9,0,0,1.0,True,True
20230330,8,8,8,0,0,1.0,True,True
20230331,5,5,5,0,0,1.0,True,True
