date,code,left_ok_replay,left_ok_phase1c,left_ok_match
20230103,000892.SZ,False,False,True
20230103,000899.SZ,False,False,True
20230103,002252.SZ,True,True,True
20230103,002582.SZ,True,True,True
20230103,002640.SZ,False,False,True
20230103,002642.SZ,True,True,True
20230103,600845.SH,True,True,True
20230103,600880.SH,True,True,True
20230104,000597.SZ,False,False,True
20230104,000948.SZ,False,False,True
20230104,002031.SZ,False,False,True
20230104,002072.SZ,True,True,True
20230104,002162.SZ,False,False,True
20230104,002244.SZ,True,True,True
20230104,002368.SZ,False,False,True
20230104,002405.SZ,True,True,True
20230104,002412.SZ,True,True,True
20230104,002549.SZ,False,False,True
20230104,002626.SZ,False,False,True
20230104,003029.SZ,True,True,True
20230104,600062.SH,True,True,True
20230104,600789.SH,True,True,True
20230104,600996.SH,False,False,True
20230104,603233.SH,True,True,True
20230105,000670.SZ,False,False,True
20230105,000736.SZ,True,True,True
20230105,000938.SZ,False,False,True
20230105,002188.SZ,False,False,True
20230105,002494.SZ,True,True,True
20230105,002575.SZ,False,False,True
20230105,002712.SZ,False,False,True
20230105,600992.SH,True,True,True
20230105,601155.SH,True,True,True
20230106,000049.SZ,True,True,True
20230106,000507.SZ,True,True,True
20230106,000665.SZ,True,True,True
20230106,001267.SZ,True,True,True
20230106,001896.SZ,True,True,True
20230106,002213.SZ,True,True,True
20230106,002351.SZ,True,True,True
20230106,002357.SZ,False,False,True
20230106,002654.SZ,True,True,True
20230106,002712.SZ,True,True,True
20230106,600095.SH,True,True,True
20230106,600853.SH,False,False,True
20230106,603050.SH,True,True,True
20230106,603105.SH,True,True,True
20230109,000301.SZ,False,False,True
20230109,000560.SZ,False,False,True
20230109,002056.SZ,True,True,True
20230109,002150.SZ,True,True,True
20230109,002683.SZ,True,True,True
20230109,002758.SZ,True,True,True
20230109,002929.SZ,True,True,True
20230109,600066.SH,False,False,True
20230109,600477.SH,True,True,True
20230109,600586.SH,True,True,True
20230109,600732.SH,False,False,True
20230109,601519.SH,True,True,True
20230109,601865.SH,True,True,True
20230109,603212.SH,False,False,True
20230109,603260.SH,True,True,True
20230109,603367.SH,False,False,True
20230109,605111.SH,True,True,True
20230110,000526.SZ,True,True,True
20230110,000548.SZ,False,False,True
20230110,002010.SZ,True,True,True
20230110,002141.SZ,True,True,True
20230110,002184.SZ,True,True,True
