trade_date,code,old_record_type,old_source_mode,old_scan_terminal_state,new_record_type,new_source_mode,new_scan_terminal_state,reclassification,evidence
2023-01-03,002640.SZ,SOURCE_LIMITED_PREPARED_RECORD,PROJECT_AUCTION_PREPARE_CACHE,SOURCE_LIMITED,OBSERVED_RAW_PATTERN,AUCTION_PREPARE_COMPUTED,PREPARED,SOURCE_LIMITED_TO_OBSERVED_RAW_PATTERN,provider returned None in wrapped runtime call; prepared row is computed fallback output
2023-01-03,002252.SZ,SOURCE_LIMITED_PREPARED_RECORD,PROJECT_AUCTION_PREPARE_CACHE,SOURCE_LIMITED,OBSERVED_RAW_PATTERN,AUCTION_PREPARE_COMPUTED,PREPARED,SOURCE_LIMITED_TO_OBSERVED_RAW_PATTERN,provider returned None in wrapped runtime call; prepared row is computed fallback output
2023-01-03,002582.SZ,SOURCE_LIMITED_PREPARED_RECORD,PROJECT_AUCTION_PREPARE_CACHE,SOURCE_LIMITED,OBSERVED_RAW_PATTERN,AUCTION_PREPARE_COMPUTED,PREPARED,SOURCE_LIMITED_TO_OBSERVED_RAW_PATTERN,provider returned None in wrapped runtime call; prepared row is computed fallback output
2023-01-03,600845.SH,SOURCE_LIMITED_PREPARED_RECORD,PROJECT_AUCTION_PREPARE_CACHE,SOURCE_LIMITED,OBSERVED_RAW_PATTERN,AUCTION_PREPARE_COMPUTED,PREPARED,SOURCE_LIMITED_TO_OBSERVED_RAW_PATTERN,provider returned None in wrapped runtime call; prepared row is computed fallback output
2023-01-03,000899.SZ,SOURCE_LIMITED_PREPARED_RECORD,PROJECT_AUCTION_PREPARE_CACHE,SOURCE_LIMITED,OBSERVED_RAW_PATTERN,AUCTION_PREPARE_COMPUTED,PREPARED,SOURCE_LIMITED_TO_OBSERVED_RAW_PATTERN,provider returned None in wrapped runtime call; prepared row is computed fallback output
2023-01-03,000892.SZ,SOURCE_LIMITED_PREPARED_RECORD,PROJECT_AUCTION_PREPARE_CACHE,SOURCE_LIMITED,OBSERVED_RAW_PATTERN,AUCTION_PREPARE_COMPUTED,PREPARED,SOURCE_LIMITED_TO_OBSERVED_RAW_PATTERN,provider returned None in wrapped runtime call; prepared row is computed fallback output
2023-01-03,600880.SH,SOURCE_LIMITED_PREPARED_RECORD,PROJECT_AUCTION_PREPARE_CACHE,SOURCE_LIMITED,OBSERVED_RAW_PATTERN,AUCTION_PREPARE_COMPUTED,PREPARED,SOURCE_LIMITED_TO_OBSERVED_RAW_PATTERN,provider returned None in wrapped runtime call; prepared row is computed fallback output
2023-01-03,002642.SZ,SOURCE_LIMITED_PREPARED_RECORD,PROJECT_AUCTION_PREPARE_CACHE,SOURCE_LIMITED,OBSERVED_RAW_PATTERN,AUCTION_PREPARE_COMPUTED,PREPARED,SOURCE_LIMITED_TO_OBSERVED_RAW_PATTERN,provider returned None in wrapped runtime call; prepared row is computed fallback output
2023-01-04,600062.SH,SOURCE_LIMITED_PREPARED_RECORD,PROJECT_AUCTION_PREPARE_CACHE,SOURCE_LIMITED,OBSERVED_RAW_PATTERN,AUCTION_PREPARE_COMPUTED,PREPARED,SOURCE_LIMITED_TO_OBSERVED_RAW_PATTERN,provider returned None in wrapped runtime call; prepared row is computed fallback output
2023-01-04,000948.SZ,SOURCE_LIMITED_PREPARED_RECORD,PROJECT_AUCTION_PREPARE_CACHE,SOURCE_LIMITED,OBSERVED_RAW_PATTERN,AUCTION_PREPARE_COMPUTED,PREPARED,SOURCE_LIMITED_TO_OBSERVED_RAW_PATTERN,provider returned None in wrapped runtime call; prepared row is computed fallback output
2023-01-04,002368.SZ,SOURCE_LIMITED_PREPARED_RECORD,PROJECT_AUCTION_PREPARE_CACHE,SOURCE_LIMITED,OBSERVED_RAW_PATTERN,AUCTION_PREPARE_COMPUTED,PREPARED,SOURCE_LIMITED_TO_OBSERVED_RAW_PATTERN,provider returned None in wrapped runtime call; prepared row is computed fallback output
2023-01-04,603233.SH,SOURCE_LIMITED_PREPARED_RECORD,PROJECT_AUCTION_PREPARE_CACHE,SOURCE_LIMITED,OBSERVED_RAW_PATTERN,AUCTION_PREPARE_COMPUTED,PREPARED,SOURCE_LIMITED_TO_OBSERVED_RAW_PATTERN,provider returned None in wrapped runtime call; prepared row is computed fallback output
2023-01-04,002244.SZ,SOURCE_LIMITED_PREPARED_RECORD,PROJECT_AUCTION_PREPARE_CACHE,SOURCE_LIMITED,OBSERVED_RAW_PATTERN,AUCTION_PREPARE_COMPUTED,PREPARED,SOURCE_LIMITED_TO_OBSERVED_RAW_PATTERN,provider returned None in wrapped runtime call; prepared row is computed fallback output
2023-01-04,600996.SH,SOURCE_LIMITED_PREPARED_RECORD,PROJECT_AUCTION_PREPARE_CACHE,SOURCE_LIMITED,OBSERVED_RAW_PATTERN,AUCTION_PREPARE_COMPUTED,PREPARED,SOURCE_LIMITED_TO_OBSERVED_RAW_PATTERN,provider returned None in wrapped runtime call; prepared row is computed fallback output
2023-01-04,002405.SZ,SOURCE_LIMITED_PREPARED_RECORD,PROJECT_AUCTION_PREPARE_CACHE,SOURCE_LIMITED,OBSERVED_RAW_PATTERN,AUCTION_PREPARE_COMPUTED,PREPARED,SOURCE_LIMITED_TO_OBSERVED_RAW_PATTERN,provider returned None in wrapped runtime call; prepared row is computed fallback output
2023-01-04,002031.SZ,SOURCE_LIMITED_PREPARED_RECORD,PROJECT_AUCTION_PREPARE_CACHE,SOURCE_LIMITED,OBSERVED_RAW_PATTERN,AUCTION_PREPARE_COMPUTED,PREPARED,SOURCE_LIMITED_TO_OBSERVED_RAW_PATTERN,provider returned None in wrapped runtime call; prepared row is computed fallback output
2023-01-04,000597.SZ,SOURCE_LIMITED_PREPARED_RECORD,PROJECT_AUCTION_PREPARE_CACHE,SOURCE_LIMITED,OBSERVED_RAW_PATTERN,AUCTION_PREPARE_COMPUTED,PREPARED,SOURCE_LIMITED_TO_OBSERVED_RAW_PATTERN,provider returned None in wrapped runtime call; prepared row is computed fallback output
2023-01-04,600789.SH,SOURCE_LIMITED_PREPARED_RECORD,PROJECT_AUCTION_PREPARE_CACHE,SOURCE_LIMITED,OBSERVED_RAW_PATTERN,AUCTION_PREPARE_COMPUTED,PREPARED,SOURCE_LIMITED_TO_OBSERVED_RAW_PATTERN,provider returned None in wrapped runtime call; prepared row is computed fallback output
2023-01-04,002626.SZ,SOURCE_LIMITED_PREPARED_RECORD,PROJECT_AUCTION_PREPARE_CACHE,SOURCE_LIMITED,OBSERVED_RAW_PATTERN,AUCTION_PREPARE_COMPUTED,PREPARED,SOURCE_LIMITED_TO_OBSERVED_RAW_PATTERN,provider returned None in wrapped runtime call; prepared row is computed fallback output
2023-01-04,003029.SZ,SOURCE_LIMITED_PREPARED_RECORD,PROJECT_AUCTION_PREPARE_CACHE,SOURCE_LIMITED,OBSERVED_RAW_PATTERN,AUCTION_PREPARE_COMPUTED,PREPARED,SOURCE_LIMITED_TO_OBSERVED_RAW_PATTERN,provider returned None in wrapped runtime call; prepared row is computed fallback output
2023-01-04,002072.SZ,SOURCE_LIMITED_PREPARED_RECORD,PROJECT_AUCTION_PREPARE_CACHE,SOURCE_LIMITED,OBSERVED_RAW_PATTERN,AUCTION_PREPARE_COMPUTED,PREPARED,SOURCE_LIMITED_TO_OBSERVED_RAW_PATTERN,provider returned None in wrapped runtime call; prepared row is computed fallback output
2023-01-04,002162.SZ,SOURCE_LIMITED_PREPARED_RECORD,PROJECT_AUCTION_PREPARE_CACHE,SOURCE_LIMITED,OBSERVED_RAW_PATTERN,AUCTION_PREPARE_COMPUTED,PREPARED,SOURCE_LIMITED_TO_OBSERVED_RAW_PATTERN,provider returned None in wrapped runtime call; prepared row is computed fallback output
2023-01-04,002549.SZ,SOURCE_LIMITED_PREPARED_RECORD,PROJECT_AUCTION_PREPARE_CACHE,SOURCE_LIMITED,OBSERVED_RAW_PATTERN,AUCTION_PREPARE_COMPUTED,PREPARED,SOURCE_LIMITED_TO_OBSERVED_RAW_PATTERN,provider returned None in wrapped runtime call; prepared row is computed fallback output
2023-01-04,002412.SZ,SOURCE_LIMITED_PREPARED_RECORD,PROJECT_AUCTION_PREPARE_CACHE,SOURCE_LIMITED,OBSERVED_RAW_PATTERN,AUCTION_PREPARE_COMPUTED,PREPARED,SOURCE_LIMITED_TO_OBSERVED_RAW_PATTERN,provider returned None in wrapped runtime call; prepared row is computed fallback output
2023-01-05,601155.SH,SOURCE_LIMITED_PREPARED_RECORD,PROJECT_AUCTION_PREPARE_CACHE,SOURCE_LIMITED,OBSERVED_RAW_PATTERN,AUCTION_PREPARE_COMPUTED,PREPARED,SOURCE_LIMITED_TO_OBSERVED_RAW_PATTERN,provider returned None in wrapped runtime call; prepared row is computed fallback output
