trade_date,provider,project_root,physical_expected_path,return_type,return_is_none,return_is_empty,return_rows,actual_source_path,physical_file_exists,physical_file_sha256
2023-01-03,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-04,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-05,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-06,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-09,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-10,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-11,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-12,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-13,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-16,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-17,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-18,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-19,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-20,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-30,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-31,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-01,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-02,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-03,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-06,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-07,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-08,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-09,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-10,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-13,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-14,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-15,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
