trade_date,branch,phase1c_signal_count,phase1d_signal_count,delta
2023-01-03,Auction,8,8,0
2023-01-03,Scorpion,4,4,0
2023-01-04,Auction,16,0,-16
2023-01-04,Scorpion,8,8,0
2023-01-05,Auction,10,0,-10
2023-01-05,RZQ,4,0,-4
2023-01-05,Scorpion,3,3,0
2023-01-06,Auction,14,14,0
2023-01-06,Scorpion,5,5,0
2023-01-09,Auction,17,17,0
2023-01-09,Scorpion,4,4,0
2023-01-10,Auction,14,14,0
2023-01-10,YJJ,3,0,-3
2023-01-11,Auction,2,0,-2
2023-01-11,YJJ,1,0,-1
2023-01-12,Auction,11,0,-11
2023-01-12,Scorpion,1,1,0
2023-01-13,Auction,13,13,0
2023-01-13,Scorpion,4,4,0
2023-01-16,Auction,12,0,-12
2023-01-17,Auction,12,12,0
2023-01-17,YJJ,3,3,0
2023-01-18,Auction,9,0,-9
2023-01-18,YJJ,2,0,-2
2023-01-19,Auction,6,6,0
2023-01-20,Auction,6,6,0
2023-01-20,YJJ,3,3,0
2023-01-30,Auction,9,0,-9
2023-01-30,YJJ,5,5,0
2023-01-31,Auction,24,0,-24
2023-01-31,YJJ,7,0,-7
2023-02-01,Auction,11,11,0
2023-02-01,RZQ,2,0,-2
2023-02-01,YJJ,2,2,0
2023-02-02,Auction,13,0,-13
2023-02-02,YJJ,2,0,-2
2023-02-03,Auction,10,10,0
2023-02-03,RZQ,1,0,-1
2023-02-03,YJJ,2,0,-2
2023-02-06,Auction,6,6,0
2023-02-06,RZQ,1,0,-1
2023-02-06,YJJ,1,1,0
2023-02-07,Auction,8,8,0
2023-02-07,RZQ,2,0,-2
2023-02-07,YJJ,2,2,0
2023-02-08,Auction,13,13,0
2023-02-09,Auction,8,8,0
2023-02-09,RZQ,4,0,-4
2023-02-10,Auction,15,0,-15
2023-02-10,YJJ,2,0,-2
2023-02-13,Auction,9,0,-9
2023-02-13,RZQ,3,0,-3
2023-02-13,YJJ,1,1,0
2023-02-14,Auction,15,0,-15
2023-02-14,RZQ,1,0,-1
2023-02-14,YJJ,2,2,0
2023-02-15,Auction,8,8,0
