trade_date,branch,code,signal_variant,phase1c_present,phase1d_present,phase1c_terminal_state,phase1d_terminal_state,phase1c_source_mode,phase1d_source_mode,difference_type
2023-01-03,Auction,000892.XSHE,AUCTION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-03,Auction,000899.XSHE,AUCTION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-03,Auction,002252.XSHE,AUCTION_PREPARED,True,True,FILLED,FILLED,,,IDENTICAL
2023-01-03,Auction,002582.XSHE,AUCTION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-03,Auction,002640.XSHE,AUCTION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-03,Auction,002642.XSHE,AUCTION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-03,Auction,600845.XSHG,AUCTION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-03,Auction,600880.XSHG,AUCTION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-03,Scorpion,002093.XSHE,SCORPION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-03,Scorpion,002339.XSHE,SCORPION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-03,Scorpion,002858.XSHE,SCORPION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-03,Scorpion,603856.XSHG,SCORPION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-04,Auction,000597.XSHE,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-04,Auction,000948.XSHE,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-04,Auction,002031.XSHE,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-04,Auction,002072.XSHE,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-04,Auction,002162.XSHE,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-04,Auction,002244.XSHE,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-04,Auction,002368.XSHE,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-04,Auction,002405.XSHE,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-04,Auction,002412.XSHE,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-04,Auction,002549.XSHE,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-04,Auction,002626.XSHE,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-04,Auction,003029.XSHE,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-04,Auction,600062.XSHG,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-04,Auction,600789.XSHG,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-04,Auction,600996.XSHG,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-04,Auction,603233.XSHG,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-04,Scorpion,001308.XSHE,SCORPION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-04,Scorpion,002244.XSHE,SCORPION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-04,Scorpion,002693.XSHE,SCORPION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-04,Scorpion,002826.XSHE,SCORPION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-04,Scorpion,600062.XSHG,SCORPION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-04,Scorpion,600532.XSHG,SCORPION_PREPARED,True,True,FILLED,FILLED,,,IDENTICAL
2023-01-04,Scorpion,603138.XSHG,SCORPION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-04,Scorpion,603529.XSHG,SCORPION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-05,Auction,000670.XSHE,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-05,Auction,000736.XSHE,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-05,Auction,000797.XSHE,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-05,Auction,000938.XSHE,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-05,Auction,002188.XSHE,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-05,Auction,002494.XSHE,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-05,Auction,002575.XSHE,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-05,Auction,002712.XSHE,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-05,Auction,600992.XSHG,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-05,Auction,601155.XSHG,AUCTION_PREPARED,True,False,SLOT_BLOCKED,,,,PHASE1C_ONLY
2023-01-05,RZQ,000716.XSHE,RZQ_PREPARED,True,False,ROUTED_OUT,,,,PHASE1C_ONLY
2023-01-05,RZQ,002820.XSHE,RZQ_PREPARED,True,False,ROUTED_OUT,,,,PHASE1C_ONLY
2023-01-05,RZQ,002995.XSHE,RZQ_PREPARED,True,False,ROUTED_OUT,,,,PHASE1C_ONLY
2023-01-05,RZQ,600880.XSHG,RZQ_PREPARED,True,False,ROUTED_OUT,,,,PHASE1C_ONLY
2023-01-05,Scorpion,002845.XSHE,SCORPION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-05,Scorpion,003004.XSHE,SCORPION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-05,Scorpion,603439.XSHG,SCORPION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-06,Auction,000049.XSHE,AUCTION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-06,Auction,000507.XSHE,AUCTION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-06,Auction,000665.XSHE,AUCTION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-06,Auction,001267.XSHE,AUCTION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-06,Auction,001896.XSHE,AUCTION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-06,Auction,002213.XSHE,AUCTION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-06,Auction,002351.XSHE,AUCTION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-06,Auction,002357.XSHE,AUCTION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-06,Auction,002654.XSHE,AUCTION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-06,Auction,002712.XSHE,AUCTION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-06,Auction,600095.XSHG,AUCTION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-06,Auction,600853.XSHG,AUCTION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-06,Auction,603050.XSHG,AUCTION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-06,Auction,603105.XSHG,AUCTION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-06,Scorpion,002196.XSHE,SCORPION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-06,Scorpion,002241.XSHE,SCORPION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-06,Scorpion,002812.XSHE,SCORPION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
2023-01-06,Scorpion,002906.XSHE,SCORPION_PREPARED,True,True,BRANCH_FILTERED,BRANCH_FILTERED,,,IDENTICAL
