column,terminal_state,terminal_reason_code,count,explanation_status
handler_eligible,BRANCH_FILTERED,LIMIT_DOWN_UNBUYABLE,1,EXPLAINED_BY_UPSTREAM_CONTROL_FLOW
handler_eligible,BRANCH_FILTERED,LIMIT_UP_UNBUYABLE,27,EXPLAINED_BY_UPSTREAM_CONTROL_FLOW
handler_eligible,BRANCH_FILTERED,OPEN_RANGE_FILTER,616,EXPLAINED_BY_UPSTREAM_CONTROL_FLOW
handler_eligible,DATA_INVALID,PAUSED,34,EXPLAINED_BY_UPSTREAM_CONTROL_FLOW
handler_eligible,MOTHERBOARD_GATED_OUT,BULL_COOLDOWN,51,EXPLAINED_BY_UPSTREAM_CONTROL_FLOW
handler_eligible,MOTHERBOARD_GATED_OUT,FB_PCT_BLOCK,4,EXPLAINED_BY_UPSTREAM_CONTROL_FLOW
handler_eligible,MOTHERBOARD_GATED_OUT,SHOCK_COOLDOWN,3,EXPLAINED_BY_UPSTREAM_CONTROL_FLOW
handler_eligible,MOTHERBOARD_GATED_OUT,STOPLOSS_COOLDOWN,6,EXPLAINED_BY_UPSTREAM_CONTROL_FLOW
handler_eligible,POSITION_BLOCKED,DUPLICATE_POSITION,3,EXPLAINED_BY_UPSTREAM_CONTROL_FLOW
handler_eligible,ROUTED_OUT,ROUTE_DISABLED,24,EXPLAINED_BY_UPSTREAM_CONTROL_FLOW
handler_eligible,SLOT_BLOCKED,SLOTS_FILLED,61,EXPLAINED_BY_UPSTREAM_CONTROL_FLOW
branch_eligible,BRANCH_FILTERED,LIMIT_DOWN_UNBUYABLE,1,EXPLAINED_BY_UPSTREAM_CONTROL_FLOW
branch_eligible,BRANCH_FILTERED,LIMIT_UP_UNBUYABLE,27,EXPLAINED_BY_UPSTREAM_CONTROL_FLOW
branch_eligible,BRANCH_FILTERED,OPEN_RANGE_FILTER,616,EXPLAINED_BY_UPSTREAM_CONTROL_FLOW
branch_eligible,DATA_INVALID,PAUSED,34,EXPLAINED_BY_UPSTREAM_CONTROL_FLOW
branch_eligible,MOTHERBOARD_GATED_OUT,BULL_COOLDOWN,51,EXPLAINED_BY_UPSTREAM_CONTROL_FLOW
branch_eligible,MOTHERBOARD_GATED_OUT,FB_PCT_BLOCK,4,EXPLAINED_BY_UPSTREAM_CONTROL_FLOW
branch_eligible,MOTHERBOARD_GATED_OUT,SHOCK_COOLDOWN,3,EXPLAINED_BY_UPSTREAM_CONTROL_FLOW
branch_eligible,MOTHERBOARD_GATED_OUT,STOPLOSS_COOLDOWN,6,EXPLAINED_BY_UPSTREAM_CONTROL_FLOW
branch_eligible,POSITION_BLOCKED,DUPLICATE_POSITION,3,EXPLAINED_BY_UPSTREAM_CONTROL_FLOW
branch_eligible,ROUTED_OUT,ROUTE_DISABLED,24,EXPLAINED_BY_UPSTREAM_CONTROL_FLOW
branch_eligible,SLOT_BLOCKED,SLOTS_FILLED,61,EXPLAINED_BY_UPSTREAM_CONTROL_FLOW
