branch,terminal_state,terminal_reason_code,count
Auction,BRANCH_FILTERED,AUCTION_LEFT_PRESSURE_FILTER,38
Auction,BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,682
Auction,BRANCH_FILTERED,AUCTION_PRICE_RANGE_FILTER,30
Auction,BRANCH_FILTERED,AUCTION_VOLUME_RATIO_FILTER,621
Auction,BRANCH_FILTERED,LIMIT_DOWN_UNBUYABLE,1
Auction,BRANCH_FILTERED,LIMIT_UP_UNBUYABLE,13
Auction,FILLED,FILLED,47
Auction,RANKED_OUT,RANK_OUT,10
RZQ,BRANCH_FILTERED,AUCTION_BUY_SELL_FILTER,3
RZQ,BRANCH_FILTERED,OPEN_RANGE_FILTER,10
RZQ,CASH_BLOCKED,GLOBAL_CASH_INSUFFICIENT,2
RZQ,FILLED,FILLED,7
RZQ,MOTHERBOARD_GATED_OUT,BULL_COOLDOWN,4
RZQ,MOTHERBOARD_GATED_OUT,FB_PCT_BLOCK,1
RZQ,POSITION_BLOCKED,DUPLICATE_POSITION,1
RZQ,ROUTED_OUT,ROUTE_DISABLED,18
Scorpion,BRANCH_FILTERED,LIMIT_UP_UNBUYABLE,13
Scorpion,BRANCH_FILTERED,OPEN_RANGE_FILTER,559
Scorpion,DATA_INVALID,PAUSED,34
Scorpion,FILLED,FILLED,11
Scorpion,SLOT_BLOCKED,SLOTS_FILLED,15
YJJ,BRANCH_FILTERED,LIMIT_UP_UNBUYABLE,1
YJJ,BRANCH_FILTERED,OPEN_RANGE_FILTER,18
YJJ,CASH_BLOCKED,GLOBAL_CASH_INSUFFICIENT,5
YJJ,FILLED,FILLED,37
YJJ,MOTHERBOARD_GATED_OUT,FB_PCT_BLOCK,3
YJJ,MOTHERBOARD_GATED_OUT,SHOCK_COOLDOWN,3
YJJ,MOTHERBOARD_GATED_OUT,STOPLOSS_COOLDOWN,6
YJJ,ROUTED_OUT,ROUTE_DISABLED,6
YJJ,SLOT_BLOCKED,SLOTS_FILLED,46
ZB,BRANCH_FILTERED,AUCTION_BUY_SELL_FILTER,70
ZB,BRANCH_FILTERED,OPEN_RANGE_FILTER,29
ZB,CASH_BLOCKED,GLOBAL_CASH_INSUFFICIENT,38
ZB,FILLED,FILLED,30
ZB,MOTHERBOARD_GATED_OUT,BULL_COOLDOWN,47
ZB,POSITION_BLOCKED,DUPLICATE_POSITION,2
ZB,SLOT_BLOCKED,BRANCH_SLOT_FULL,33
ZB,SLOT_BLOCKED,TAKE_FILLED,30
