scope,month,branch,prepared_signals,filled_signals,closed_net_pnl,open_mark_change,total_actual_contribution,win_rate,average_holding_days
ENTRY_COHORT,2023-01,Auction,90,4,24555.379999999997,0.0,24555.379999999997,0.75,1.75
ENTRY_COHORT,2023-02,Auction,92,4,27786.769245283,0.0,27786.769245283,0.75,1.5
ENTRY_COHORT,2023-03,Auction,88,1,2109.66,0.0,2109.66,1.0,1.0
ENTRY_COHORT,2023-04,Auction,136,3,30033.730235690302,0.0,30033.730235690302,0.6666666666666666,1.0
ENTRY_COHORT,2023-05,Auction,112,5,-77354.55000000002,0.0,-77354.55000000002,0.2,2.0
ENTRY_COHORT,2023-06,Auction,139,4,44597.329999999994,0.0,44597.329999999994,1.0,1.0
ENTRY_COHORT,2023-07,Auction,148,3,45930.41,0.0,45930.41,0.6666666666666666,2.6666666666666665
ENTRY_COHORT,2023-08,Auction,138,6,42031.369999999806,0.0,42031.369999999806,0.8333333333333334,1.1666666666666667
ENTRY_COHORT,2023-09,Auction,74,4,-9203.609999999906,0.0,-9203.609999999906,0.25,2.25
ENTRY_COHORT,2023-10,Auction,97,5,-35422.4,0.0,-35422.4,0.6,1.8
ENTRY_COHORT,2023-11,Auction,154,4,-7755.6018181818,0.0,-7755.6018181818,0.75,1.25
ENTRY_COHORT,2023-12,Auction,174,4,1006.4304206730994,2184.469999999972,3190.9004206730715,0.6666666666666666,1.3333333333333333
ENTRY_COHORT,2023-01,YJJ,11,4,17206.630000000205,0.0,17206.630000000205,0.75,1.0
ENTRY_COHORT,2023-02,YJJ,21,7,31382.340754717,0.0,31382.340754717,0.5714285714285714,1.0
ENTRY_COHORT,2023-03,YJJ,13,1,-238.98,0.0,-238.98,0.0,1.0
ENTRY_COHORT,2023-04,YJJ,38,12,-1185.2702356900918,0.0,-1185.2702356900918,0.4166666666666667,1.1666666666666667
ENTRY_COHORT,2023-11,YJJ,31,10,-127853.56818181789,0.0,-127853.56818181789,0.5,1.0
ENTRY_COHORT,2023-12,YJJ,11,3,-12174.240420672999,0.0,-12174.240420672999,0.3333333333333333,1.3333333333333333
ENTRY_COHORT,2023-01,Scorpion,29,1,21323.31,0.0,21323.31,1.0,1.0
ENTRY_COHORT,2023-03,Scorpion,1,0,0.0,0.0,0.0,,
ENTRY_COHORT,2023-04,Scorpion,25,0,0.0,0.0,0.0,,
ENTRY_COHORT,2023-05,Scorpion,132,1,24322.11,0.0,24322.11,1.0,1.0
ENTRY_COHORT,2023-06,Scorpion,117,4,-16251.6799999998,0.0,-16251.6799999998,0.5,1.0
ENTRY_COHORT,2023-07,Scorpion,51,1,30459.21,0.0,30459.21,1.0,1.0
ENTRY_COHORT,2023-08,Scorpion,70,2,14461.929999999898,0.0,14461.929999999898,0.5,1.0
ENTRY_COHORT,2023-09,Scorpion,68,1,5425.0699999999,0.0,5425.0699999999,1.0,1.0
ENTRY_COHORT,2023-10,Scorpion,94,1,24312.78,0.0,24312.78,1.0,1.0
ENTRY_COHORT,2023-11,Scorpion,11,0,0.0,0.0,0.0,,
ENTRY_COHORT,2023-12,Scorpion,34,0,0.0,0.0,0.0,,
ENTRY_COHORT,2023-02,RZQ,6,2,-28585.09,0.0,-28585.09,0.0,1.5
ENTRY_COHORT,2023-03,RZQ,14,3,-13312.15,0.0,-13312.15,0.3333333333333333,1.0
ENTRY_COHORT,2023-04,RZQ,5,0,0.0,0.0,0.0,,
ENTRY_COHORT,2023-06,RZQ,2,0,0.0,0.0,0.0,,
ENTRY_COHORT,2023-11,RZQ,12,0,0.0,0.0,0.0,,
ENTRY_COHORT,2023-12,RZQ,7,2,-54719.06,0.0,-54719.06,0.0,1.5
ENTRY_COHORT,2023-02,ZB,31,3,-32945.99,0.0,-32945.99,0.3333333333333333,1.3333333333333333
ENTRY_COHORT,2023-03,ZB,135,15,32838.450000000004,0.0,32838.450000000004,0.6,1.3333333333333333
ENTRY_COHORT,2023-04,ZB,47,6,121076.6700000001,0.0,121076.6700000001,0.8333333333333334,1.3333333333333333
ENTRY_COHORT,2023-12,ZB,66,6,132265.72999999998,0.0,132265.72999999998,0.6666666666666666,1.5
REALIZATION_MONTH,2023-01,Auction,90,4,24555.379999999997,0.0,24555.379999999997,0.75,1.75
REALIZATION_MONTH,2023-02,Auction,92,4,27786.769245283,0.0,27786.769245283,0.75,1.5
REALIZATION_MONTH,2023-03,Auction,88,1,2109.66,0.0,2109.66,1.0,1.0
REALIZATION_MONTH,2023-04,Auction,136,3,30033.730235690302,0.0,30033.730235690302,0.6666666666666666,1.0
REALIZATION_MONTH,2023-05,Auction,112,5,-50815.580000000016,0.0,-50815.580000000016,0.25,1.75
REALIZATION_MONTH,2023-06,Auction,139,4,6585.979999999999,0.0,6585.979999999999,0.75,1.5
REALIZATION_MONTH,2023-07,Auction,148,3,57402.79,0.0,57402.79,0.75,2.25
