branch,terminal_state,count
Auction,BRANCH_FILTERED,1385
Auction,FILLED,47
Auction,RANKED_OUT,10
RZQ,BRANCH_FILTERED,13
RZQ,CASH_BLOCKED,2
RZQ,FILLED,7
RZQ,MOTHERBOARD_GATED_OUT,5
RZQ,POSITION_BLOCKED,1
RZQ,ROUTED_OUT,18
Scorpion,BRANCH_FILTERED,572
Scorpion,DATA_INVALID,34
Scorpion,FILLED,11
Scorpion,SLOT_BLOCKED,15
YJJ,BRANCH_FILTERED,19
YJJ,CASH_BLOCKED,5
YJJ,FILLED,37
YJJ,MOTHERBOARD_GATED_OUT,12
YJJ,ROUTED_OUT,6
YJJ,SLOT_BLOCKED,46
ZB,BRANCH_FILTERED,99
ZB,CASH_BLOCKED,38
ZB,FILLED,30
ZB,MOTHERBOARD_GATED_OUT,47
ZB,POSITION_BLOCKED,2
ZB,SLOT_BLOCKED,63
