match_key,date,time,code,side,jq_price,l1a_price,price_diff,classification,matched_disabled_hook_id,hook_key
2020-01-14|2020-01-14 11:25|002056.XSHE|sell#1,2020-01-14,2020-01-14 11:25,002056.XSHE,sell,10.9,10.91,-0.01,price_only,,
2020-01-16|2020-01-16 11:25|300448.XSHE|sell#1,2020-01-16,2020-01-16 11:25,300448.XSHE,sell,10.52,10.51,0.01,price_and_amount,,
2020-01-20|2020-01-20 14:50|000049.XSHE|sell#1,2020-01-20,2020-01-20 14:50,000049.XSHE,sell,47.18,47.19,-0.01,price_only,,
2020-01-21|2020-01-21 11:25|000818.XSHE|sell#1,2020-01-21,2020-01-21 11:25,000818.XSHE,sell,28.5,28.49,0.01,price_only,,
2020-01-22|2020-01-22 9:30|000650.XSHE|buy#1,2020-01-22,2020-01-22 9:30,000650.XSHE,buy,7.3,7.29,0.01,price_only,,
2020-02-06|2020-02-06 11:25|002340.XSHE|sell#1,2020-02-06,2020-02-06 11:25,002340.XSHE,sell,6.28,6.29,-0.01,price_only,,
2020-02-10|2020-02-10 9:30|000700.XSHE|buy#1,2020-02-10,2020-02-10 9:30,000700.XSHE,buy,13.68,13.69,-0.01,price_and_amount,,
2020-02-11|2020-02-11 11:28|000700.XSHE|sell#1,2020-02-11,2020-02-11 11:28,000700.XSHE,sell,14.42,14.43,-0.01,price_and_amount,,
2020-02-11|2020-02-11 9:30|603083.XSHG|buy#1,2020-02-11,2020-02-11 9:30,603083.XSHG,buy,32.58,32.59,-0.01,price_and_amount,,
2020-02-11|2020-02-11 9:30|603185.XSHG|buy#1,2020-02-11,2020-02-11 9:30,603185.XSHG,buy,36.4,36.41,-0.01,price_only,,
2020-02-12|2020-02-12 every_bar|603185.XSHG|sell#1,2020-02-12,2020-02-12 every_bar,603185.XSHG,sell,40.79,40.8,-0.01,price_only,,
2020-02-14|2020-02-14 11:30|603626.XSHG|sell#1,2020-02-14,2020-02-14 11:30,603626.XSHG,sell,12.74,12.75,-0.01,price_only,,
2020-02-18|2020-02-18 11:28|002079.XSHE|sell#1,2020-02-18,2020-02-18 11:28,002079.XSHE,sell,15.24,15.23,0.01,price_only,,
2020-02-18|2020-02-18 14:50|002428.XSHE|sell#1,2020-02-18,2020-02-18 14:50,002428.XSHE,sell,13.92,13.83,0.09,price_and_amount,,
2020-02-19|2020-02-19 9:30|600469.XSHG|buy#1,2020-02-19,2020-02-19 9:30,600469.XSHG,buy,5.84,5.83,0.01,price_and_amount,,
2020-02-20|2020-02-20 9:30|002413.XSHE|buy#1,2020-02-20,2020-02-20 9:30,002413.XSHE,buy,7.7,7.71,-0.01,price_only,,
2020-02-24|2020-02-24 11:28|002915.XSHE|sell#1,2020-02-24,2020-02-24 11:28,002915.XSHE,sell,32.94,32.91,0.03,price_only,,
2020-02-24|2020-02-24 9:30|002185.XSHE|buy#1,2020-02-24,2020-02-24 9:30,002185.XSHE,buy,14.16,14.17,-0.01,price_only,,
2020-02-24|2020-02-24 9:30|603186.XSHG|buy#1,2020-02-24,2020-02-24 9:30,603186.XSHG,buy,58.58,58.59,-0.01,price_only,,
2020-02-25|2020-02-25 11:25|600221.XSHG|sell#1,2020-02-25,2020-02-25 11:25,600221.XSHG,sell,1.64,1.65,-0.01,price_and_amount,,
2020-02-25|2020-02-25 11:28|002413.XSHE|sell#1,2020-02-25,2020-02-25 11:28,002413.XSHE,sell,9.57,9.58,-0.01,price_only,,
2020-02-26|2020-02-26 11:25|300037.XSHE|sell#1,2020-02-26,2020-02-26 11:25,300037.XSHE,sell,45.22,45.25,-0.03,price_and_amount,,
2020-02-26|2020-02-26 14:50|000034.XSHE|sell#1,2020-02-26,2020-02-26 14:50,000034.XSHE,sell,28.02,28.03,-0.01,price_only,,
2020-02-27|2020-02-27 9:30|600318.XSHG|buy#1,2020-02-27,2020-02-27 9:30,600318.XSHG,buy,10.4,10.41,-0.01,price_and_amount,,
