trade_key,diff_type,date,code,amount,price,jq_amount,l1a_amount,jq_price,l1a_price
2020-08-25|2020-08-25 11:25|600027.XSHG|sell#1,removed,2020-08-25,600027.XSHG,-164300.0,4.12,,,,
2020-08-21|2020-08-21 11:25|600027.XSHG|sell#1,added,2020-08-21,600027.XSHG,-164300.0,4.36,,,,
2020-01-15|2020-01-15 9:30|300448.XSHE|buy#1,amount_diff,2020-01-15,300448.XSHE,,,55700.0,55800.0,10.01,10.01
2020-01-16|2020-01-16 11:25|300448.XSHE|sell#1,amount_diff,2020-01-16,300448.XSHE,,,-55700.0,-55800.0,10.52,10.51
2020-02-06|2020-02-06 9:30|002589.XSHE|buy#1,amount_diff,2020-02-06,002589.XSHE,,,62300.0,62400.0,8.31,8.31
2020-02-07|2020-02-07 13:01|002589.XSHE|sell#1,amount_diff,2020-02-07,002589.XSHE,,,-62300.0,-62400.0,8.08,8.08
2020-02-10|2020-02-10 9:30|000700.XSHE|buy#1,amount_diff,2020-02-10,000700.XSHE,,,49200.0,49300.0,13.68,13.69
2020-02-11|2020-02-11 11:28|000700.XSHE|sell#1,amount_diff,2020-02-11,000700.XSHE,,,-49200.0,-49300.0,14.42,14.43
2020-02-11|2020-02-11 9:30|603083.XSHG|buy#1,amount_diff,2020-02-11,603083.XSHG,,,300.0,200.0,32.58,32.59
2020-02-11|2020-02-11 9:30|603887.XSHG|buy#1,amount_diff,2020-02-11,603887.XSHG,,,300.0,400.0,32.01,32.01
2020-02-12|2020-02-12 every_bar|603083.XSHG|sell#1,amount_diff,2020-02-12,603083.XSHG,,,-300.0,-200.0,32.14,32.14
2020-02-12|2020-02-12 every_bar|603887.XSHG|sell#1,amount_diff,2020-02-12,603887.XSHG,,,-300.0,-400.0,31.16,31.16
2020-02-13|2020-02-13 9:30|002497.XSHE|buy#1,amount_diff,2020-02-13,002497.XSHE,,,40400.0,40500.0,11.4,11.4
2020-02-14|2020-02-14 11:30|002497.XSHE|sell#1,amount_diff,2020-02-14,002497.XSHE,,,-40400.0,-40500.0,11.72,11.72
2020-02-17|2020-02-17 9:30|002428.XSHE|buy#1,amount_diff,2020-02-17,002428.XSHE,,,31600.0,31700.0,13.7,13.7
2020-02-18|2020-02-18 14:50|002428.XSHE|sell#1,amount_diff,2020-02-18,002428.XSHE,,,-31600.0,-31700.0,13.92,13.83
2020-02-19|2020-02-19 9:30|600469.XSHG|buy#1,amount_diff,2020-02-19,600469.XSHG,,,81000.0,80900.0,5.84,5.83
