trade_key,diff_type,date,code,l1a_amount,l1b_amount,l1a_price,l1b_price
2020-02-11|2020-02-11 9:30|603083.XSHG|buy#1,amount_diff,2020-02-11,603083.XSHG,200.0,300.0,32.59,32.59
2020-02-11|2020-02-11 9:30|603887.XSHG|buy#1,amount_diff,2020-02-11,603887.XSHG,400.0,300.0,32.01,32.01
2020-02-11|2020-02-11 every_bar|600400.XSHG|sell#1,amount_diff,2020-02-11,600400.XSHG,-146300.0,-146200.0,4.42,4.42
2020-02-12|2020-02-12 every_bar|603083.XSHG|sell#1,amount_diff,2020-02-12,603083.XSHG,-200.0,-300.0,32.14,32.14
2020-02-12|2020-02-12 every_bar|603887.XSHG|sell#1,amount_diff,2020-02-12,603887.XSHG,-400.0,-300.0,31.16,31.16
2020-03-04|2020-03-04 9:30|002935.XSHE|buy#1,amount_diff,2020-03-04,002935.XSHE,11000.0,11100.0,34.87,34.87
2020-03-05|2020-03-05 11:30|002935.XSHE|sell#1,amount_diff,2020-03-05,002935.XSHE,-11000.0,-11100.0,37.45,37.45
2020-03-06|2020-03-06 11:30|600654.XSHG|sell#1,amount_diff,2020-03-06,600654.XSHG,-352900.0,-352700.0,2.4,2.4
2020-03-06|2020-03-06 9:30|002432.XSHE|buy#1,amount_diff,2020-03-06,002432.XSHE,49800.0,50000.0,8.52,8.52
2020-03-09|2020-03-09 14:48|600126.XSHG|sell#1,amount_diff,2020-03-09,600126.XSHG,-60000.0,-59800.0,6.24,6.24
2020-03-10|2020-03-10 11:30|002432.XSHE|sell#1,amount_diff,2020-03-10,002432.XSHE,-49800.0,-50000.0,10.82,10.82
2020-03-11|2020-03-11 14:48|002596.XSHE|sell#1,amount_diff,2020-03-11,002596.XSHE,-50200.0,-50000.0,9.26,9.26
2020-03-12|2020-03-12 every_bar|603912.XSHG|sell#1,amount_diff,2020-03-12,603912.XSHG,-45700.0,-45600.0,25.15,25.15
2020-03-16|2020-03-16 9:30|002131.XSHE|buy#1,amount_diff,2020-03-16,002131.XSHE,176500.0,176600.0,4.5,4.5
2020-03-17|2020-03-17 11:30|000592.XSHE|sell#1,amount_diff,2020-03-17,000592.XSHE,-287000.0,-286700.0,2.69,2.69
2020-03-17|2020-03-17 11:30|002131.XSHE|sell#1,amount_diff,2020-03-17,002131.XSHE,-176500.0,-176600.0,4.53,4.53
2020-03-18|2020-03-18 9:30|600973.XSHG|buy#1,amount_diff,2020-03-18,600973.XSHG,77800.0,77900.0,4.62,4.62
2020-03-19|2020-03-19 11:25|000700.XSHE|sell#1,amount_diff,2020-03-19,000700.XSHE,-45200.0,-45300.0,9.8,9.8
2020-03-19|2020-03-19 11:30|002365.XSHE|sell#1,amount_diff,2020-03-19,002365.XSHE,-34300.0,-34200.0,11.25,11.25
2020-03-19|2020-03-19 11:30|600973.XSHG|sell#1,amount_diff,2020-03-19,600973.XSHG,-77800.0,-77900.0,4.65,4.65
2020-03-30|2020-03-30 9:30|002612.XSHE|buy#1,amount_diff,2020-03-30,002612.XSHE,126200.0,126300.0,8.37,8.37
2020-03-31|2020-03-31 11:25|002612.XSHE|sell#1,amount_diff,2020-03-31,002612.XSHE,-126200.0,-126300.0,8.43,8.43
2020-04-03|2020-04-03 11:25|600086.XSHG|sell#1,amount_diff,2020-04-03,600086.XSHG,-146000.0,-141700.0,2.26,2.26
2020-04-07|2020-04-07 9:30|002470.XSHE|buy#1,amount_diff,2020-04-07,002470.XSHE,162100.0,162200.0,2.94,2.94
2020-04-08|2020-04-08 11:25|002470.XSHE|sell#1,amount_diff,2020-04-08,002470.XSHE,-162100.0,-162200.0,3.12,3.12
2020-04-14|2020-04-14 13:01|002444.XSHE|sell#1,amount_diff,2020-04-14,002444.XSHE,-76300.0,-76400.0,10.18,10.18
2020-04-15|2020-04-15 14:50|002221.XSHE|sell#1,amount_diff,2020-04-15,002221.XSHE,-51600.0,-51700.0,9.7,9.7
2020-04-22|2020-04-22 every_bar|002022.XSHE|sell#1,amount_diff,2020-04-22,002022.XSHE,-32600.0,-32700.0,17.5,17.5
2020-04-28|2020-04-28 13:01|600241.XSHG|sell#1,amount_diff,2020-04-28,600241.XSHG,-166000.0,-166300.0,3.02,3.02
2020-04-29|2020-04-29 14:50|601975.XSHG|sell#1,amount_diff,2020-04-29,601975.XSHG,-161900.0,-162100.0,2.64,2.64
2020-05-06|2020-05-06 11:25|600856.XSHG|sell#1,amount_diff,2020-05-06,600856.XSHG,-711900.0,-712100.0,1.08,1.08
2020-05-19|2020-05-19 11:25|000987.XSHE|sell#1,amount_diff,2020-05-19,000987.XSHE,-72400.0,-72500.0,12.57,12.57
2020-05-19|2020-05-19 9:30|600143.XSHG|buy#1,amount_diff,2020-05-19,600143.XSHG,36900.0,36800.0,14.01,14.01
2020-05-20|2020-05-20 14:50|600143.XSHG|sell#1,amount_diff,2020-05-20,600143.XSHG,-36900.0,-36800.0,13.79,13.79
2020-06-16|2020-06-16 14:50|600095.XSHG|sell#1,amount_diff,2020-06-16,600095.XSHG,-76100.0,-76600.0,10.69,10.69
2020-06-18|2020-06-18 9:30|600315.XSHG|buy#1,amount_diff,2020-06-18,600315.XSHG,11000.0,10900.0,48.05,48.05
2020-06-19|2020-06-19 11:25|600315.XSHG|sell#1,amount_diff,2020-06-19,600315.XSHG,-11000.0,-10900.0,51.04,51.04
2020-06-19|2020-06-19 9:30|600211.XSHG|buy#1,amount_diff,2020-06-19,600211.XSHG,11800.0,11900.0,64.7,64.7
2020-06-22|2020-06-22 9:30|002686.XSHE|buy#1,amount_diff,2020-06-22,002686.XSHE,32300.0,31300.0,5.21,5.21
2020-06-22|2020-06-22 9:30|600198.XSHG|buy#1,amount_diff,2020-06-22,600198.XSHG,11200.0,11100.0,15.02,15.02
2020-06-22|2020-06-22 every_bar|600211.XSHG|sell#1,amount_diff,2020-06-22,600211.XSHG,-11800.0,-11900.0,61.1,61.1
2020-06-23|2020-06-23 11:30|002686.XSHE|sell#1,amount_diff,2020-06-23,002686.XSHE,-32300.0,-31300.0,5.16,5.16
2020-06-23|2020-06-23 11:30|600198.XSHG|sell#1,amount_diff,2020-06-23,600198.XSHG,-11200.0,-11100.0,15.98,15.98
2020-06-23|2020-06-23 9:30|600884.XSHG|buy#1,amount_diff,2020-06-23,600884.XSHG,29000.0,29300.0,12.16,12.16
