row,date,column,current_value,baseline_value,diff,year
75,2021-04-27,available_cash,201507.70000000013,108944.94000000012,92562.76000000001,2021
76,2021-04-28,available_cash,1140223.7800000005,1174423.03,-34199.249999999534,2021
77,2021-04-29,available_cash,1140223.7800000005,1174423.03,-34199.249999999534,2021
78,2021-04-30,available_cash,169408.6200000003,175219.34999999998,-5810.72999999969,2021
79,2021-05-06,available_cash,1137756.1300000004,1171861.04,-34104.90999999968,2021
80,2021-05-07,available_cash,779367.6500000004,802612.3,-23244.649999999674,2021
81,2021-05-10,available_cash,97277.08000000042,100501.73000000004,-3224.649999999616,2021
82,2021-05-11,available_cash,811122.8800000004,835285.26,-24162.379999999655,2021
83,2021-05-12,available_cash,120155.66000000032,124202.00000000006,-4046.3399999997346,2021
84,2021-05-13,available_cash,1192834.3500000003,1228540.4900000002,-35706.1399999999,2021
85,2021-05-14,available_cash,175004.09000000035,180025.03000000026,-5020.939999999915,2021
86,2021-05-17,available_cash,1128842.4800000004,1162657.9400000004,-33815.45999999996,2021
87,2021-05-18,available_cash,12126.560000000403,12580.02000000031,-453.45999999990636,2021
88,2021-05-19,available_cash,1137384.5900000003,1171159.8300000003,-33775.23999999999,2021
89,2021-05-20,available_cash,6524.440000000643,6816.640000000305,-292.1999999996624,2021
90,2021-05-21,available_cash,1142626.1900000006,1176794.4900000005,-34168.299999999814,2021
91,2021-05-24,available_cash,4933.980000000563,4891.020000000368,42.96000000019558,2021
92,2021-05-25,available_cash,1207312.8400000008,1243413.8500000003,-36101.009999999544,2021
93,2021-05-26,available_cash,1207312.8400000008,1243413.8500000003,-36101.009999999544,2021
94,2021-05-27,available_cash,14270.030000000845,14534.29000000027,-264.2599999994254,2021
95,2021-05-28,available_cash,838614.0000000009,863678.9600000002,-25064.959999999264,2021
96,2021-05-31,available_cash,386346.9000000009,397889.60000000027,-11542.699999999371,2021
97,2021-06-01,available_cash,845692.4200000009,871227.9600000002,-25535.53999999934,2021
98,2021-06-02,available_cash,402627.9100000008,413086.2000000002,-10458.289999999397,2021
99,2021-06-03,available_cash,899265.5400000007,926955.8400000004,-27690.299999999697,2021
100,2021-06-04,available_cash,317241.2000000008,326061.54000000027,-8820.339999999444,2021
101,2021-06-07,available_cash,4272.340000000753,4082.970000000292,189.370000000461,2021
102,2021-06-08,available_cash,1398823.0700000003,1440933.6300000004,-42110.560000000056,2021
103,2021-06-09,available_cash,-47536.7099999995,-46557.469999999565,-979.2399999999325,2021
104,2021-06-10,available_cash,1474948.4800000004,1519490.0100000002,-44541.529999999795,2021
105,2021-06-11,available_cash,5527.790000000503,5916.070000000473,-388.27999999996973,2021
106,2021-06-15,available_cash,1572687.9100000006,1619389.7100000004,-46701.799999999814,2021
107,2021-06-16,available_cash,-3545.3399999993853,-2543.3599999996504,-1001.9799999997349,2021
108,2021-06-17,available_cash,1468221.8700000006,1512551.4500000004,-44329.57999999984,2021
109,2021-06-18,available_cash,1468221.8700000006,1512551.4500000004,-44329.57999999984,2021
110,2021-06-21,available_cash,1468221.8700000006,1512551.4500000004,-44329.57999999984,2021
111,2021-06-22,available_cash,904426.7800000006,931860.2900000004,-27433.509999999776,2021
112,2021-06-23,available_cash,1460988.3000000007,1505101.1000000006,-44112.799999999814,2021
113,2021-06-24,available_cash,27788.470000000903,29696.6100000008,-1908.1399999998976,2021
114,2021-06-25,available_cash,1357746.220000001,1398113.3200000008,-40367.09999999986,2021
115,2021-06-28,available_cash,1377660.280000001,1418536.8700000008,-40876.58999999985,2021
116,2021-06-29,available_cash,17320.490000001024,20353.360000000823,-3032.869999999799,2021
117,2021-06-30,available_cash,645746.420000001,666235.7100000008,-20489.289999999804,2021
118,2021-07-01,available_cash,3760.880000000936,3473.940000000759,286.94000000017695,2021
119,2021-07-02,available_cash,804834.1400000008,831473.1400000008,-26639.0,2021
120,2021-07-05,available_cash,616107.6900000009,632583.0600000009,-16475.369999999995,2021
121,2021-07-06,available_cash,419471.8500000009,434167.5200000008,-14695.669999999867,2021
122,2021-07-07,available_cash,915868.9300000007,941712.8000000007,-25843.869999999995,2021
123,2021-07-08,available_cash,416441.6200000008,431233.7200000008,-14792.099999999977,2021
124,2021-07-09,available_cash,1399354.1700000009,1441149.110000001,-41794.94000000018,2021
140,2022-08-03,available_cash,1164229.530000002,633934.4900000021,530295.0399999998,2022
141,2022-08-04,available_cash,535512.7400000022,1108881.520000002,-573368.7799999999,2022
142,2022-08-05,available_cash,834810.1700000021,467120.4600000022,367689.70999999996,2022
143,2022-08-08,available_cash,864193.920000002,1241083.5800000022,-376889.66000000015,2022
144,2022-08-09,available_cash,421425.09000000206,232070.5900000022,189354.49999999985,2022
145,2022-08-10,available_cash,1789262.5900000022,1784972.200000002,4290.39000000013,2022
146,2022-08-11,available_cash,-6397.939999997849,-5161.66999999783,-1236.2700000000186,2022
147,2022-08-12,available_cash,864720.1400000022,862245.2300000021,2474.910000000149,2022
148,2022-08-15,available_cash,1003223.290000002,1000497.5600000022,2725.729999999865,2022
149,2022-08-16,available_cash,802183.5400000021,800576.8400000022,1606.6999999999534,2022
150,2022-08-17,available_cash,981203.220000002,979557.040000002,1646.1799999999348,2022
151,2022-08-18,available_cash,808325.8800000022,804912.4100000022,3413.469999999972,2022
152,2022-08-19,available_cash,1148008.270000002,1146998.9600000023,1009.309999999823,2022
153,2022-08-22,available_cash,908145.190000002,904610.4300000024,3534.75999999966,2022
154,2022-08-23,available_cash,1190680.290000002,1189087.5200000023,1592.769999999553,2022
155,2022-08-24,available_cash,264882.0000000022,259873.6700000024,5008.329999999813,2022
156,2022-08-25,available_cash,1693364.970000002,1692973.0300000024,391.9399999997113,2022
157,2022-08-26,available_cash,1957467.190000002,1952382.3600000024,5084.829999999609,2022
158,2022-08-29,available_cash,12267.810000002091,11584.300000002258,683.5099999998329,2022
159,2022-08-30,available_cash,1955245.2400000023,1950032.6200000024,5212.619999999879,2022
160,2022-08-31,available_cash,968778.2400000024,965717.2700000023,3060.9700000000885,2022
161,2022-09-01,available_cash,1871859.4900000023,1866851.0600000024,5008.429999999935,2022
162,2022-09-02,available_cash,1871859.4900000023,1866851.0600000024,5008.429999999935,2022
163,2022-09-05,available_cash,290504.2300000024,290019.15000000235,485.0800000000745,2022
164,2022-09-06,available_cash,1923890.0600000024,1918731.0700000024,5158.989999999991,2022
165,2022-09-07,available_cash,1345316.5400000024,1341758.030000002,3558.510000000475,2022
166,2022-09-08,available_cash,793369.4000000022,789278.3600000021,4091.0400000001537,2022
167,2022-09-09,available_cash,1329158.6400000022,1326026.5600000022,3132.0800000000745,2022
168,2022-09-13,available_cash,1913138.4800000023,1907981.040000002,5157.44000000041,2022
169,2022-09-14,available_cash,1169289.3900000025,1166056.530000002,3232.860000000568,2022
170,2022-09-15,available_cash,1885700.8500000024,1880614.390000002,5086.460000000428,2022
171,2022-09-16,available_cash,1885700.8500000024,1880614.390000002,5086.460000000428,2022
172,2022-09-19,available_cash,1885700.8500000024,1880614.390000002,5086.460000000428,2022
173,2022-09-20,available_cash,1885700.8500000024,1880614.390000002,5086.460000000428,2022
174,2022-09-21,available_cash,1885700.8500000024,1880614.390000002,5086.460000000428,2022
175,2022-09-22,available_cash,651467.6900000027,649632.210000002,1835.4800000007963,2022
176,2022-09-23,available_cash,1932741.870000003,1927526.7800000017,5215.090000001248,2022
177,2022-09-26,available_cash,966564.1000000028,963505.6600000015,3058.4400000012247,2022
178,2022-09-27,available_cash,1879296.0000000023,1874200.2200000016,5095.780000000726,2022
179,2022-09-28,available_cash,1879296.0000000023,1874200.2200000016,5095.780000000726,2022
180,2022-09-29,available_cash,1879296.0000000023,1874200.2200000016,5095.780000000726,2022
181,2022-09-30,available_cash,1879296.0000000023,1874200.2200000016,5095.780000000726,2022
182,2022-10-10,available_cash,1879296.0000000023,1874200.2200000016,5095.780000000726,2022
183,2022-10-11,available_cash,939722.2100000024,937167.1900000016,2555.0200000008335,2022
184,2022-10-12,available_cash,1360440.2900000024,1356859.2700000014,3581.02000000095,2022
185,2022-10-13,available_cash,583455.0000000023,581798.2800000015,1656.720000000787,2022
186,2022-10-14,available_cash,2010329.6500000025,2004834.9300000016,5494.720000000903,2022
187,2022-10-17,available_cash,2010329.6500000025,2004834.9300000016,5494.720000000903,2022
188,2022-10-18,available_cash,2010329.6500000025,2004834.9300000016,5494.720000000903,2022
189,2022-10-19,available_cash,1372698.4200000025,1368200.0000000014,4498.42000000109,2022
