year,trade_key,diff_type,date,code,l1b_amount,l2_amount,l1b_price,l2_price
2021,2021-04-26|2021-04-26 9:30|002120.XSHE|buy#1,amount_diff,2021-04-26,002120.XSHE,21000.0,24000.0,14.56,14.56
2021,2021-04-26|2021-04-26 9:30|002240.XSHE|buy#1,amount_diff,2021-04-26,002240.XSHE,24400.0,14500.0,25.95,25.95
2021,2021-04-27|2021-04-27 11:25|002120.XSHE|sell#1,amount_diff,2021-04-27,002120.XSHE,-21000.0,-45000.0,15.63,15.63
2021,2021-04-27|2021-04-27 13:01|002240.XSHE|sell#1,amount_diff,2021-04-27,002240.XSHE,-24400.0,-14500.0,25.07,25.07
2021,2021-04-29|2021-04-29 9:30|002145.XSHE|buy#1,amount_diff,2021-04-29,002145.XSHE,36000.0,37100.0,12.12,12.12
2021,2021-04-29|2021-04-29 9:30|002508.XSHE|buy#1,amount_diff,2021-04-29,002508.XSHE,14200.0,14600.0,37.62,37.62
2021,2021-04-30|2021-04-30 11:25|002508.XSHE|sell#1,amount_diff,2021-04-30,002508.XSHE,-14200.0,-14600.0,38.24,38.24
2021,2021-04-30|2021-04-30 14:50|002145.XSHE|sell#1,amount_diff,2021-04-30,002145.XSHE,-36000.0,-37100.0,11.85,11.85
2021,2021-05-06|2021-05-06 9:30|000813.XSHE|buy#1,amount_diff,2021-05-06,000813.XSHE,69300.0,71400.0,5.17,5.17
2021,2021-05-07|2021-05-07 9:30|000717.XSHE|buy#1,amount_diff,2021-05-07,000717.XSHE,53200.0,54800.0,5.59,5.59
2021,2021-05-07|2021-05-07 9:30|000825.XSHE|buy#1,amount_diff,2021-05-07,000825.XSHE,52100.0,53600.0,7.38,7.38
2021,2021-05-10|2021-05-10 11:25|000717.XSHE|sell#1,amount_diff,2021-05-10,000717.XSHE,-53200.0,-54800.0,5.65,5.65
2021,2021-05-10|2021-05-10 11:25|000825.XSHE|sell#1,amount_diff,2021-05-10,000825.XSHE,-52100.0,-53600.0,7.95,7.95
2021,2021-05-11|2021-05-11 9:30|000959.XSHE|buy#1,amount_diff,2021-05-11,000959.XSHE,49600.0,51000.0,6.13,6.13
2021,2021-05-11|2021-05-11 9:30|000975.XSHE|buy#1,amount_diff,2021-05-11,000975.XSHE,36900.0,38000.0,10.48,10.48
2021,2021-05-12|2021-05-12 11:25|000959.XSHE|sell#1,amount_diff,2021-05-12,000959.XSHE,-49600.0,-51000.0,6.36,6.36
2021,2021-05-12|2021-05-12 14:50|000813.XSHE|sell#1,amount_diff,2021-05-12,000813.XSHE,-69300.0,-71400.0,5.34,5.34
2021,2021-05-12|2021-05-12 14:50|000975.XSHE|sell#1,amount_diff,2021-05-12,000975.XSHE,-36900.0,-38000.0,10.53,10.53
2021,2021-05-13|2021-05-13 9:30|002030.XSHE|buy#1,amount_diff,2021-05-13,002030.XSHE,12900.0,13300.0,35.53,35.53
2021,2021-05-13|2021-05-13 9:30|600307.XSHG|buy#1,amount_diff,2021-05-13,600307.XSHG,190200.0,195800.0,2.94,2.94
2021,2021-05-14|2021-05-14 14:50|002030.XSHE|sell#1,amount_diff,2021-05-14,002030.XSHE,-12900.0,-13300.0,35.26,35.26
2021,2021-05-14|2021-05-14 every_bar|600307.XSHG|sell#1,amount_diff,2021-05-14,600307.XSHG,-190200.0,-195800.0,2.63,2.63
2021,2021-05-17|2021-05-17 9:30|000718.XSHE|buy#1,amount_diff,2021-05-17,000718.XSHE,105700.0,108900.0,7.29,7.29
2021,2021-05-17|2021-05-17 9:30|601878.XSHG|buy#1,amount_diff,2021-05-17,601878.XSHG,27600.0,28400.0,12.53,12.53
2021,2021-05-18|2021-05-18 11:28|000718.XSHE|sell#1,amount_diff,2021-05-18,000718.XSHE,-105700.0,-108900.0,7.47,7.47
2021,2021-05-18|2021-05-18 14:50|601878.XSHG|sell#1,amount_diff,2021-05-18,601878.XSHG,-27600.0,-28400.0,12.64,12.64
2021,2021-05-18|2021-05-18 9:30|000592.XSHE|buy#1,amount_diff,2021-05-18,000592.XSHE,3600.0,3800.0,3.25,3.25
2021,2021-05-19|2021-05-19 9:30|000751.XSHE|buy#1,amount_diff,2021-05-19,000751.XSHE,68900.0,71200.0,3.75,3.75
2021,2021-05-19|2021-05-19 9:30|002114.XSHE|buy#1,amount_diff,2021-05-19,002114.XSHE,37900.0,39000.0,6.92,6.92
2021,2021-05-19|2021-05-19 9:30|600085.XSHG|buy#1,amount_diff,2021-05-19,600085.XSHG,7300.0,7500.0,35.8,35.8
2021,2021-05-19|2021-05-19 9:30|600577.XSHG|buy#1,amount_diff,2021-05-19,600577.XSHG,76100.0,78300.0,4.58,4.58
2021,2021-05-20|2021-05-20 11:28|000592.XSHE|sell#1,amount_diff,2021-05-20,000592.XSHE,-3600.0,-3800.0,3.34,3.34
2021,2021-05-20|2021-05-20 11:30|000751.XSHE|sell#1,amount_diff,2021-05-20,000751.XSHE,-68900.0,-71200.0,3.54,3.54
2021,2021-05-20|2021-05-20 11:30|600085.XSHG|sell#1,amount_diff,2021-05-20,600085.XSHG,-7300.0,-7500.0,36.89,36.89
2021,2021-05-20|2021-05-20 14:48|002114.XSHE|sell#1,amount_diff,2021-05-20,002114.XSHE,-37900.0,-39000.0,6.74,6.74
2021,2021-05-20|2021-05-20 14:50|600577.XSHG|sell#1,amount_diff,2021-05-20,600577.XSHG,-76100.0,-78300.0,4.69,4.69
2021,2021-05-21|2021-05-21 9:30|000762.XSHE|buy#1,amount_diff,2021-05-21,000762.XSHE,17700.0,18200.0,21.73,21.73
2021,2021-05-21|2021-05-21 9:30|002108.XSHE|buy#1,amount_diff,2021-05-21,002108.XSHE,76400.0,78800.0,4.91,4.91
2021,2021-05-21|2021-05-21 9:30|002455.XSHE|buy#1,amount_diff,2021-05-21,002455.XSHE,52300.0,53900.0,7.22,7.22
2021,2021-05-24|2021-05-24 11:30|000762.XSHE|sell#1,amount_diff,2021-05-24,000762.XSHE,-17700.0,-18200.0,22.99,22.99
2021,2021-05-24|2021-05-24 11:30|002108.XSHE|sell#1,amount_diff,2021-05-24,002108.XSHE,-76400.0,-78800.0,4.99,4.99
2021,2021-05-24|2021-05-24 11:30|002455.XSHE|sell#1,amount_diff,2021-05-24,002455.XSHE,-52300.0,-53900.0,7.95,7.95
2021,2021-05-26|2021-05-26 9:30|002688.XSHE|buy#1,amount_diff,2021-05-26,002688.XSHE,59900.0,61600.0,6.6,6.6
2021,2021-05-26|2021-05-26 9:30|002712.XSHE|buy#1,amount_diff,2021-05-26,002712.XSHE,70300.0,72400.0,5.62,5.62
2021,2021-05-26|2021-05-26 9:30|600328.XSHG|buy#1,amount_diff,2021-05-26,600328.XSHG,37700.0,38900.0,10.67,10.67
2021,2021-05-27|2021-05-27 11:30|002688.XSHE|sell#1,amount_diff,2021-05-27,002688.XSHE,-59900.0,-61600.0,6.97,6.97
2021,2021-05-27|2021-05-27 11:30|600328.XSHG|sell#1,amount_diff,2021-05-27,600328.XSHG,-37700.0,-38900.0,10.82,10.82
2021,2021-05-28|2021-05-28 11:30|002712.XSHE|sell#1,amount_diff,2021-05-28,002712.XSHE,-70300.0,-72400.0,5.42,5.42
2021,2021-05-28|2021-05-28 9:30|000859.XSHE|buy#1,amount_diff,2021-05-28,000859.XSHE,73400.0,75600.0,5.64,5.64
2021,2021-05-28|2021-05-28 9:30|002636.XSHE|buy#1,amount_diff,2021-05-28,002636.XSHE,30200.0,31100.0,13.86,13.86
2021,2021-05-31|2021-05-31 11:30|000859.XSHE|sell#1,amount_diff,2021-05-31,000859.XSHE,-73400.0,-75600.0,5.72,5.72
2021,2021-05-31|2021-05-31 11:30|002636.XSHE|sell#1,amount_diff,2021-05-31,002636.XSHE,-30200.0,-31100.0,14.05,14.05
2021,2021-05-31|2021-05-31 9:30|600559.XSHG|buy#1,amount_diff,2021-05-31,600559.XSHG,13700.0,14100.0,28.0,28.0
2021,2021-06-01|2021-06-01 11:30|600559.XSHG|sell#1,amount_diff,2021-06-01,600559.XSHG,-13700.0,-14100.0,29.28,29.28
2021,2021-06-01|2021-06-01 9:30|002459.XSHE|buy#1,amount_diff,2021-06-01,002459.XSHE,12300.0,12700.0,34.22,34.22
2021,2021-06-01|2021-06-01 9:30|002617.XSHE|buy#1,amount_diff,2021-06-01,002617.XSHE,42000.0,43300.0,10.06,10.06
