date,code,amount,avg_cost,price
2025-01-03,603118.XSHG,30600.0,10.07,9.57
2025-01-07,002317.XSHE,22800.0,13.11,12.72
2025-01-08,002317.XSHE,22800.0,13.11,12.57
2025-01-15,002670.XSHE,22300.0,13.67,13.16
2025-01-16,002670.XSHE,22300.0,13.67,13.43
2025-01-16,001236.XSHE,34300.0,9.81,10.43
2025-01-17,002799.XSHE,39600.0,8.47,8.2
2025-01-20,600657.XSHG,142100.0,4.62,4.73
2025-02-06,600633.XSHG,27600.0,11.69,12.35
2025-02-07,600633.XSHG,27600.0,11.69,13.59
2025-02-10,600633.XSHG,27600.0,11.69,14.95
2025-02-10,002044.XSHE,54000.0,5.1,5.43
2025-02-10,600481.XSHG,53400.0,6.25,6.1
2025-02-11,600633.XSHG,27600.0,11.69,16.45
2025-02-12,600633.XSHG,27600.0,11.69,18.1
2025-02-12,000156.XSHE,30900.0,8.61,9.32
2025-02-17,000503.XSHE,28300.0,13.01,12.78
2025-02-18,000818.XSHE,8400.0,36.2,35.5
2025-02-18,002681.XSHE,45600.0,9.0,8.69
2025-02-19,000065.XSHE,31100.0,11.37,11.98
2025-02-20,000516.XSHE,51300.0,6.21,6.64
2025-02-20,000818.XSHE,9900.0,40.01,42.96
2025-02-21,600835.XSHG,17400.0,21.38,23.28
2025-02-24,000581.XSHE,15700.0,20.65,21.35
2025-02-24,000887.XSHE,19600.0,20.52,20.92
2025-02-25,002051.XSHE,38700.0,9.66,9.0
2025-02-26,603991.XSHG,5000.0,63.23,67.89
2025-02-27,603712.XSHG,18800.0,19.43,19.03
2025-02-27,000932.XSHE,79600.0,4.99,4.96
2025-02-28,002042.XSHE,58800.0,6.1,5.81
2025-03-03,002167.XSHE,63800.0,10.2,10.54
2025-03-04,601611.XSHG,40600.0,8.9,8.76
2025-03-04,000710.XSHE,8700.0,14.2,15.59
2025-03-05,002265.XSHE,19400.0,25.71,25.06
2025-03-07,600133.XSHG,33300.0,10.62,10.54
2025-03-07,603118.XSHG,60100.0,13.34,13.03
2025-03-10,600133.XSHG,33300.0,10.62,10.5
2025-03-11,600288.XSHG,25300.0,10.01,10.19
2025-03-11,000818.XSHE,8200.0,31.4,31.5
2025-03-11,002795.XSHE,46300.0,5.66,5.8
2025-03-13,600399.XSHG,55300.0,6.3,6.52
2025-03-13,000409.XSHE,17500.0,15.42,15.5
2025-03-13,000815.XSHE,19100.0,14.51,13.13
2025-03-13,600610.XSHG,53500.0,4.96,5.33
2025-03-14,000815.XSHE,19100.0,14.51,14.44
2025-03-17,000815.XSHE,19100.0,14.51,15.88
2025-03-17,002361.XSHE,131500.0,6.89,6.84
2025-03-18,002361.XSHE,131500.0,6.89,6.76
2025-03-18,001339.XSHE,100.0,64.16,62.73
2025-03-18,002115.XSHE,700.0,9.02,9.0
2025-03-19,002361.XSHE,131500.0,6.89,6.98
2025-03-19,002115.XSHE,700.0,9.02,8.9
2025-03-19,603259.XSHG,1500.0,69.69,70.0
2025-03-19,000815.XSHE,6500.0,17.05,15.75
2025-03-19,603912.XSHG,10100.0,10.74,10.49
2025-03-20,000815.XSHE,6500.0,17.05,15.48
2025-03-21,002544.XSHE,31900.0,24.43,24.14
2025-03-21,601799.XSHG,2800.0,136.53,134.01
2025-03-24,600960.XSHG,24800.0,4.24,3.94
2025-03-25,603688.XSHG,12000.0,32.37,34.61
2025-03-25,002165.XSHE,143400.0,5.35,6.04
2025-03-26,002655.XSHE,2300.0,15.43,15.5
2025-03-26,000422.XSHE,2300.0,15.81,15.36
2025-03-26,000733.XSHE,600.0,55.38,57.64
2025-03-27,000422.XSHE,2300.0,15.81,15.44
2025-03-27,002249.XSHE,57400.0,7.6,7.43
2025-03-28,002249.XSHE,57400.0,7.6,7.56
2025-03-28,002535.XSHE,102100.0,4.6,4.82
2025-03-28,002923.XSHE,34700.0,13.52,15.29
2025-03-31,000967.XSHE,9300.0,6.34,6.1
2025-04-01,000025.XSHE,23600.0,18.04,17.9
2025-04-01,002062.XSHE,83400.0,5.63,5.71
2025-04-01,600533.XSHG,210900.0,2.19,2.21
2025-04-02,002655.XSHE,3900.0,16.09,14.87
2025-04-03,603169.XSHG,158100.0,8.37,9.56
2025-04-14,000062.XSHE,20400.0,24.02,25.51
2025-04-14,002427.XSHE,97900.0,5.71,5.65
