date,market_mode,raw_market_mode,active,FB,fb_pct,bull_sticky,bull_cooldown,bull_release_pending,bull_release_guard,stoploss_cooldown,rzq_cooldown,v227_shock_cooldown,enable_v227,enable_rzq,enable_zb,enable_auction,slot_v227,slot_rzq,slot_zb,slot_auction,cand_yjj,cand_bear,cand_rzq,cand_zb,cand_auction,auction_daily_value,recent_wr,core_wr,recent_trade_count,core_trade_count,available_cash,locked_cash,positions_count,positions,owners
2025-01-02,bear,bear,v227,0.0,0.5,0,0,False,False,0,0,0,True,False,False,True,2,0,0,1,0,4,1,0,10,0.3,0.5,0.5,0,0,1000000.0,0.0,0,,
2025-01-03,cautious,cautious,v227,0.01625841075792263,0.5,0,0,False,False,0,0,0,True,False,False,True,2,0,0,1,15,0,5,0,32,0.3,0.5,0.5,0,0,1000000.0,0.0,0,,
2025-01-06,bear,cautious,v227,-0.01041109184632974,0.5,0,0,False,False,0,0,0,True,False,False,True,2,0,0,1,0,7,4,0,14,0.3,0.5,0.5,0,0,691765.56,0.0,1,603118.XSHG,603118.XSHG:auction
2025-01-07,bear,cautious,v227,0.028386793997361968,0.5,0,0,False,False,0,0,0,True,False,False,True,2,0,0,1,0,18,6,0,16,0.3,0.5,0.5,1,0,996756.55,0.0,0,,
2025-01-08,bear,cautious,v227,0.031169227511194435,0.5,0,0,False,False,0,0,0,True,False,False,True,2,0,0,1,0,18,1,0,5,0.3,0.5,0.5,1,0,697758.88,0.0,1,002317.XSHE,002317.XSHE:auction
2025-01-09,bear,cautious,v227,0.030703000366005276,0.5,0,0,False,False,0,0,0,True,False,False,True,2,0,0,1,0,14,3,0,14,0.3,0.5,0.5,1,0,697758.88,0.0,1,002317.XSHE,002317.XSHE:auction
2025-01-10,bear,cautious,v227,0.0332845023110112,0.5,0,0,False,False,0,0,0,True,False,False,True,2,0,0,1,0,14,3,0,9,0.3,0.5,0.5,2,0,977606.61,0.0,0,,
2025-01-13,bear,cautious,v227,-0.008280023647998947,0.5,0,0,False,False,0,0,0,True,False,False,True,2,0,0,1,0,7,6,0,14,0.3,0.5,0.5,2,0,977606.61,0.0,0,,
2025-01-14,bear,bear,v227,0.007804903147118233,0.5,0,0,False,False,0,0,0,True,False,False,True,2,0,0,1,0,20,0,0,9,0.3,0.5,0.5,2,0,977606.61,0.0,0,,
2025-01-15,bear,bear,v227,0.045843629215675766,0.9,0,0,False,False,0,0,0,True,False,False,True,2,0,0,1,0,45,0,0,34,0.3,0.5,0.5,2,0,977606.61,0.0,0,,
2025-01-16,bear,bear,v227,0.024905165626659766,0.45454545454545453,0,0,False,False,0,0,0,True,False,False,True,2,0,0,1,0,12,0,0,10,0.3,0.5,0.5,2,0,672674.16,0.0,1,002670.XSHE,002670.XSHE:auction
2025-01-17,bear,bear,v227,0.012292812785882505,0.3333333333333333,0,0,False,False,0,0,0,True,False,False,True,2,0,0,1,0,15,0,0,24,0.3,0.5,0.5,2,0,336090.22000000003,0.0,2,"001236.XSHE,002670.XSHE","001236.XSHE:v227,002670.XSHE:auction"
2025-01-20,bear,bear,v227,-0.009048733284910385,0.07692307692307693,0,0,False,False,0,0,0,True,False,False,True,2,0,0,1,0,8,0,0,13,0.3,0.5,0.5,4,1,657151.9400000001,0.0,1,002799.XSHE,002799.XSHE:v227
2025-01-21,bear,bear,v227,0.022121744265118,0.5,0,0,False,False,0,0,0,True,False,False,True,2,0,0,1,0,11,0,0,26,0.3,0.5,0.5,5,2,342547.6900000001,0.0,1,600657.XSHG,600657.XSHG:v227
2025-01-22,bear,bear,v227,0.011422300272166735,0.3333333333333333,0,0,False,False,0,0,0,True,False,False,True,2,0,0,1,0,3,0,0,12,0.3,0.5,0.5,6,3,1035094.2100000002,0.0,0,,
2025-01-23,bear,bear,v227,-0.003797170069216645,0.1875,0,0,False,False,0,0,0,True,False,False,True,2,0,0,1,0,9,0,0,11,0.3,0.5,0.5,6,3,1035094.2100000002,0.0,0,,
2025-01-24,bear,bear,v227,0.006550219498667362,0.29411764705882354,0,0,False,False,0,0,0,True,False,False,True,2,0,0,1,0,8,0,0,13,0.3,0.5,0.5,6,3,1035094.2100000002,0.0,0,,
2025-01-27,bear,bear,v227,0.013388262233298524,0.5,0,0,False,False,0,0,0,True,False,False,True,2,0,0,1,0,14,0,0,11,0.3,0.5,0.5,6,3,1035094.2100000002,0.0,0,,
