date,available_cash,frozen_cash,positions_value,total_value,positions
2025-01-02,1000000.0,0.0,0.0,1000000.0,{}
2025-01-03,691765.56,0.0,292842.0,984607.56,"{'603118.XSHG': {'total_amount': 30600, 'avg_cost': 10.07, 'price': np.float64(9.57)}}"
2025-01-06,996756.55,0.0,0.0,996756.55,{}
2025-01-07,697758.88,0.0,290016.0,987774.88,"{'002317.XSHE': {'total_amount': 22800, 'avg_cost': 13.11, 'price': np.float64(12.72)}}"
2025-01-08,697758.88,0.0,286596.0,984354.88,"{'002317.XSHE': {'total_amount': 22800, 'avg_cost': 13.11, 'price': np.float64(12.57)}}"
2025-01-09,977606.61,0.0,0.0,977606.61,{}
2025-01-10,977606.61,0.0,0.0,977606.61,{}
2025-01-13,977606.61,0.0,0.0,977606.61,{}
2025-01-14,977606.61,0.0,0.0,977606.61,{}
2025-01-15,672674.16,0.0,293468.0,966142.16,"{'002670.XSHE': {'total_amount': 22300, 'avg_cost': 13.67, 'price': np.float64(13.16)}}"
2025-01-16,336090.22000000003,0.0,657238.0,993328.22,"{'002670.XSHE': {'total_amount': 22300, 'avg_cost': 13.67, 'price': np.float64(13.43)}, '001236.XSHE': {'total_amount': 34300, 'avg_cost': 9.81, 'price': np.float64(10.43)}}"
2025-01-17,657151.9400000001,0.0,324720.0,981871.9400000001,"{'002799.XSHE': {'total_amount': 39600, 'avg_cost': 8.47, 'price': np.float64(8.2)}}"
2025-01-20,342547.6900000001,0.0,672133.0000000001,1014680.6900000002,"{'600657.XSHG': {'total_amount': 142100, 'avg_cost': 4.62, 'price': np.float64(4.73)}}"
2025-01-21,1035094.2100000002,0.0,0.0,1035094.2100000002,{}
2025-01-22,1035094.2100000002,0.0,0.0,1035094.2100000002,{}
2025-01-23,1035094.2100000002,0.0,0.0,1035094.2100000002,{}
2025-01-24,1035094.2100000002,0.0,0.0,1035094.2100000002,{}
2025-01-27,1035094.2100000002,0.0,0.0,1035094.2100000002,{}
2025-02-05,1035094.2100000002,0.0,0.0,1035094.2100000002,{}
2025-02-06,712353.4200000002,0.0,340860.0,1053213.4200000002,"{'600633.XSHG': {'total_amount': 27600, 'avg_cost': 11.69, 'price': np.float64(12.35)}}"
2025-02-07,712353.4200000002,0.0,375084.0,1087437.4200000002,"{'600633.XSHG': {'total_amount': 27600, 'avg_cost': 11.69, 'price': np.float64(13.59)}}"
2025-02-10,103020.68000000017,0.0,1031580.0,1134600.6800000002,"{'600633.XSHG': {'total_amount': 27600, 'avg_cost': 11.69, 'price': np.float64(14.95)}, '002044.XSHE': {'total_amount': 54000, 'avg_cost': 5.1, 'price': np.float64(5.43)}, '600481.XSHG': {'total_amount': 53400, 'avg_cost': 6.25, 'price': np.float64(6.1)}}"
2025-02-11,698633.3700000001,0.0,454020.0,1152653.37,"{'600633.XSHG': {'total_amount': 27600, 'avg_cost': 11.69, 'price': np.float64(16.45)}}"
2025-02-12,432504.5600000001,0.0,787548.0,1220052.56,"{'600633.XSHG': {'total_amount': 27600, 'avg_cost': 11.69, 'price': np.float64(18.1)}, '000156.XSHE': {'total_amount': 30900, 'avg_cost': 8.61, 'price': np.float64(9.32)}}"
2025-02-13,1185082.9300000002,0.0,0.0,1185082.9300000002,{}
2025-02-14,1185082.9300000002,0.0,0.0,1185082.9300000002,{}
2025-02-17,816789.4800000001,0.0,361674.0,1178463.48,"{'000503.XSHE': {'total_amount': 28300, 'avg_cost': 13.01, 'price': np.float64(12.78)}}"
2025-02-18,437296.8100000001,0.0,694464.0,1131760.81,"{'000818.XSHE': {'total_amount': 8400, 'avg_cost': 36.2, 'price': np.float64(35.5)}, '002681.XSHE': {'total_amount': 45600, 'avg_cost': 9.0, 'price': np.float64(8.69)}}"
2025-02-19,826688.43,0.0,372578.0,1199266.4300000002,"{'000065.XSHE': {'total_amount': 31100, 'avg_cost': 11.37, 'price': np.float64(11.98)}}"
2025-02-20,465570.53,-5.820766091346741e-11,765936.0,1231506.53,"{'000516.XSHE': {'total_amount': 51300, 'avg_cost': 6.21, 'price': np.float64(6.64)}, '000818.XSHE': {'total_amount': 9900, 'avg_cost': 40.01, 'price': np.float64(42.96)}}"
2025-02-21,825876.53,-5.820766091346741e-11,405072.0,1230948.53,"{'600835.XSHG': {'total_amount': 17400, 'avg_cost': 21.38, 'price': np.float64(23.28)}}"
2025-02-24,473917.93000000005,0.0,745227.0,1219144.9300000002,"{'000581.XSHE': {'total_amount': 15700, 'avg_cost': 20.65, 'price': np.float64(21.35)}, '000887.XSHE': {'total_amount': 19600, 'avg_cost': 20.52, 'price': np.float64(20.92)}}"
2025-02-25,854673.3700000001,0.0,348300.0,1202973.37,"{'002051.XSHE': {'total_amount': 38700, 'avg_cost': 9.66, 'price': np.float64(9.0)}}"
2025-02-26,883183.77,0.0,339450.0,1222633.77,"{'603991.XSHG': {'total_amount': 5000, 'avg_cost': 63.23, 'price': np.float64(67.89)}}"
2025-02-27,459375.87000000005,-5.820766091346741e-11,752580.0,1211955.87,"{'603712.XSHG': {'total_amount': 18800, 'avg_cost': 19.43, 'price': np.float64(19.03)}, '000932.XSHE': {'total_amount': 79600, 'avg_cost': 4.99, 'price': np.float64(4.96)}}"
2025-02-28,833150.7000000002,-5.820766091346741e-11,341628.0,1174778.7000000002,"{'002042.XSHE': {'total_amount': 58800, 'avg_cost': 6.1, 'price': np.float64(5.81)}}"
2025-03-03,522204.8800000002,-1.1641532182693481e-10,672452.0,1194656.8800000001,"{'002167.XSHE': {'total_amount': 63800, 'avg_cost': 10.2, 'price': np.float64(10.54)}}"
2025-03-04,663518.1200000001,-1.3096723705530167e-10,491289.0,1154807.12,"{'601611.XSHG': {'total_amount': 40600, 'avg_cost': 8.9, 'price': np.float64(8.76)}, '000710.XSHE': {'total_amount': 8700, 'avg_cost': 14.2, 'price': np.float64(15.59)}}"
2025-03-05,664020.3900000001,-1.1641532182693481e-10,486164.0,1150184.3900000001,"{'002265.XSHE': {'total_amount': 19400, 'avg_cost': 25.71, 'price': np.float64(25.06)}}"
2025-03-06,1152071.09,-1.1641532182693481e-10,0.0,1152071.09,{}
2025-03-07,-3655.5199999999604,-2.3283064365386963e-10,1134085.0,1130429.48,"{'600133.XSHG': {'total_amount': 33300, 'avg_cost': 10.62, 'price': np.float64(10.54)}, '603118.XSHG': {'total_amount': 60100, 'avg_cost': 13.34, 'price': np.float64(13.03)}}"
2025-03-10,771226.8200000001,-2.3283064365386963e-10,349650.0,1120876.82,"{'600133.XSHG': {'total_amount': 33300, 'avg_cost': 10.62, 'price': np.float64(10.5)}}"
2025-03-11,352387.95000000007,-1.7462298274040222e-10,784647.0,1137034.9500000002,"{'600288.XSHG': {'total_amount': 25300, 'avg_cost': 10.01, 'price': np.float64(10.19)}, '000818.XSHE': {'total_amount': 8200, 'avg_cost': 31.4, 'price': np.float64(31.5)}, '002795.XSHE': {'total_amount': 46300, 'avg_cost': 5.66, 'price': np.float64(5.8)}}"
2025-03-12,1158969.0300000003,-1.7462298274040222e-10,0.0,1158969.0300000003,{}
