time,code,amount,price,commission,tax,trade_id,order_id
2025-01-03 9:30,603118.XSHG,30600,10.07,92.44,0.0,t_1,1
2025-01-06 11:25,603118.XSHG,-30600,9.98,91.62,305.39,t_2,2
2025-01-07 9:30,002317.XSHE,22800,13.11,89.67,0.0,t_3,3
2025-01-09 11:25,002317.XSHE,-22800,12.29,84.06,280.21,t_4,4
2025-01-15 9:30,002670.XSHE,22300,13.67,91.45,0.0,t_5,5
2025-01-16 9:30,001236.XSHE,34300,9.81,100.94,0.0,t_6,6
2025-01-17 9:30,002799.XSHE,39600,8.47,100.62,0.0,t_7,7
2025-01-17 11:25,001236.XSHE,-34300,10.13,104.24,347.46,t_8,8
2025-01-17 11:25,002670.XSHE,-22300,13.9,92.99,309.97,t_9,9
2025-01-20 9:30,600657.XSHG,142100,4.62,196.95,0.0,t_10,10
2025-01-20 11:25,002799.XSHE,-39600,8.65,102.76,342.54,t_11,11
2025-01-21 11:25,600657.XSHG,-142100,4.88,208.03,693.45,t_12,12
2025-02-06 9:30,600633.XSHG,27600,11.69,96.79,0.0,t_13,13
2025-02-10 9:30,002044.XSHE,54000,5.1,82.62,0.0,t_14,14
2025-02-10 9:30,600481.XSHG,53400,6.25,100.12,0.0,t_15,15
2025-02-11 11:25,002044.XSHE,-54000,5.19,84.08,280.26,t_16,16
2025-02-11 13:01,600481.XSHG,-53400,5.92,94.84,316.13,t_17,17
2025-02-12 9:30,000156.XSHE,30900,8.61,79.81,0.0,t_18,18
2025-02-13 11:25,000156.XSHE,-30900,9.14,84.73,282.43,t_19,19
2025-02-13 14:50,600633.XSHG,-27600,17.07,141.34,471.13,t_20,20
2025-02-17 9:30,000503.XSHE,28300,13.01,110.45,0.0,t_21,21
2025-02-18 9:30,000818.XSHE,8400,36.2,91.22,0.0,t_22,22
2025-02-18 9:30,002681.XSHE,45600,9.0,123.12,0.0,t_23,23
2025-02-18 14:50,000503.XSHE,-28300,11.86,100.69,335.64,t_24,24
2025-02-19 9:30,000065.XSHE,31100,11.37,106.08,0.0,t_25,25
2025-02-19 11:25,000818.XSHE,-8400,38.8,97.78,325.92,t_26,26
2025-02-19 14:50,002681.XSHE,-45600,9.17,125.45,418.15,t_27,27
2025-02-20 9:30,000516.XSHE,51300,6.21,95.57,0.0,t_28,28
2025-02-20 9:30,000818.XSHE,9900,40.01,118.83,0.0,t_29,29
2025-02-20 14:50,000065.XSHE,-31100,11.39,106.27,354.23,t_30,30
2025-02-21 9:30,600835.XSHG,17400,21.38,111.6,0.0,t_31,31
2025-02-21 11:25,000516.XSHE,-51300,6.43,98.96,329.86,t_32,32
2025-02-21 11:25,000818.XSHE,-9900,40.76,121.06,403.52,t_33,33
2025-02-24 9:30,000581.XSHE,15700,20.65,97.26,0.0,t_34,34
2025-02-24 9:30,000887.XSHE,19600,20.52,120.66,0.0,t_35,35
2025-02-24 11:25,600835.XSHG,-17400,21.56,112.54,375.14,t_36,36
2025-02-25 9:30,002051.XSHE,38700,9.66,112.15,0.0,t_37,37
2025-02-25 11:25,000581.XSHE,-15700,21.28,100.23,334.1,t_38,38
2025-02-25 11:25,000887.XSHE,-19600,21.51,126.48,421.6,t_39,39
2025-02-26 9:30,603991.XSHG,5000,63.23,94.84,0.0,t_40,40
2025-02-26 11:25,002051.XSHE,-38700,8.92,103.56,345.2,t_41,41
2025-02-27 9:30,603712.XSHG,18800,19.43,109.59,0.0,t_42,42
2025-02-27 9:30,000932.XSHE,79600,4.99,119.16,0.0,t_43,43
2025-02-27 11:25,603991.XSHG,-5000,67.87,101.8,339.35,t_44,44
2025-02-28 9:30,002042.XSHE,58800,6.1,107.6,0.0,t_45,45
2025-02-28 14:50,000932.XSHE,-79600,4.9,117.01,390.04,t_46,46
2025-02-28 14:50,603712.XSHG,-18800,18.27,103.04,343.48,t_47,47
2025-03-03 9:30,002167.XSHE,63800,10.2,195.23,0.0,t_48,48
2025-03-03 every_bar,002042.XSHE,-58800,5.79,102.14,340.45,t_49,49
2025-03-04 9:30,601611.XSHG,40600,8.9,108.4,0.0,t_50,50
2025-03-04 9:30,000710.XSHE,8700,14.2,37.06,0.0,t_51,51
2025-03-04 13:01,002167.XSHE,-63800,9.83,188.15,627.15,t_52,52
2025-03-05 9:30,002265.XSHE,19400,25.71,149.63,0.0,t_53,53
2025-03-05 11:25,000710.XSHE,-8700,15.2,39.67,132.24,t_54,54
2025-03-05 11:25,601611.XSHG,-40600,9.06,110.35,367.84,t_55,55
