date,value
2025-01-02,1000000.0
2025-01-03,984607.56
2025-01-06,996756.55
2025-01-07,987774.88
2025-01-08,984354.88
2025-01-09,977606.61
2025-01-10,977606.61
2025-01-13,977606.61
2025-01-14,977606.61
2025-01-15,966142.16
2025-01-16,993328.22
2025-01-17,981871.9400000001
2025-01-20,1014680.6900000002
2025-01-21,1035094.2100000002
2025-01-22,1035094.2100000002
2025-01-23,1035094.2100000002
2025-01-24,1035094.2100000002
2025-01-27,1035094.2100000002
2025-02-05,1035094.2100000002
2025-02-06,1053213.4200000002
2025-02-07,1087437.4200000002
2025-02-10,1134600.6800000002
2025-02-11,1152653.37
2025-02-12,1220052.56
2025-02-13,1185082.9300000002
2025-02-14,1185082.9300000002
2025-02-17,1178463.48
2025-02-18,1131760.81
2025-02-19,1199266.4300000002
2025-02-20,1231506.53
2025-02-21,1230948.53
2025-02-24,1219144.9300000002
2025-02-25,1202973.37
2025-02-26,1222633.77
2025-02-27,1211955.87
2025-02-28,1174778.7000000002
2025-03-03,1194656.8800000001
2025-03-04,1154807.12
2025-03-05,1150184.3900000001
2025-03-06,1152071.09
2025-03-07,1130429.48
2025-03-10,1120876.82
2025-03-11,1137034.9500000002
2025-03-12,1158969.0300000003
2025-03-13,1165623.8100000003
2025-03-14,1195329.1
2025-03-17,1215986.29
2025-03-18,1224170.9100000001
2025-03-19,1242326.5700000003
2025-03-20,1267186.2600000002
2025-03-21,1250529.8000000003
2025-03-24,1262938.5400000003
2025-03-25,1389776.8900000001
2025-03-26,1437487.7700000003
2025-03-27,1428094.08
2025-03-28,1516306.9200000002
2025-03-31,1423520.0000000002
2025-04-01,1429603.4400000002
2025-04-02,1432054.7400000005
2025-04-03,1615008.5000000007
2025-04-07,1579885.7900000007
2025-04-08,1579885.7900000007
2025-04-09,1579885.7900000007
2025-04-10,1579885.7900000007
2025-04-11,1579885.7900000007
2025-04-14,1597654.120000001
2025-04-15,1581696.960000001
2025-04-16,1554310.200000001
2025-04-17,1554310.200000001
2025-04-18,1662878.0600000008
2025-04-21,1673015.6300000008
2025-04-22,1666107.7900000007
2025-04-23,1669905.7900000007
2025-04-24,1655557.7900000007
2025-04-25,1669905.7900000007
2025-04-28,1662491.0800000008
2025-04-29,1631556.3500000008
2025-04-30,1644001.3500000008
2025-05-06,1630947.5300000007
2025-05-07,1624916.710000001
2025-05-08,1633079.3300000008
2025-05-09,1633079.3300000008
2025-05-12,1635658.0000000007
2025-05-13,1631038.0000000007
2025-05-14,1628938.0000000007
2025-05-15,1614864.9100000006
2025-05-16,1604493.0900000005
2025-05-19,1593489.0900000005
2025-05-20,1603183.0900000005
2025-05-21,1592441.0900000005
2025-05-22,1583953.7100000007
2025-05-23,1583953.7100000007
2025-05-26,1583953.7100000007
2025-05-27,1583953.7100000007
2025-05-28,1583953.7100000007
2025-05-29,1583953.7100000007
2025-05-30,1558358.5400000007
2025-06-03,1558358.5400000007
2025-06-04,1560479.5400000007
2025-06-05,1557771.2400000007
2025-06-06,1486281.1500000008
2025-06-09,1497888.3800000008
2025-06-10,1497888.3800000008
2025-06-11,1497888.3800000008
2025-06-12,1488710.750000001
2025-06-13,1461659.760000001
2025-06-16,1477743.370000001
2025-06-17,1495463.250000001
2025-06-18,1537980.040000001
2025-06-19,1479535.200000001
2025-06-20,1418656.0700000008
2025-06-23,1423878.8400000008
2025-06-24,1422475.1200000008
2025-06-25,1392829.490000001
2025-06-26,1369815.840000001
2025-06-27,1358971.7000000011
2025-06-30,1367948.1900000009
2025-07-01,1347200.040000001
2025-07-02,1372900.4700000011
2025-07-03,1344557.0200000012
2025-07-04,1318645.910000001
2025-07-07,1353152.690000001
2025-07-08,1345087.4500000011
2025-07-09,1369032.670000001
2025-07-10,1387539.600000001
2025-07-11,1415989.2600000012
2025-07-14,1367398.830000001
2025-07-15,1372769.3500000013
2025-07-16,1401102.6900000013
2025-07-17,1452513.6400000013
2025-07-18,1483759.1500000013
