date,market_mode,raw_market_mode,active,FB,fb_pct,bull_sticky,bull_cooldown,bull_release_pending,bull_release_guard,stoploss_cooldown,rzq_cooldown,v227_shock_cooldown,enable_v227,enable_rzq,enable_zb,enable_auction,slot_v227,slot_rzq,slot_zb,slot_auction,cand_yjj,cand_bear,cand_rzq,cand_zb,cand_auction,auction_daily_value,recent_wr,core_wr,recent_trade_count,core_trade_count,available_cash,locked_cash,positions_count,positions,owners
2025-01-02,bear,bear,v227_scorp,0.0,0.5,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,4,1,0,0,0.0,0.5,0.5,0,0,1000000.0,0,0,,
2025-01-03,cautious,cautious,v227_scorp,0.01625841075792263,0.5,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,9,5,0,0,0.0,0.5,0.5,0,0,1000000.0,0,0,,
2025-01-06,bear,cautious,v227_scorp,-0.01041109184632974,0.5,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,7,4,0,0,0.0,0.5,0.5,0,0,1000000.0,0,0,,
2025-01-07,bear,cautious,v227_scorp,0.028386793997361968,0.5,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,18,6,0,0,0.0,0.5,0.5,0,0,1000000.0,0,0,,
2025-01-08,bear,cautious,v227_scorp,0.031169227511194435,0.5,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,18,1,0,0,0.0,0.5,0.5,0,0,1000000.0,0,0,,
2025-01-09,bear,cautious,v227_scorp,0.030703000366005276,0.5,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,14,3,0,0,0.0,0.5,0.5,0,0,1000000.0,0,0,,
2025-01-10,bear,cautious,v227_scorp,0.0332845023110112,0.5,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,14,3,0,0,0.0,0.5,0.5,0,0,1000000.0,0,0,,
2025-01-13,bear,cautious,v227_scorp,-0.008280023647998947,0.5,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,7,6,0,0,0.0,0.5,0.5,0,0,1000000.0,0,0,,
2025-01-14,bear,bear,v227_scorp,0.007804903147118233,0.5,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,20,2,0,0,0.0,0.5,0.5,0,0,1000000.0,0,0,,
2025-01-15,bear,bear,v227_scorp,0.045843629215675766,0.9,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,45,0,0,0,0.0,0.5,0.5,0,0,1000000.0,0,0,,
2025-01-16,bear,bear,v227_scorp,0.024905165626659766,0.45454545454545453,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,12,3,0,0,0.0,0.5,0.5,0,0,1000000.0,0,0,,
2025-01-17,bear,bear,v227_scorp,0.012292812785882505,0.3333333333333333,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,15,2,0,0,0.0,0.5,0.5,0,0,499539.91,0,1,001236.XSHE,001236.XSHE:v227
2025-01-20,bear,bear,v227_scorp,-0.009048733284910385,0.07692307692307693,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,8,2,0,0,0.0,0.5,0.5,1,1,516465.63,0,1,002799.XSHE,002799.XSHE:v227
2025-01-21,bear,bear,v227_scorp,0.022121744265118,0.5,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,11,0,0,0,0.0,0.5,0.5,2,2,509079.47000000003,0,1,600657.XSHG,600657.XSHG:v227
2025-01-22,bear,bear,v227_scorp,0.011422300272166735,0.3333333333333333,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,3,5,0,0,0.0,0.5,0.5,3,3,1053466.84,0,0,,
2025-01-23,bear,bear,v227_scorp,-0.003797170069216645,0.1875,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,9,2,0,0,0.0,0.5,0.5,3,3,1053466.84,0,0,,
2025-01-24,bear,bear,v227_scorp,0.006550219498667362,0.29411764705882354,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,8,5,0,0,0.0,0.5,0.5,3,3,1053466.84,0,0,,
2025-01-27,bear,bear,v227_scorp,0.013388262233298524,0.5,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,14,1,0,0,0.0,0.5,0.5,3,3,1053466.84,0,0,,
2025-02-05,bear,bear,v227_scorp,-0.0054557131867434775,0.15789473684210525,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,13,4,0,0,0.0,0.5,0.5,3,3,1053466.84,0,0,,
2025-02-06,bear,bear,v227_scorp,0.028344256915267405,0.7,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,17,3,0,0,0.0,0.5,0.5,3,3,1053466.84,0,0,,
2025-02-07,bear,bear,v227_scorp,0.04383377049386344,0.9047619047619048,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,13,2,0,0,0.0,0.5,0.5,3,3,1053466.84,0,0,,
2025-02-10,cautious,cautious,v227_scorp,0.031964266867366545,0.8181818181818182,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,17,3,0,0,0.0,0.5,0.5,3,3,1053466.84,0,0,,
2025-02-11,cautious,cautious,v227_scorp,0.037053618577034896,0.8695652173913043,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,20,1,0,0,0.0,0.5,0.5,3,3,526873.91,0,1,600207.XSHG,600207.XSHG:v227
2025-02-12,cautious,cautious,v227_scorp,0.0074209918426522675,0.2916666666666667,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,9,4,0,0,0.0,0.5,0.5,4,4,1048002.56,0,0,,
2025-02-13,cautious,cautious,v227_scorp,0.016869792581688643,0.52,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,13,2,0,0,0.0,0.5,0.5,4,4,1048002.56,0,0,,
2025-02-14,cautious,cautious,v227_scorp,0.021739416226940138,0.5384615384615384,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,11,5,0,0,0.0,0.5,0.5,4,4,1048002.56,0,0,,
2025-02-17,cautious,cautious,v227_scorp,0.013083580253234443,0.4074074074074074,0,0,False,False,0,0,0,True,False,False,False,2,0,0,0,0,4,1,0,0,0.0,0.5,0.5,4,4,1048002.56,0,0,,
