date,value
2025-01-02,1000000.0
2025-01-03,1000000.0
2025-01-06,1000000.0
2025-01-07,1000000.0
2025-01-08,1000000.0
2025-01-09,1000000.0
2025-01-10,1000000.0
2025-01-13,1000000.0
2025-01-14,1000000.0
2025-01-15,1000000.0
2025-01-16,1031469.9099999999
2025-01-17,999445.6299999999
2025-01-20,1037420.47
2025-01-21,1053466.84
2025-01-22,1053466.84
2025-01-23,1053466.84
2025-01-24,1053466.84
2025-01-27,1053466.84
2025-02-05,1053466.84
2025-02-06,1053466.84
2025-02-07,1053466.84
2025-02-10,1055622.9100000001
2025-02-11,1048002.56
2025-02-12,1048002.56
2025-02-13,1048002.56
2025-02-14,1048002.56
2025-02-17,1048002.56
2025-02-18,1048002.56
2025-02-19,1048002.56
2025-02-20,1048002.56
2025-02-21,1048002.56
2025-02-24,1048002.56
2025-02-25,1048002.56
2025-02-26,1048002.56
2025-02-27,1048002.56
2025-02-28,1048002.56
2025-03-03,1048002.56
2025-03-04,1048002.56
2025-03-05,1048002.56
2025-03-06,1074924.35
2025-03-07,1071847.54
2025-03-10,1071847.54
2025-03-11,1071847.54
2025-03-12,1071847.54
2025-03-13,1071847.54
2025-03-14,1071847.54
2025-03-17,1071847.54
2025-03-18,1071847.54
2025-03-19,1071847.54
2025-03-20,1071847.54
2025-03-21,1071847.54
2025-03-24,1071847.54
2025-03-25,1071847.54
2025-03-26,1071847.54
2025-03-27,1071847.54
2025-03-28,1071847.54
2025-03-31,1071847.54
2025-04-01,1071847.54
2025-04-02,1071847.54
2025-04-03,1071847.54
2025-04-07,1071847.54
2025-04-08,1071847.54
2025-04-09,1071847.54
2025-04-10,1071847.54
2025-04-11,1071847.54
2025-04-14,1071847.54
2025-04-15,1071847.54
2025-04-16,1071847.54
2025-04-17,1071847.54
2025-04-18,1146684.83
2025-04-21,1153672.79
2025-04-22,1153672.79
2025-04-23,1153672.79
2025-04-24,1153672.79
2025-04-25,1153672.79
2025-04-28,1153672.79
2025-04-29,1153672.79
2025-04-30,1153672.79
2025-05-06,1153672.79
2025-05-07,1153672.79
2025-05-08,1153672.79
2025-05-09,1153672.79
2025-05-12,1153672.79
2025-05-13,1153672.79
2025-05-14,1153672.79
2025-05-15,1153672.79
2025-05-16,1153672.79
2025-05-19,1153672.79
2025-05-20,1153672.79
2025-05-21,1153672.79
2025-05-22,1153672.79
2025-05-23,1153672.79
2025-05-26,1153672.79
2025-05-27,1153672.79
2025-05-28,1153672.79
2025-05-29,1153672.79
2025-05-30,1153672.79
2025-06-03,1153672.79
2025-06-04,1153672.79
2025-06-05,1153672.79
2025-06-06,1153672.79
2025-06-09,1153672.79
2025-06-10,1153672.79
2025-06-11,1153672.79
2025-06-12,1153672.79
2025-06-13,1153672.79
2025-06-16,1153672.79
2025-06-17,1153672.79
2025-06-18,1153672.79
2025-06-19,1153672.79
2025-06-20,1153672.79
2025-06-23,1153672.79
2025-06-24,1152829.73
2025-06-25,1168139.77
2025-06-26,1168139.77
