time,code,amount,price,commission,tax,trade_id,order_id
2025-01-16 9:30,001236.XSHE,51000,9.81,150.09,0.0,t_1,1
2025-01-17 9:30,002799.XSHE,58900,8.47,149.66,0.0,t_2,2
2025-01-17 11:25,001236.XSHE,-51000,10.13,154.99,516.63,t_3,3
2025-01-20 9:30,600657.XSHG,111700,4.62,154.82,0.0,t_4,4
2025-01-20 11:25,002799.XSHE,-58900,8.65,152.85,509.49,t_5,5
2025-01-21 11:25,600657.XSHG,-111700,4.88,163.53,545.1,t_6,6
2025-02-10 9:30,600207.XSHG,115700,4.55,157.93,0.0,t_7,7
2025-02-11 14:50,600207.XSHG,-115700,4.51,156.54,521.81,t_8,8
2025-03-06 9:30,000797.XSHE,181900,2.88,157.16,0.0,t_9,9
2025-03-06 9:30,600318.XSHG,62100,8.43,157.05,0.0,t_10,10
2025-03-07 11:25,000797.XSHE,-181900,3.0,163.71,545.7,t_11,11
2025-03-07 11:25,600318.XSHG,-62100,8.49,158.17,527.23,t_12,12
2025-04-18 9:30,603002.XSHG,97400,5.5,160.71,0.0,t_13,13
2025-04-21 11:25,603002.XSHG,-97400,6.35,185.55,618.49,t_14,14
2025-06-24 9:30,002278.XSHE,67000,8.61,173.06,0.0,t_15,15
2025-06-25 11:25,002278.XSHE,-67000,8.84,177.68,592.28,t_16,16
2025-11-21 9:30,601208.XSHG,32800,17.8,175.15,0.0,t_17,17
2025-11-24 13:01,601208.XSHG,-32800,17.17,168.95,563.18,t_18,18
2025-12-25 9:30,600200.XSHG,1791500,0.33,177.36,0.0,t_19,19
2025-12-26 every_bar,600200.XSHG,-1791500,0.31,166.61,555.37,t_20,20
